"rownum","Id","QuestKey","QuestFlag","i32","RewardWindowTake","bool","bool","RewardWindowTitle","bool","bool","bool","bool","rid"
0,"a1q1",0,2,1464,"","","","","","","","",""
1,"a1q5",1,41,1464,"","","","","","","","",""
2,"a1q5b",1,1877,1464,"","","","",1,"","","",""
3,"a1q4",2,36,1464,"","","","","","","","",""
4,"a1q4b",2,2148,1464,"","","","",1,"","","",""
5,"a1q8",3,"",1464,"","",1,"","","","","",""
6,"a1q7",4,"",1464,"","",1,"","","","","",""
7,"a1q2",5,6,1464,"","","","","","","","",""
8,"a1q2b",5,797,1464,"","","","","","","","",""
9,"a1q6",6,"",1464,"","",1,"","","","","",""
10,"a1q3",7,72,1464,"","","","","","","","",""
11,"a1q9",8,"",1464,"","",1,"","","","","",""
12,"a2q5",10,"",1464,"","",1,"","","","","",""
13,"a2q6",11,108,1464,"","","","","","","","",""
14,"a2q10",12,248,1464,"","","","","","","","",""
15,"a2q4",13,106,1464,"","","","","","","","",""
16,"a2q9b_tencent",14,2549,1464,"",1,"","",1,"","","",""
17,"a2q7",15,"",1464,"","",1,"","","","","",""
18,"a3q1",21,173,1464,"","","","","","","","",""
19,"a3q2",22,"",1464,"","",1,"","","","","",""
20,"a3q11",23,"",1464,"","",1,"","","","","",""
21,"a3q4",25,189,1464,"","","","","","","","",""
22,"a3q5",26,"",1464,"","",1,"","","","","",""
23,"a3q8",27,212,1464,"","","","","","","","",""
24,"a3q12",28,493,1464,"","","","","","","","",""
25,"a3q13",29,197,1464,"","","","","","","","",""
26,"a3q9",30,"",1464,"","",1,"","","","","",""
27,"d2c1",32,521,1464,"","","","","","","","",""
28,"d2c2",33,522,1464,"","","","","","","","",""
29,"a4q1",34,688,1464,"","","","","","","","",""
30,"a4q2",35,665,1464,"","","","","","","","",""
31,"a4q6",39,"",1464,"","",1,"","","","","",""
32,"a4q6b_tencent",39,2555,1464,"",1,"","",1,"","","",""
33,"bandit_respec",50,"",1464,3695,"",1,3700,"","","","",""
34,"a5q1b",63,1054,1464,"","","","","","","","",""
35,"a5q2",64,1062,1464,"","","","","","","","",""
36,"a5q3",65,"",1464,"","",1,"","","","","",""
37,"a5q4",66,1074,1464,"","","","","","","","",""
38,"a5q5",67,1080,1464,"","","","","","","","",""
39,"a5q7",69,"",1464,"","",1,"","","","","",""
40,"a6q2",71,1170,1464,"","","","","","","","",""
41,"a6q3",72,"",1464,"","",1,"","","","","",""
42,"a6q4",73,"",1464,"","",1,"","","","","",""
43,"a6q5",74,1253,1464,"","","","","","","","",""
44,"a6q6",75,"",1464,"","",1,"","","","","",""
45,"a6q7",76,"",1464,"","",1,"","","","","",""
