"rownum","BaseItemTypesKey","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemTypesKey","IsVaalVariant","MinionGlobalSkillLevelStat","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","i32","ItemExperienceType","MtxSlotTypes","GemEffects"
0,6585,0,0,100,6798,"","","","","","",1,1,"","",3,0,[0],"[0,1,2]"
1,6798,0,0,100,"",1,"","","","","",1,1,"","",3,0,[0],"[3,4,5]"
2,6586,0,0,100,6807,"","","","","","",1,1,"","",3,4,[0],"[6,7,8]"
3,6625,0,0,100,"","","","","","","",1,1,"","",3,0,[0],[9]
4,6807,0,0,100,"",1,"","","","","",1,1,"","",3,4,[0],"[10,11,12]"
5,6587,100,0,0,"","","","","","","",1,1,"","",1,3,[0],"[13,14,15]"
6,6638,40,0,60,"","","","","","","",1,1,"","",3,8,[0],[16]
7,6588,0,100,0,"","","","","","","",1,1,"","",2,8,[0],"[17,18,19]"
8,6589,0,60,40,7305,"","","","","","",1,1,"","",2,8,[0],"[20,21,22]"
9,6590,100,0,0,"","","","","","","",1,1,"","",1,4,[0],"[23,24,25]"
10,6591,100,0,0,"","","","","","","",1,1,"","",1,8,[0],[26]
11,6828,100,0,0,"",1,"","","","","",1,1,"","",1,4,[0],[27]
12,6808,0,0,0,"","","","","","","",1,1,"","",4,3,[0],[28]
13,6592,100,0,0,6810,"","","","","","",1,1,"","",1,0,[0],"[29,30,31]"
14,6810,100,0,0,"",1,"","","","","",1,1,"","",1,0,[0],"[32,33,34]"
15,6593,60,40,0,7300,"","","","","","",1,1,"","",1,0,[0],"[35,36,37]"
16,6594,100,0,0,"","","","","","","",1,1,"","",1,1,[0],"[38,39,40]"
17,6595,100,0,0,"","","","","","","",1,1,"","",1,3,[0],[41]
18,6596,0,100,0,6816,"","","","","","",1,1,"","",2,0,[0],"[42,43,44]"
19,6816,0,100,0,"",1,"","","","","",1,1,"","",2,0,[0],"[45,46,47]"
20,6597,40,60,0,"","","","","","","",1,1,"","",2,4,[0],"[48,49,50]"
21,6598,0,100,0,"","","","","","","",1,1,"","",2,4,[0],"[51,52,53]"
22,6599,100,0,0,"","","","","","","",1,1,"","",1,10,[0],[54]
23,6804,100,0,0,"",1,"","","","","",1,1,"","",1,10,[0],[55]
24,6600,40,60,0,"","","","","","","",1,1,"","",2,0,[0],"[56,57,58]"
25,6601,0,60,40,"","","","","","","",1,1,"","",2,3,[0],"[59,60,61]"
26,6602,0,100,0,"","","","","","","",1,1,"","",2,5,[0],"[62,63,64]"
27,6605,0,60,40,6809,"","","","","","",1,1,"","",2,1,[0],"[65,66,67]"
28,6809,0,60,40,"",1,"","","","","",1,1,"","",2,1,[0],"[68,69,70]"
29,6606,0,60,40,"","","","","","","",1,1,"","",2,4,[0],"[71,72,73]"
30,6607,0,60,40,"","","","","","","",1,1,"","",2,3,[0],[74]
31,6612,0,100,0,7314,"","","","","","",1,1,"","",2,0,[0],"[75,76,77]"
32,6613,100,0,0,"","","",1,"","","",1,1,437,"",1,2,[0],[78]
33,6614,0,100,0,"","","",1,"","","",1,1,"","",2,2,[0],[79]
34,6615,0,100,0,"","","",1,"","","",1,1,454,"",2,11,[0],[80]
35,6616,0,100,0,"","","",1,"","","",1,1,"","",2,2,[0],[81]
36,6618,0,100,0,"","","",1,"","","",1,1,"","",2,9,[0],[82]
37,6619,0,100,0,"","","",1,"","","",1,1,447,"",2,2,[0],[83]
38,6620,40,60,0,"","","",1,"","","",1,1,"","",2,2,[0],[84]
39,6621,0,0,100,"","","",1,"","","",1,1,465,"",3,11,[0],[85]
40,6622,0,0,100,"","","",1,"","","",1,1,459,"",3,2,[0],[86]
41,6603,0,40,60,6812,"","","","","","",1,1,"","",3,5,[0],"[87,88,89]"
42,6812,0,40,60,"",1,"","","","","",1,1,"","",3,5,[0],"[90,91,92]"
43,6604,0,0,100,"","",10206,"","","","",1,1,"","",3,0,[0],"[93,94,95]"
