"rownum","Id","Icon","Name","TextColours","SpecialTier"
0,"1","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber1","Servant-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
1,"2","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber2","Peasant-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
2,"3","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber3","Soldier-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
3,"4","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber4","Gemling-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
4,"5","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber5","Thaumaturgist-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
5,"6","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber6","Noble-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
6,"7","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber7","Magistrate-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
7,"8","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber8","Imperator-Haunted","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
8,"1Upside","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber1","Devoted","[""outlinecolour:necropolisoutline"",""necropolisupside""]",1
9,"2Upside","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber2","Devoted","[""outlinecolour:necropolisoutline"",""necropolisupside""]",1
10,"3Upside","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber3","Devoted","[""outlinecolour:necropolisoutline"",""necropolisupside""]",1
11,"CollectableCorpse","","","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",1
