"rownum","rid","i32","f32","[rid]","i32","i32","i32","f32","f32"
0,0,0,12,[5127],30,30,1,0,0
1,1,0,12,[6235],30,30,1,0,0
2,2,0,8,[7987],30,30,1,0,0
3,3,0,8,[8039],30,30,1,0,0
4,4,0,8,[8068],30,30,1,0,0
5,5,0,8,[8016],10,10,1,0,0
6,6,0,8,[8132],30,30,1,0,0
7,7,0,8,[5128],30,30,1,0,0
8,8,0,8,[6237],20,20,1,0,0
9,9,0,8,[8748],30,30,1,0,0
10,10,0,4,"[7987,8016,8039,8068,5128,6237,8748,8132]",30,30,2,0,2
11,11,0,5,[6236],10,50,15,1,5
12,12,0,4,[8395],1,1,1,1.5,3
13,13,0,3,"[4713,4714,4715,4716]",10,40,3,0,0
14,14,0,5,"[8845,8846]",40,40,1,0,0
15,15,0,10,[3014],50,70,1,0,0
16,16,0,12,[8945],10,10,1,0,0
17,17,0,10,[9324],20,20,1,0,0
18,18,0,10,[10007],15,80,2,1,3
19,19,0,12,"[4739,4740,4741]",30,50,1,1,0
