"rownum","MTX","Tier","Description","DDSFile","i32","string"
0,4396,1,"Orb of Transmutation","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds",42,""
1,4396,2,"Orb of Augmentation","Art/2DItems/Currency/CurrencyAddModToMagic.dds",43,""
2,4396,3,"Orb of Alteration","Art/2DItems/Currency/CurrencyRerollMagic.dds",55,""
3,4396,4,"Orb of Chance","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds",44,""
4,4396,5,"Orb of Alchemy","Art/2DItems/Currency/CurrencyUpgradeToRare.dds",45,""
5,4396,6,"Chaos Orb","Art/2DItems/Currency/CurrencyRerollRare.dds",46,""
6,4396,7,"Orb of Scouring","Art/2DItems/Currency/CurrencyConvertToNormal.dds",53,""
7,4396,8,"Orb of Regret","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds",48,""
8,4396,9,"Blessed Orb","Art/2DItems/Currency/CurrencyImplicitMod.dds",49,""
9,4396,10,"Vaal Orb","Art/2DItems/Currency/CurrencyVaal.dds",47,""
10,4396,11,"Orb of Annulment","Art/2DItems/Currency/AnnullOrb.dds",56,""
11,4396,12,"Exalted Orb","Art/2DItems/Currency/CurrencyAddModToRare.dds",51,""
12,4396,13,"Divine Orb","Art/2DItems/Currency/CurrencyModValues.dds",52,""
13,4396,14,"Mirror of Kalandra","Art/2DItems/Currency/CurrencyDuplicate.dds",54,""
14,4490,1,"Fire","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
15,4490,2,"Cold","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
16,4490,3,"Lightning","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
17,4490,4,"Shifting","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
18,4513,1,"Fire","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
19,4513,2,"Cold","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
20,4513,3,"Lightning","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
21,4513,4,"Shifting","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
22,4550,1,"Base","",62,""
23,4550,2,"Flair","",62,""
24,4550,3,"Lotus Blood","",62,""
25,4550,4,"Body Flowers","",62,""
26,4550,5,"Shadows","",62,""
27,4548,1,"Base","",62,""
28,4548,2,"Footprints","",62,""
29,4549,1,"Base","",62,""
30,4549,2,"Flair","",62,""
31,4549,3,"Lotus on Kill","",62,""
32,4547,1,"Flower","",62,""
33,4547,2,"Hat","",62,""
34,4547,3,"Full Head","",62,""
35,4547,4,"Lotus Life","",62,""
36,4526,1,"No on Kill","",62,""
37,4526,2,"On Kill","",62,""
38,4770,1,"Metal","",62,""
39,4770,2,"Cloth","",62,""
