"rownum","Id","BlightCraftingItemsKeys","BlightCraftingResultsKey","BlightCraftingTypesKey"
0,"InverseWeighting3","[3,3,3]",0,0
1,"InverseWeighting4","[3,3,4]",1,0
2,"InverseWeighting5","[3,4,4]",2,0
3,"InverseWeighting6","[3,3,5]",3,0
4,"InverseWeighting6_2","[4,4,4]",4,0
5,"InverseWeighting7","[3,4,5]",5,0
6,"InverseWeighting8","[3,3,6]",6,0
7,"InverseWeighting8_2","[4,4,5]",7,0
8,"InverseWeighting9","[3,4,6]",8,0
9,"InverseWeighting9_2","[3,5,5]",9,0
10,"InverseWeighting10","[4,4,6]",10,0
11,"InverseWeighting10_2","[4,5,5]",11,0
12,"InverseWeighting11","[3,3,7]",12,0
13,"InverseWeighting11_2","[3,5,6]",13,0
14,"InverseWeighting12","[3,4,7]",14,0
15,"InverseWeighting12_2","[4,5,6]",15,0
16,"InverseWeighting12_3","[5,5,5]",16,0
17,"InverseWeighting13","[3,6,6]",17,0
18,"InverseWeighting13_2","[4,4,7]",18,0
19,"InverseWeighting14","[3,5,7]",19,0
20,"InverseWeighting14_2","[4,6,6]",20,0
21,"InverseWeighting14_3","[5,5,6]",21,0
22,"InverseWeighting15","[4,5,7]",22,0
23,"InverseWeighting16","[3,3,8]",23,0
24,"InverseWeighting16_2","[3,6,7]",24,0
25,"InverseWeighting16_3","[5,6,6]",25,0
26,"InverseWeighting17","[3,4,8]",26,0
27,"InverseWeighting17_2","[4,6,7]",27,0
28,"InverseWeighting17_3","[5,5,7]",28,0
29,"InverseWeighting18","[4,4,8]",29,0
30,"InverseWeighting18_2","[6,6,6]",30,0
31,"InverseWeighting19","[3,5,8]",31,0
32,"InverseWeighting19_2","[3,7,7]",32,0
33,"InverseWeighting19_3","[5,6,7]",33,0
34,"InverseWeighting20","[4,5,8]",34,0
35,"InverseWeighting20_2","[4,7,7]",35,0
36,"InverseWeighting20_3","[3,3,9]",36,0
37,"InverseWeighting21","[3,6,8]",37,0
38,"InverseWeighting21_2","[6,6,7]",38,0
39,"InverseWeighting21_3","[3,4,9]",39,0
40,"InverseWeighting22","[4,6,8]",40,0
41,"InverseWeighting22_2","[5,5,8]",41,0
42,"InverseWeighting22_3","[5,7,7]",42,0
43,"InverseWeighting22_4","[4,4,9]",43,0
44,"InverseWeighting23","[3,5,9]",44,0
45,"InverseWeighting24","[3,3,10]",45,0
46,"InverseWeighting24_2","[3,7,8]",46,0
47,"InverseWeighting24_3","[5,6,8]",47,0
48,"InverseWeighting24_4","[6,7,7]",48,0
49,"InverseWeighting24_5","[4,5,9]",49,0
50,"InverseWeighting25","[3,4,10]",50,0
51,"InverseWeighting25_2","[4,7,8]",51,0
52,"InverseWeighting25_3","[3,6,9]",52,0
53,"InverseWeighting26","[4,4,10]",53,0
54,"InverseWeighting26_2","[6,6,8]",54,0
55,"InverseWeighting26_3","[4,6,9]",55,0
56,"InverseWeighting26_4","[5,5,9]",56,0
57,"InverseWeighting27","[3,5,10]",57,0
58,"InverseWeighting27_2","[5,7,8]",58,0
59,"InverseWeighting27_3","[7,7,7]",59,0
60,"InverseWeighting28","[4,5,10]",60,0
61,"InverseWeighting28_2","[3,7,9]",61,0
62,"InverseWeighting28_3","[5,6,9]",62,0
63,"InverseWeighting29","[3,6,10]",63,0
64,"InverseWeighting29_2","[3,8,8]",64,0
65,"InverseWeighting29_3","[6,7,8]",65,0
66,"InverseWeighting29_4","[4,7,9]",66,0
67,"InverseWeighting30","[4,6,10]",67,0
68,"InverseWeighting30_2","[4,8,8]",68,0
69,"InverseWeighting30_3","[5,5,10]",69,0
70,"InverseWeighting30_4","[6,6,9]",70,0
71,"InverseWeighting31","[5,7,9]",71,0
72,"InverseWeighting32","[3,7,10]",72,0
73,"InverseWeighting32_2","[5,6,10]",73,0
74,"InverseWeighting32_3","[5,8,8]",74,0
75,"InverseWeighting32_4","[7,7,8]",75,0
76,"InverseWeighting33","[4,7,10]",76,0
77,"InverseWeighting33_2","[6,7,9]",77,0
78,"InverseWeighting34","[6,6,10]",78,0
79,"InverseWeighting34_2","[6,8,8]",79,0
80,"InverseWeighting35","[5,7,10]",80,0
81,"InverseWeighting36","[7,7,9]",81,0
82,"InverseWeighting37","[3,8,10]",82,0
83,"InverseWeighting37_2","[6,7,10]",83,0
84,"InverseWeighting37_3","[7,8,8]",84,0
85,"InverseWeighting37_4","[3,9,9]",85,0
86,"InverseWeighting38","[4,8,10]",86,0
87,"InverseWeighting38_2","[4,9,9]",87,0
88,"InverseWeighting40","[5,8,10]",88,0
