"rownum","string","f32","[rid]","i32"
0,"Metadata/Effects/Spells/warcry_new/audio/warcry_audio.ao",0.25,"[1060,10,12,839,1057,1059,1056,1065,1115]",1017370378
1,"Metadata/Effects/Microtransactions/Spells/warcries/wolf_cry/wolf.ao",0.25,"[1060,10,12,839,1057,1059,1056,1065,1115]",1028443341
2,"Metadata/Effects/Microtransactions/Spells/warcries/wolf_cry/warcry.ao",0.25,"[1060,10,12,839,1057,1059,1056,1065,1115]",1028443341
3,"Metadata/Effects/Spells/warcries/ancestral_cry/ancestral_cry.ao",0.25,[1060],1028443341
4,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/ancestral_cry/ancestral_cry.ao",0.25,[1060],1028443341
5,"Metadata/Effects/Spells/warcries/divine_cry/divine_cry.ao",0.25,[1115],1028443341
6,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/battlemages_cry/divine_cry.ao",0.25,[1115],1028443341
7,"Metadata/Effects/Spells/abyssal_cry/abyssal_cry.ao",0.25,[12],1028443341
8,"Metadata/Effects/Spells/warcries/enduring_cry/enduring_cry.ao",0.25,[10],1028443341
9,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/enduring_cry/enduring_cry.ao",0.25,[10],1028443341
10,"Metadata/Effects/Spells/warcries/enduring_cry/healing_buff.ao",0.25,[10],1028443341
11,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/enduring_cry/healing_buff.ao",0.25,[10],1028443341
12,"Metadata/Effects/Microtransactions/Spells/warcries/wolf_cry/enduring/healing_buff.ao",0.25,[10],1028443341
13,"Metadata/Effects/Spells/warcries/infernal_cry/infernal_cry.ao",0.25,[1057],1028443341
14,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/infernal_cry/infernal_cry.ao",0.25,[1057],1028443341
15,"Metadata/Effects/Spells/warcries/intimidating_cry/intimidating_cry.ao",0.25,[839],1028443341
16,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/intimidating_cry/intimidating_cry.ao",0.25,[839],1028443341
17,"Metadata/Effects/Spells/warcries/rallying_cry/rallying_cry.ao",0.25,[1056],1028443341
18,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/rallying_cry/rallying_cry.ao",0.25,[1056],1028443341
19,"Metadata/Effects/Spells/warcries/seismic_cry/seismic_cry.ao",0.25,[1059],1028443341
20,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/seismic_cry/seismic_cry.ao",0.25,[1059],1028443341
21,"Metadata/Effects/Spells/warcries/spiritual_cry/spiritual_cry.ao",0.25,[1065],1028443341
22,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/spiritual_cry/spiritual_cry.ao",0.25,[1065],1028443341
23,"Metadata/Effects/Spells/warcries/ancestors/ancestor.ao",0.25,[1065],1028443341
24,"Metadata/Effects/Spells/warcries/ancestors/ancestor_f.ao",0.25,[1065],1028443341
25,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/ancestors/ancestor.ao",0.25,[1065],1028443341
26,"Metadata/Effects/Microtransactions/Spells/Celestial_warcries/ancestors/ancestor_f.ao",0.25,[1065],1028443341
27,"Metadata/Effects/Spells/blood_rage/rig.ao",0.25,[29],1028443341
28,"Metadata/Effects/Microtransactions/Spells/scavenger_bloodrage/rig.ao",0.25,[29],1028443341
29,"Metadata/Effects/Spells/mines_detonation/mine_trigger.ao",0.25,[134],1028443341
