"rownum","string","rid","rid","string","string","i32","i32","rid"
0,"MiningParent","",1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningJobButton","Mining",720,800,""
1,"Mining0",1,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Crimson Iron Mine",720,600,0
2,"Mining1",2,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Orichalcum Mine",861,659,1
3,"Mining2",3,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Petrified Amber Mine",920,800,2
4,"Mining3",4,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Bismuth Mine",861,941,3
5,"Mining4",5,1,"Art/2DArt/UIImages/InGame/Village/VillageMap/MiningSubJobButton","Verisium Mine",720,1000,4
6,"SmelthingParent","",2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingJobButton","Smelting",2230,540,""
7,"Smelting0",6,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Crimson Iron Smelter",2230,340,5
8,"Smelting1",7,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Orichalcum Smelter",2089,399,6
9,"Smelting2",8,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Petrified Amber Smelter",2030,540,7
10,"Smelting3",9,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Bismuth Smelter",2089,681,8
11,"Smelting4",10,2,"Art/2DArt/UIImages/InGame/Village/VillageMap/SmithingSubJobButton","Verisium Smelter",2230,740,9
12,"FarmingParent","",3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmingJobButton","Farming",1280,310,""
13,"Farming0",11,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 1",1188,535,""
14,"Farming1",12,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 2",1056,615,""
15,"Farming2",13,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 3",1038,420,""
16,"Farming3",14,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 4",912,505,""
17,"Farming4",15,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 5",883,303,""
18,"Farming5",16,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 6",756,385,""
19,"Disenchanting0",17,4,"Art/2DArt/UIImages/InGame/Village/VillageMap/DisenchantingJobButton","Disenchanting",1583,717,""
20,"MappingParent","",5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MappingJobButton","Map Devices",1084,1084,""
21,"Mapping0",18,5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MapDeviceSubJobButton","Map Device 1",1175,876,""
22,"Mapping1",19,5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MapDeviceSubJobButton","Map Device 2",1309,982,""
23,"Mapping2",20,5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MapDeviceSubJobButton","Map Device 3",1329,786,""
24,"ShippingParent","",6,"Art/2DArt/UIImages/InGame/Village/VillageMap/ShippingJobButton","Shipping",1665,998,""
25,"Shipping0",21,6,"Art/2DArt/UIImages/InGame/Village/VillageMap/BoatSubJobButton","",2041,1014,""
26,"Shipping1",22,6,"Art/2DArt/UIImages/InGame/Village/VillageMap/BoatSubJobButton","",1803,1167,""
27,"Shipping2",23,6,"Art/2DArt/UIImages/InGame/Village/VillageMap/BoatSubJobButton","",1528,1342,""
