"rownum","i32","rid","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","i32","bool","i32","i32","bool","i32","[rid]","i32","bool","i32","bool","bool","i32","bool","bool","rid","bool","bool","bool","i32","i32","i32","i32","i32","i32","rid","i32","bool","i32","i32","i32","i32","u16","bool"
0,0,6546,"",100,10000,1,4,60,0,0,0,7,0,1,1,1,0,0,1,2,"",0,320,"",0,[],500,1,0,"","",0,"","","",1,"","",0,0,0,134217728,0,0,0,0,"",0,0,0,0,0,""
1,1,9125,"",8,530,3,3,57,8,0,0,6,30,4,2,1,0,0,1,2,"",0,256,"",0,[2866],0,"",0,"","",0,"","","",1,"","",0,0,0,402653184,0,0,0,0,"",0,0,0,0,0,""
2,2,9127,"",8,530,3,3,57,8,0,0,6,-30,4,2,1,0,0,1,2,"",0,256,"",0,[2866],0,"",0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
3,3,8329,"",4,0,3,4,30,30,0,0,6,0,2,2,1,0,0,1,3,1,1,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
4,4,4190,"",10,0,4,4,40,20,270,0,6,0,2,2,1,0,0,1,3,"",0,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
5,5,8165,713,5,500,1,3,40,0,0,0,7,0,1,2,1,0,0,1,2,"",0,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
6,6,7473,"",1,100,1,2,1,0,0,0,7,0,1,1,1,0,0,1,2,"",0,256,"",0,[],2670,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
7,7,7473,"",1,100,1,2,1,0,0,0,7,0,1,1,1,0,0,1,2,"",0,256,"",0,[],2670,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
8,8,1411,"",15,2000,4,4,55,54,360,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
9,9,1412,"",15,1000,4,4,55,54,360,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
10,10,9880,"",9,2500,4,4,35,30,360,0,6,0,1,1,1,0,8,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
11,11,9136,"",10,700,3,4,30,50,0,0,6,0,2,1,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
12,12,3310,"",8,0,4,2,60,30,360,0,6,0,1,1,1,0,0,"",3,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
13,13,4204,"",3,200,4,2,60,35,45,0,6,-30,2,1,1,0,0,"",2,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
14,14,9654,"",24,6000,3,4,40,30,0,0,6,0,1,2,1,0,0,"",2,"",0,512,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
15,15,9138,"",1,0,1,4,30,0,0,0,6,0,1,1,1,0,0,"",3,"",0,256,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
16,16,9657,"",10,2500,3,4,60,60,0,0,6,0,1,2,1,0,5,1,2,"",0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
17,17,9658,"",40,10000,3,4,40,60,0,0,6,0,1,1,1,0,0,1,2,"",0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
18,18,9656,"",8,0,4,2,25,24,360,0,6,0,2,2,1,0,0,"",3,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
19,21,8331,"",50,2500,4,2,80,15,360,0,6,0,3,3,2,0,0,1,2,1,0,256,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
20,22,8332,"",12,2500,4,2,80,15,360,0,6,0,1,1,1,0,0,1,2,"",0,320,"",0,[],0,1,0,"","",0,"","","",1,"","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
21,23,9911,"",16,2000,4,4,25,24,360,0,6,0,2,2,1,0,0,"",2,"",0,320,"",0,[],0,1,0,"","",0,"","","","","","",0,0,0,671088640,0,0,0,0,"",0,0,0,0,0,""
