"rownum","BaseItem","Code","Order1","Show","Order2"
0,9,"alch",0,1,0
1,12,"alt",0,1,0
2,210,"annul",0,1,0
3,11,"aug",0,"",0
4,17,"bauble",0,"",0
5,29,"blessed",0,1,0
6,7,"chance",0,1,0
7,5,"chaos",20,1,40
8,19,"chisel",0,1,0
9,25,"chrome",0,1,0
10,28,"divine",0,1,20
11,214,"engineers",0,"",0
12,14,"exalted",0,1,0
13,418,"facetors",0,"",0
14,26,"fusing",0,1,0
15,18,"gcp",0,1,0
16,215,"infused-engineers-orb",0,"",0
17,27,"jewellers",0,1,0
18,1,"mirror",0,1,10
19,293,"offer",0,"",0
20,296,"offer-dedication",0,"",0
21,295,"offer-gift",0,"",0
22,294,"offer-tribute",0,"",0
23,16,"portal",0,"",0
24,15,"regal",0,1,0
25,3,"regret",0,1,0
26,13,"scour",0,1,0
27,0,"scrap",0,"",0
28,8,"transmute",0,"",0
29,38,"vaal",0,1,0
30,10,"whetstone",0,"",0
31,2,"wisdom",0,"",0
32,1156,"lesser-ember",0,1,0
33,1157,"greater-ember",0,1,0
34,1158,"grand-ember",0,1,0
35,1159,"excep-ember",0,1,0
36,1160,"lesser-echor",0,1,0
37,1161,"greater-echor",0,1,0
38,1162,"grand-echor",0,1,0
39,1163,"excep-echor",0,1,0
