"rownum","TaggedStat","rid","[rid]","rid","rid"
0,16097,24,[],"",""
1,16098,8990,[],"",""
2,16204,"",[461],"",""
3,16211,"",[464],"",""
4,16223,"",[],"",""
5,16224,"",[],"",""
6,16225,"",[],"",""
7,16226,"",[],"",""
8,16227,"",[],"",""
9,16228,"",[],"",""
10,16229,"",[],"",""
11,16286,10584,[],"",""
12,16287,10585,[],"",""
13,16288,16221,[],"",""
14,16289,1748,[],"",""
15,16290,7632,[],"",""
16,16210,"",[],"",""
17,16216,"",[],"",""
18,16217,"",[],"",""
19,16253,"",[],"",""
20,16254,"",[],"",""
21,16255,"",[],"",""
22,16256,"",[],"",""
23,16257,"",[],"",""
24,16258,"",[],"",""
25,16259,"",[],"",""
26,16260,"",[],"",""
27,16261,"",[],"",""
28,16262,"",[],"",""
29,16263,"",[],"",""
30,16264,"",[],"",""
31,16265,"",[],"",""
32,16266,"",[],"",""
33,16267,"",[],"",""
34,16268,"",[],"",""
35,16269,"",[],"",""
36,16270,"",[],"",""
37,16271,"",[],"",""
38,16272,"",[],"",""
39,16374,2396,[],"",""
