"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,4653,0,0,0,""
1,4654,1,0,0,""
2,4655,2,0,0,""
3,4656,3,0,0,""
4,4657,4,0,0,""
5,4658,5,0,0,""
6,4659,6,0,0,""
7,4660,7,0,1,""
8,4661,8,0,1,""
9,4662,9,0,1,""
10,4663,10,2,1,""
11,4664,11,0,1,""
12,4665,12,0,1,""
13,4666,13,0,1,""
14,4667,14,0,2,""
15,4668,15,0,2,""
16,4669,16,0,2,""
17,4670,17,0,2,""
18,4671,18,0,2,""
19,4672,19,0,2,""
20,4673,20,0,2,""
21,4674,21,0,3,""
22,4675,22,0,3,""
23,4676,23,0,3,""
24,4677,24,2,3,""
25,4678,25,0,3,""
26,4679,26,0,3,""
27,4680,27,0,3,""
28,4681,28,0,4,""
29,4682,29,1,4,""
30,4683,30,2,4,""
31,4684,31,1,4,""
32,4685,32,1,4,""
33,4686,33,1,4,""
34,4687,34,2,4,""
35,4688,35,1,5,""
36,4689,36,1,5,""
37,4690,37,1,5,""
38,4691,38,2,5,""
39,4692,39,2,5,""
40,4693,40,1,5,""
41,4694,41,1,5,""
42,4695,42,1,6,""
43,4696,43,1,6,""
44,4697,44,1,6,""
45,4698,45,1,6,""
46,4699,46,1,6,""
47,4700,47,1,6,""
48,4701,48,1,6,""
49,4702,49,2,7,""
50,4703,50,2,7,""
51,4704,51,2,7,""
52,4705,52,2,7,""
53,4706,53,2,7,""
54,4707,54,2,7,""
55,4708,55,2,7,""
56,4709,56,1,8,""
57,4710,57,1,8,""
58,4711,58,2,8,""
59,4712,59,1,8,""
60,4713,60,2,8,""
61,4714,61,2,8,""
62,4715,62,1,8,""
63,4716,63,2,9,""
64,4717,64,2,9,""
65,4718,65,2,9,""
66,4719,66,0,9,""
67,4720,67,2,9,""
68,4721,68,2,9,""
69,4722,69,2,9,""
70,4723,70,3,10,""
71,4724,71,3,10,""
72,4725,72,3,10,""
73,4726,73,3,10,""
74,4727,74,3,10,""
75,4728,75,3,10,""
76,4729,76,3,10,""
77,4730,77,3,10,""
78,4731,78,4,10,""
79,4732,79,4,10,""
80,4733,80,4,10,""
81,4734,81,5,10,""
82,4735,82,5,10,""
83,4736,83,5,10,""
84,4737,84,6,10,""
85,4738,85,6,10,""
86,4739,86,6,10,""
87,4740,87,3,10,""
88,4741,88,3,10,""
89,4742,89,4,10,""
90,4743,90,5,10,""
91,4744,91,6,10,""
92,4745,92,7,10,15
