"rownum","MTX","Tier","Description","DDSFile","i32","string"
0,4074,1,"Orb of Transmutation","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds",42,""
1,4074,2,"Orb of Augmentation","Art/2DItems/Currency/CurrencyAddModToMagic.dds",43,""
2,4074,3,"Orb of Alteration","Art/2DItems/Currency/CurrencyRerollMagic.dds",55,""
3,4074,4,"Orb of Chance","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds",44,""
4,4074,5,"Orb of Alchemy","Art/2DItems/Currency/CurrencyUpgradeToRare.dds",45,""
5,4074,6,"Chaos Orb","Art/2DItems/Currency/CurrencyRerollRare.dds",46,""
6,4074,7,"Orb of Scouring","Art/2DItems/Currency/CurrencyConvertToNormal.dds",53,""
7,4074,8,"Orb of Regret","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds",48,""
8,4074,9,"Blessed Orb","Art/2DItems/Currency/CurrencyImplicitMod.dds",49,""
9,4074,10,"Vaal Orb","Art/2DItems/Currency/CurrencyVaal.dds",47,""
10,4074,11,"Orb of Annulment","Art/2DItems/Currency/AnnullOrb.dds",56,""
11,4074,12,"Exalted Orb","Art/2DItems/Currency/CurrencyAddModToRare.dds",51,""
12,4074,13,"Divine Orb","Art/2DItems/Currency/CurrencyModValues.dds",52,""
13,4074,14,"Mirror of Kalandra","Art/2DItems/Currency/CurrencyDuplicate.dds",54,""
14,4168,1,"Fire","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
15,4168,2,"Cold","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
16,4168,3,"Lightning","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
17,4168,4,"Shifting","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
18,4191,1,"Fire","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
19,4191,2,"Cold","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
20,4191,3,"Lightning","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
21,4191,4,"Shifting","",62,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
22,4228,1,"Base","",62,""
23,4228,2,"Flair","",62,""
24,4228,3,"Lotus Blood","",62,""
25,4228,4,"Body Flowers","",62,""
26,4228,5,"Shadows","",62,""
27,4226,1,"Base","",62,""
28,4226,2,"Footprints","",62,""
29,4227,1,"Base","",62,""
30,4227,2,"Flair","",62,""
31,4227,3,"Lotus on Kill","",62,""
32,4225,1,"Flower","",62,""
33,4225,2,"Hat","",62,""
34,4225,3,"Full Head","",62,""
35,4225,4,"Lotus Life","",62,""
36,4204,1,"No on Kill","",62,""
37,4204,2,"On Kill","",62,""
38,4448,1,"Metal","",62,""
39,4448,2,"Cloth","",62,""
