"rownum","ModsKey","i32","i32","i32"
0,22750,2,9,0
1,22751,10,14,0
2,22752,1,10,100
3,22760,11,15,50
4,22753,2,9,0
5,22754,1,10,50
6,22755,11,15,100
7,22666,11,15,10
8,22667,11,15,10
9,22668,11,15,10
10,22669,10,14,0
11,22670,15,30,0
12,22671,10,14,0
13,22672,15,30,0
14,22673,10,14,0
15,22674,15,30,0
16,22675,1,10,20
17,22676,11,15,20
18,22677,1,10,35
19,22678,11,15,35
20,22679,5,9,0
21,22680,1,10,50
22,22681,11,15,50
23,22682,2,9,0
24,22683,1,5,25
25,22684,6,10,25
26,22765,11,15,25
27,22685,5,9,0
28,22686,1,5,25
29,22687,6,15,25
30,22688,5,9,0
31,22689,1,10,25
32,22690,11,15,25
33,22691,2,9,0
34,22692,1,5,25
35,22693,6,10,25
36,22766,11,15,25
37,22694,5,9,0
38,22695,1,10,25
39,22696,11,15,25
40,22697,5,9,0
41,22698,1,10,25
42,22699,11,15,25
43,22700,2,9,0
44,22701,1,5,25
45,22702,6,10,25
46,22763,11,15,25
47,22703,5,9,0
48,22704,1,10,25
49,22705,11,15,25
50,22706,5,9,0
51,22707,1,10,25
52,22708,11,15,25
53,22709,2,9,0
54,22710,1,5,25
55,22711,6,10,25
56,22764,11,15,25
57,22712,1,5,25
58,22713,6,10,25
59,22714,11,15,25
60,22715,1,5,25
61,22716,6,10,25
62,22717,11,15,25
63,22718,1,9,0
64,22719,1,5,25
65,22720,6,10,25
66,22767,11,15,25
67,22721,3,5,0
68,22722,6,10,0
69,22723,11,15,0
70,22724,6,10,20
71,22725,11,15,20
72,22726,1,5,20
73,22727,6,10,20
74,22728,11,15,20
75,22729,3,5,10
76,22730,6,10,10
77,22731,11,15,10
78,22732,2,9,0
79,22733,1,10,100
80,22734,11,15,100
81,22735,6,10,25
82,22736,11,15,25
83,22737,6,10,25
84,22738,11,15,25
85,22739,6,10,25
86,22740,11,15,25
87,22741,6,10,0
88,22742,11,15,0
89,22743,3,5,10
90,22744,6,10,10
91,22762,11,15,10
92,22745,6,10,10
93,22746,11,15,10
94,22747,3,5,30
95,22748,6,10,30
96,22749,11,15,30
97,22756,2,9,0
98,22757,3,5,40
99,22758,6,10,40
100,22761,11,15,40
