"rownum","Id","Stats","StatValues","Name","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc","CurseDesc","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
0,"AfflictionMonsterMoreDamage",[15391],[30],"Honed Claws","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClawsIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClaws","","Monsters deal 30% more Damage",3,0,"",[],[8943],"",3,0,"","",62326
1,"BoonMonsterLessDamage",[15390],[-20],"Fright Mask","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMaskIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMask","Monsters deal 20% less Damage","",3,0,"",[],[8942],"",3,0,"","",15442
2,"AfflictionTrapDamageMajor",[19329],[1],"Deadly Snare","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurityIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurity","","Traps deal Triple Damage",3,0,"",[],[8943],"",3,0,"","",41921
3,"AfflictionTrapDamage",[19330],[100],"Dark Pit","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPitIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPit","","Traps deal 100% increased Damage",3,0,"",[],[8943],"",3,0,"","",62584
4,"AfflictionLessSacredWater",[16329],[-50],"Low Rivers","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLowRiversIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLowRivers","","50% less [SacredWater|Sacred Water] found",3,0,"",[],[8943],"",3,0,"","",21680
5,"AfflictionLessDamage",[16330],[-40],"Blunt Sword","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSwordIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSword","","You and your Minions deal 40% less Damage",3,0,"",[],[8943],"",3,0,"","",40008
6,"AfflictionTrapSpeed",[16321],[1],"Rapid Quicksand","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksandIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksand","","Traps are faster",3,0,"",[],[8943],"",3,0,"","",56047
7,"AfflictionTrapVolatiles",[16323],[1],"[UNUSED]","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractorIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractor","","Rooms spawn [Volatiles|Volatile] Anomalies",3,0,"",[],[8943],"",3,0,"","",16773
8,"BoonMovementSpeed",[5555],[40],"Hare Foot","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFootIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFoot","40% increased Movement Speed","",3,0,"",[],[8942],"",3,0,"","",13820
9,"BoonMoreSacredWater",[16387],[50],"Flooding Rivers","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentRiverIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentRiver","50% more [SacredWater|Sacred Water] found","",3,0,"",[],[8942],"",3,0,"","",44476
10,"BoonGainSacredWaterWhenDamaged",[16388],[2],"Reparations","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentGiftIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentGift","Gain 2 [SacredWater|Sacred Water] when you take Damage from an Enemy [HitDamage|Hit]","",3,0,"",[],[8942],"",3,0,"","",46242
11,"AfflictionLoseSacredWaterWhenDamaged",[16390],[20],"Leaking Waterskin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLeakingWaterskinIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLeakingWaterskin","","Lose 20 [SacredWater|Sacred Water] when you take Damage from an Enemy [HitDamage|Hit]",3,0,"",[],[8943],"",3,0,"","",61003
12,"AfflictionLoseSacredWaterOnRoomComplete",[16391],[30],"Gate Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionGateTollIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionGateToll","","Lose 30 [SacredWater|Sacred Water] on room completion",3,0,"",[],[8943],"",3,0,"","",35767
13,"AfflictionNoSacredWaterFromMonsters",[16392],[1],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Monsters no longer drop [SacredWater|Sacred Water]",3,0,"",[],[8943],"",3,0,"","",59642
14,"AfflictionLoseLifeAndEnergyShieldInXRooms8","[20909,20908]","[250,8]","Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,15,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing {1} Rooms",3,0,"",[],[8943],"",3,0,"","",59642
15,"AfflictionLoseLifeAndEnergyShieldInXRooms7","[20909,20908]","[250,7]","Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,16,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing {1} Rooms",3,0,"",[],[8943],14,3,0,"","",59642
16,"AfflictionLoseLifeAndEnergyShieldInXRooms6","[20909,20908]","[250,6]","Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,17,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing {1} Rooms",3,0,"",[],[8943],14,3,0,"","",59642
17,"AfflictionLoseLifeAndEnergyShieldInXRooms5","[20909,20908]","[250,5]","Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,18,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing {1} Rooms",3,0,"",[],[8943],14,3,0,"","",59642
18,"AfflictionLoseLifeAndEnergyShieldInXRooms4","[20909,20908]","[250,4]","Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,19,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing {1} Rooms",3,0,"",[],[8943],14,3,0,"","",59642
19,"AfflictionLoseLifeAndEnergyShieldInXRooms3","[20909,20908]","[250,3]","Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,20,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing {1} Rooms",3,0,"",[],[8943],14,3,0,"","",59642
20,"AfflictionLoseLifeAndEnergyShieldInXRooms2","[20909,20908]","[250,2]","Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,21,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing {1} Rooms",3,0,"",[],[8943],14,3,0,"","",59642
21,"AfflictionLoseLifeAndEnergyShieldInXRooms1",[17035],[250],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Take {0} [Physical] Damage after completing the next Room",3,0,"",[],[8943],14,3,0,1,"",59642
22,"AfflictionNoSacredWaterFromChests",[16393],[1],"Exhausted Wells","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionExhaustedWellsIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionExhaustedWells","","Chests no longer grant [SacredWater|Sacred Water]",3,0,"",[],[8943],"",3,0,"","",35912
