"rownum","BaseItemTypesKey","StatsKeysWeapon","StatsValuesWeapon","StatsKeysArmour","StatsValuesArmour"
0,491,"[47,48]","[7,11]",[138],[12]
1,492,"[54,55]","[6,10]",[140],[12]
2,493,"[61,62]","[1,20]",[142],[12]
3,494,[27],[20],[718],[20]
4,495,[2989],[300],[117],[25]
5,496,[2992],[200],[121],[20]
6,497,[99],[20],[439],[18]
7,498,[101],[10],[124],[15]
8,499,[18803],[25],[18788],[40]
9,500,[558],[100],[10811],[10]
10,501,[5140],[15],[144],[7]
11,502,[2738],[15],[20298],[10]
12,503,[3189],[2],[118],[2]
13,504,[5996],[2],[122],[2]
14,505,[5722],[30],[135],[5]
15,506,[18257],[30],[909],[1]
16,507,[18452],[20],[910],[1]
17,508,[18258],[30],[911],[1]
18,509,[19755],[15],[147],[10]
19,510,[3956],[15],[9985],[15]
20,511,[71],[5],[18707],[-10]
21,512,[386],[12],[97],[10]
22,513,[20866],[20],[20866],[20]
23,514,[20867],[20],[20867],[20]
24,515,[20868],[20],[20868],[20]
