"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]"
0,"UniqueChestTest1",360,665,0,[],0,[],"Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao","",[],"",98,[]
1,"PerandusBank",366,382,20,"[6371,6359,6406,6412,6629]",0,[],"Metadata/Chests/StrongBoxes/PerandusBox.ao","",[],"",93,[9179]
2,"KaomsCache",367,383,20,"[6362,6356,6384,6411,6629]",60,[],"Metadata/Chests/StrongBoxes/KaomBox.ao","",[],"",80,[9179]
3,"EmpyreanApparatus",368,384,60,"[6363,6357,6419,6629]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",83,[9179]
4,"ObaChest1",406,423,0,"[6410,6407]",0,[],"Metadata/Chests/StrongBoxes/JewellerStrongBox.ao","",[],"",93,[9179]
5,"ObaChest2",407,423,0,[6400],0,[],"Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao","",[],"",77,[9179]
6,"ObaChest3",408,423,0,"[6399,6420]",0,[],"Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao","",[],"",91,[9179]
7,"GrandmasterGemcutters",447,459,0,"[6421,6395,6403,6966]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",92,[]
8,"GrandmasterArcanists",448,459,0,"[6404,6966]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",79,[]
9,"GrandmasterCartographers",449,459,0,"[6402,6408,6414,6422,6966]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",88,[]
10,"GrandmasterOrnateStrongbox",450,459,0,"[6342,6334,6413,6966,6435]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",97,[]
11,"GrandmasterUniqueItem",451,459,0,"[6353,6336,6344,6966,6435]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
12,"GrandmasterSameBaseType",452,459,0,"[6336,6344,7193,6966,6435]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
13,"GrandmasterVaalVessel",453,459,0,"[6445,6336,6344,7189,6966,6435]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
14,"GrandmasterLargeStrongbox",454,459,0,"[6343,6335,6966,6435]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",95,[]
15,"BarrelOfSpiders",459,464,30,"[7254,6452,6392]",100,[],"Metadata/Chests/Barrels/GenericBarrel01.ao",1,[],364,98,[9179]
16,"DeshretsStorm",671,840,35,"[8445,6376,8447,6432,6428]",100,[],"Metadata/Chests/UniqueStrongboxes/Vase.ao","",[],"",81,[9179]
17,"AshesOfTheCondemned",672,841,40,"[6364,6375,6337,6348]",100,[],"Metadata/Chests/UniqueStrongboxes/BaroqueVase.ao","",[],"",98,[9179]
18,"MutewindCache",673,842,56,"[6378,8442,6338,6436]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
19,"RedbladeCache",674,843,56,"[6377,8441,6338,6436]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
20,"BrinerotCache",675,844,56,"[6379,8443,6338,6436]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
21,"RenegadesCache",676,845,56,"[6380,8444,6338,6436]",10,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
22,"ProphecyWickedKing4",776,1028,0,[6401],0,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",78,[9179]
23,"VaultsOfAtziriUnique",799,1050,0,[6966],0,[],"Metadata/Chests/VaalChests/VaalGoldChest02.ao",1,[],"",102,[]
24,"BreachUniqueBox",801,1059,0,[6400],0,[],"Metadata/Chests/Breach/BreachChestLarge.ao",1,[],"",117,[]
25,"DivinationCardUniqueBox",856,847,0,"[7264,6453,6629]",0,[],"Metadata/Chests/UniqueStrongboxes/DivinationCardUniqueStrongbox.ao",1,[],"",1184,[9179]
26,"WeylamsWarChest",867,846,40,"[6405,7260,8978,9038]",60,[],"Metadata/Chests/UniqueStrongboxes/WarChest.ao","",[],"",77,[9179]
27,"ForgottenReliquaryChest",892,1188,0,[9010],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",131,[]
28,"ForgottenReliquaryChest2",893,1189,0,[9011],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",132,[]
29,"ForgottenReliquaryChestVaal",894,1190,0,[9012],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",133,[]
30,"ForgottenReliquaryVenarius",895,1191,0,[9013],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",134,[]
31,"ForgottenReliquaryEaterOfWorlds",896,1192,0,[9014],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",135,[]
32,"ForgottenReliquaryMaven",897,1193,0,[9015],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",136,[]
33,"ForgottenReliquarySearingExarch",898,1194,0,[9016],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",137,[]
34,"ForgottenReliquarySirus",899,1195,0,[9017],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",138,[]
35,"ForgottenReliquaryShaper",900,1196,0,[9018],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",139,[]
36,"ForgottenReliquaryUberElder",901,1197,0,[9019],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",140,[]
