"rownum","SkillGem","i32","Icon"
0,210,50,"Art/2DArt/SkillIcons/Support/IgnitionSupport.dds"
1,47,50,"Art/2DArt/SkillIcons/Support/FirePenetrationSupport.dds"
2,211,50,"Art/2DArt/SkillIcons/Support/SearingFlameSupport.dds"
3,168,50,"Art/2DArt/SkillIcons/Support/MoreDurationSupport.dds"
4,165,50,"Art/2DArt/SkillIcons/Support/LessDurationSupport.dds"
5,167,50,"Art/2DArt/SkillIcons/Support/UnbreakableSupport.dds"
6,95,50,"Art/2DArt/SkillIcons/Support/ChanceToBleedSupport.dds"
7,16,50,"Art/2DArt/SkillIcons/Support/KnockbackSupport.dds"
8,352,50,"Art/2DArt/SkillIcons/Support/OverpowerSupport.dds"
9,164,50,"Art/2DArt/SkillIcons/Support/RuthlessSupport.dds"
10,108,50,"Art/2DArt/SkillIcons/Support/RageSupport.dds"
11,162,50,"Art/2DArt/SkillIcons/Support/JaggedGroundSupport.dds"
12,225,50,"Art/2DArt/SkillIcons/Support/ExploitWeaknessSupport.dds"
13,276,50,"Art/2DArt/SkillIcons/Support/EnragedWarcrySupport.dds"
14,166,50,"Art/2DArt/SkillIcons/Support/FistOfWarSupport.dds"
15,169,50,"Art/2DArt/SkillIcons/Support/ImpactShockwaveSupport.dds"
16,226,50,"Art/2DArt/SkillIcons/Support/DevastateSupport.dds"
17,123,50,"Art/2DArt/SkillIcons/Support/BloodMagicSupport.dds"
18,124,50,"Art/2DArt/SkillIcons/Support/BeheadSupport.dds"
19,125,50,"Art/2DArt/SkillIcons/Support/ExecuteSupport.dds"
20,73,50,"Art/2DArt/SkillIcons/Support/ConductionSupport.dds"
21,49,50,"Art/2DArt/SkillIcons/Support/LightningPenetrationSupport.dds"
22,129,50,"Art/2DArt/SkillIcons/Support/OverchargeSupport.dds"
23,8,50,"Art/2DArt/SkillIcons/Support/FasterProjectilesSupport.dds"
24,58,50,"Art/2DArt/SkillIcons/Support/SlowerProjectilesSupport.dds"
25,336,50,"Art/2DArt/SkillIcons/Support/KnockbackWaveSupport.dds"
26,96,50,"Art/2DArt/SkillIcons/Support/ChanceToPoisonSupport.dds"
27,97,50,"Art/2DArt/SkillIcons/Support/MaimSupport.dds"
28,44,50,"Art/2DArt/SkillIcons/Support/BlindSupport.dds"
29,7,50,"Art/2DArt/SkillIcons/Support/MultipleProjectilesSupport.dds"
30,23,50,"Art/2DArt/SkillIcons/Support/PierceSupport.dds"
31,50,50,"Art/2DArt/SkillIcons/Support/ChainSupport.dds"
32,114,50,"Art/2DArt/SkillIcons/Support/SecondWindSupport.dds"
33,304,50,"Art/2DArt/SkillIcons/Support/PerpetualChargeSupport.dds"
34,327,50,"Art/2DArt/SkillIcons/Support/BurstingPlagueSupport.dds"
35,305,50,"Art/2DArt/SkillIcons/Support/CorrosionSupport.dds"
36,333,50,"Art/2DArt/SkillIcons/Support/ElectrocuteSupport.dds"
37,302,50,"Art/2DArt/SkillIcons/Support/NeuralOverloadSupport.dds"
38,332,50,"Art/2DArt/SkillIcons/Support/IncreaseLimitSupport.dds"
