"rownum","Id","MonsterType","MovementSpeed","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","Mods","i32","string","string","ModelSizeMultiplier","i32","i32","rid","i32","i32","Tags","ExperienceMultiplier","[i32]","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffects","AISFile","Mods2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentity","Weapon2_ItemVisualIdentity","Back_ItemVisualIdentity","MainHand_ItemClass","OffHand_ItemClass","Helmet_ItemVisualIdentity","i32","KillSpecificMonsterCount_AchievementItems","Special_Mods","KillRare_AchievementItems","bool","i32","i32","i32","i32","i32","i32","HASH16","bool","string","KillWhileOnslaughtIsActive_AchievementItem","MonsterSegment","MonsterArmour","KillWhileTalismanIsActive_AchievementItem","Part1_Mods","Part2_Mods","Endgame_Mods","rid","i32","i32","[rid]","MultiPartAchievements","i32","SinkAnimation_AOFile","bool","[rid]","bool","bool","bool","i32","i32","f32","AilmentThreshold","SinkEffect","i32","MonsterConditionalEffectPack","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","BossHealthBar","rid","i32","bool","i32","i32","i32","i32","bool","i32","rid","i32","i32","i32","bool","i32","i32","i32","rid","i32","i32","i32","rid","bool","i32","bool"
0,"Any",53,40,1,6,6,[],[],"Metadata/Monsters/Clone/Clone",[],1,"","",100,1,3,"",17,0,[755],100,[],105,105,700,500,0,[578],"",[],"",3,"[ANY MONSTER]",100,100,830,[],[],"","","","",0,[],[],[],"",0,6,135,0,0,135,6509,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,146,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,146,0,"",0,100,1028443341,0,1,0,""
1,"Metadata/Monsters/Monkeys/MonkeyJungle",0,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyJungle.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle",[],1,"","",100,1,6,5,1,0,"[774,72,921,755,757,742,49,713,31,29,714,709,32,118,745,1025]",65,[4],105,105,700,500,0,"[583,774,2938]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[614],1,1,4,3,0,0,3,18656,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,15,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,1014,0,-5,5,"","",7,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,1014,0,280,3,65,1028443341,0,1,0,""
2,"Metadata/Monsters/Monkeys/MonkeyJungleTree",0,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyJungle.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungleTree",[],1,"","",100,1,33,5,1,0,"[774,72,921,755,757,742,49,713,31,29,714,709,32,118,745,1025]",65,[4],105,105,700,500,0,"[583,774,2938]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[614],1,1,4,3,0,0,3,34727,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-10,10,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,1544,0,-5,5,"","",7,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,1544,0,280,3,65,1028443341,0,1,0,""
3,"Metadata/Monsters/Monkeys/MonkeyJungleTamed",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamed",[],1,"","",100,1,6,5,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[583],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,16101,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,2300,0,-5,5,"","",7,"",0,0,0,0,1,0,"",1065353216,1065353216,0,"",0,2300,0,280,3,65,1028443341,0,1,0,""
4,"Metadata/Monsters/Monkeys/MonkeyJungleTamedBossSpectator",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamedBoss",[],1,"","",100,1,6,5,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[583],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"stance5",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,30687,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,2798,0,-5,5,"","",7,"",0,0,0,0,1,0,"",1065353216,1065353216,0,"",0,2798,0,280,3,65,1028443341,0,1,0,""
5,"Metadata/Monsters/BloodChieftain/MonkeyChiefJungle",15,36,4,8,11,"[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.act""]","[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ao""]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain",[],1,"","",100,3,6,18,1,0,"[72,772,757,731,725,49,747,754,713,1040,30,31,714,709,118]",175,[],105,105,700,500,0,"[580,793,3923,3805,2938,1944,3734,3735]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ais",[],"",0,"Alpha Primate",175,175,1905,[],[],"",12,"","",0,[],[],[602],"",1,3,135,0,0,3,57331,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,10,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,3810,0,-5,5,"","",7,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,3810,0,280,7,138,1028443341,0,1,0,""
6,"Metadata/Monsters/InsectMinion/InsectTest",27,40,1,6,6,"[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.act""]","[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.ao""]","Metadata/Monsters/InsectMinion/Testling",[],1,"","",60,1,6,4,1,0,"[774,72,1024,743,755,757,75,121,742,713,714]",100,[],105,105,700,500,0,[578],"Metadata/Monsters/InsectMinion/InsectMinion.ais",[],"",40,"Testling",100,100,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,5091,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","","",0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,4526,0,-50,50,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,4526,0,"",0,100,1028443341,0,1,0,""
7,"Metadata/Monsters/InsectMinion/InsectTestDoNotUse",28,40,1,6,6,"[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.act""]","[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.ao""]","Metadata/Monsters/InsectMinion/Testling",[],1,"","",60,1,6,4,1,0,"[774,72,1024,743,755,757,75,121,742,713,714]",10000,[],105,105,700,500,0,[578],"Metadata/Monsters/InsectMinion/InsectMinion.ais",[],"",40,"THIS IS A BUG",10000,10000,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,20789,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","","",0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,4866,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,4866,0,"",0,5050,1028443341,0,1,0,""
8,"Metadata/Monsters/Spiker/Spiker",13,32,3,6,9,"[""Metadata/Monsters/Spiker/Spiker.act""]","[""Metadata/Monsters/Spiker/Spiker.ao""]","Metadata/Monsters/Spiker/Spiker",[6186],1,"","",100,3,6,4,1,0,"[723,774,72,1024,757,738,725,49,747,754,713,1090,714,118,708]",140,[],105,105,700,500,0,[],"Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,62270,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,5478,0,-5,5,"","",7,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,5478,0,283,6,120,1028443341,0,1,0,""
9,"Metadata/Monsters/Spiker/Spiker3_",13,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerNew.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/Spiker",[],1,"","",100,3,6,4,1,0,"[723,72,1024,49,754,713,1090,714,118,708]",140,[],105,105,700,500,0,"[580,1490,4098,663]","Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,8963,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,5972,0,-10,5,"","",7,1,0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,5972,0,283,6,120,1028443341,0,1,0,""
