"rownum","BaseItemType","Critical","rid","Speed","DamageMin","DamageMax","RangeMax","i32"
0,260,500,7,833,1,1,13,0
1,261,500,4,909,3,28,11,0
2,262,500,9,833,10,18,13,0
3,863,600,1,667,5,10,10,0
4,1159,700,4,588,0,0,11,0
5,1160,700,7,625,0,0,13,0
6,1667,500,4,645,6,9,11,0
7,1668,500,4,625,8,13,11,0
8,1669,500,4,667,11,20,11,0
9,1670,500,4,645,14,23,11,0
10,1671,500,4,625,19,34,11,0
11,1672,500,4,667,18,38,11,0
12,1673,500,4,667,27,37,11,0
13,1674,500,4,645,27,45,11,0
14,1675,500,4,667,33,49,11,0
15,1676,500,4,606,26,55,11,0
16,1677,500,4,625,30,56,11,0
17,1678,500,4,667,36,60,11,0
18,1679,500,4,645,43,65,11,0
19,1680,500,7,769,9,16,13,0
20,1681,500,7,741,13,23,13,0
21,1682,500,7,769,19,32,13,0
22,1683,500,7,800,25,42,13,0
23,1684,500,7,769,28,52,13,0
24,1685,500,7,741,31,58,13,0
25,1686,500,7,769,40,67,13,0
26,1687,500,7,800,49,73,13,0
27,1688,500,7,769,45,94,13,0
28,1689,500,7,800,55,103,13,0
29,1690,500,7,769,51,106,13,0
30,1691,500,7,741,61,92,13,0
31,1692,500,7,769,72,119,13,0
32,1693,500,2,667,4,10,11,0
33,1694,500,2,690,5,14,11,0
34,1695,500,2,690,8,21,11,0
35,1696,500,2,667,8,25,11,0
36,1697,500,2,667,13,31,11,0
37,1698,650,2,714,18,37,11,0
38,1699,500,2,667,19,44,11,0
39,1700,500,2,667,20,42,11,0
40,1701,500,2,645,24,55,11,0
41,1702,500,2,645,30,62,11,0
42,1703,500,2,667,28,65,11,0
43,1704,500,2,667,26,69,11,0
44,1705,500,2,667,34,79,11,0
45,1706,500,5,833,8,20,13,0
46,1707,500,5,800,10,25,13,0
47,1708,500,5,833,10,41,13,0
48,1709,500,5,870,17,59,13,0
49,1710,500,5,833,19,64,13,0
50,1711,500,5,833,23,70,13,0
51,1712,650,5,833,27,91,13,0
52,1713,500,5,870,43,99,13,0
53,1714,500,5,833,43,113,13,0
54,1715,500,5,833,58,154,13,0
55,1716,500,5,833,53,123,13,0
56,1717,500,5,833,48,143,13,0
57,1718,500,5,833,59,155,13,0
58,1719,500,3,690,6,10,11,0
59,1720,500,3,690,9,15,11,0
60,1721,500,3,645,11,17,11,0
61,1722,500,3,690,15,24,11,0
62,1723,800,3,690,18,24,11,0
63,1724,500,3,714,18,38,11,0
64,1725,500,3,690,28,38,11,0
65,1726,500,3,714,31,38,11,0
66,1727,650,3,690,33,49,11,0
67,1728,500,3,690,30,50,11,0
68,1729,500,3,690,36,60,11,0
69,1730,500,3,690,40,60,11,0
70,1731,500,3,690,44,73,11,0
71,1732,500,6,909,13,18,13,0
72,1733,500,6,952,14,26,13,0
73,1734,500,6,952,29,39,13,0
74,1735,500,6,909,32,48,13,0
75,1736,500,6,952,32,43,13,0
76,1737,500,6,833,35,72,13,0
77,1738,500,6,909,58,78,13,0
78,1739,500,6,909,62,75,13,0
79,1740,650,6,909,68,102,13,0
80,1741,500,6,909,73,99,13,0
81,1742,500,6,909,74,124,13,0
82,1743,500,6,909,87,118,13,0
83,1744,500,6,909,96,144,13,0
84,1745,500,11,625,5,9,15,0
85,1746,500,11,625,7,13,15,0
86,1747,500,11,645,10,18,15,0
87,1748,500,11,606,12,22,15,0
88,1749,500,11,625,14,26,15,0
89,1750,500,11,625,17,32,15,0
90,1751,650,11,625,20,38,15,0
91,1752,500,11,645,28,51,15,0
92,1753,500,11,645,28,51,15,0
93,1754,1000,11,625,27,50,15,0
94,1755,500,11,625,30,56,15,0
95,1756,500,11,625,23,91,15,0
96,1757,500,11,625,37,68,15,0
97,1758,500,8,606,4,10,11,0
98,1759,500,8,588,4,16,11,0
99,1760,500,8,625,7,23,11,0
100,1761,500,8,645,10,26,11,0
101,1762,500,8,625,13,31,11,0
102,1763,500,8,588,11,38,11,0
103,1764,500,8,606,12,46,11,0
104,1765,500,8,645,16,49,11,0
105,1766,500,8,625,23,54,11,0
106,1767,500,8,588,25,52,11,0
107,1768,500,8,645,27,63,11,0
108,1769,500,8,625,23,68,11,0
109,1770,500,8,606,23,79,11,0
110,1771,1500,1,645,3,10,10,0
111,1772,1500,1,645,4,15,10,0
112,1773,1500,1,645,8,19,10,0
113,1774,1350,1,606,8,22,10,0
114,1775,1500,1,645,11,26,10,0
115,1776,1350,1,645,11,34,10,0
116,1777,1500,1,645,13,39,10,0
117,1778,1500,1,667,18,42,10,0
118,1779,1500,1,667,19,44,10,0
119,1780,1500,1,606,16,48,10,0
120,1781,1500,1,645,16,55,10,0
121,1782,1500,1,645,22,52,10,0
122,1783,1500,1,645,21,62,10,0
123,1784,1000,10,714,7,12,13,0
124,1785,1000,10,714,9,18,13,0
125,1786,1150,10,714,16,26,13,0
126,1787,1000,10,714,13,54,13,0
127,1788,1000,10,667,19,39,13,0
128,1789,1000,10,714,28,51,13,0
129,1790,1000,10,714,29,60,13,0
130,1791,1000,10,714,33,55,13,0
131,1792,1000,10,741,39,80,13,0
132,1793,0,10,667,62,84,13,0
133,1794,1000,10,714,47,79,13,0
134,1795,1000,10,714,47,87,13,0
135,1796,1000,10,714,57,94,13,0
136,1797,1000,13,690,6,9,11,0
137,1798,1000,13,690,8,14,11,0
138,1799,1000,13,690,10,17,11,0
139,1800,1000,13,690,14,23,11,0
140,1801,1000,13,714,8,18,11,0
141,1802,800,13,667,19,32,11,0
142,1803,1000,13,690,23,38,11,0
143,1804,1000,13,690,23,44,11,0
144,1805,1000,13,714,31,57,11,0
145,1806,1000,13,690,24,55,11,0
146,1807,1250,13,714,27,56,11,0
147,1808,1000,13,690,35,58,11,0
148,1809,1000,13,690,36,66,11,0
149,1836,500,0,833,6,9,120,0
150,1837,500,0,800,7,14,120,0
151,1838,500,0,870,12,18,120,0
152,1839,500,0,909,15,31,120,0
153,1840,500,0,833,19,31,120,0
154,1841,500,0,909,16,31,120,0
155,1842,500,0,833,36,59,120,0
156,1843,500,0,833,31,47,120,0
157,1844,500,0,870,39,72,120,0
158,1845,500,0,833,38,57,120,0
159,1846,650,0,870,40,82,120,0
160,1847,500,0,833,42,63,120,0
161,1848,500,0,833,45,75,120,0
162,1849,500,12,625,6,10,120,800
163,1850,500,12,625,7,13,120,850
164,1851,500,12,645,9,22,120,750
165,1852,500,12,625,10,30,120,800
166,1853,500,12,625,7,30,120,1100
167,1854,500,12,588,11,42,120,700
168,1855,500,12,606,12,47,120,750
169,1856,500,12,625,15,61,120,800
170,1857,700,12,625,17,67,120,850
171,1858,500,12,606,17,68,120,850
172,1859,500,12,625,16,63,120,900
173,1860,700,12,645,21,83,120,850
174,1861,500,12,625,24,96,120,800
175,2308,500,3,690,38,64,11,0
176,2309,500,3,645,33,50,11,0
177,2310,800,3,690,34,46,11,0
178,2311,500,3,714,34,70,11,0
179,2312,500,3,690,45,61,11,0
180,2313,500,3,714,49,60,11,0
181,2314,500,6,952,59,109,13,0
182,2315,500,6,952,84,113,13,0
183,2316,500,6,952,62,83,13,0
184,2317,500,6,833,60,125,13,0
185,2318,500,6,909,94,127,13,0
186,2319,500,6,909,93,114,13,0
187,2320,1000,10,714,35,72,13,0
188,2321,1150,10,714,43,72,13,0
189,2322,1000,10,714,30,57,13,0
190,2323,1000,10,667,40,83,13,0
191,2324,1000,10,714,45,94,13,0
192,2325,1000,10,714,49,82,13,0
193,2326,500,0,800,29,54,120,0
194,2327,500,0,870,35,53,120,0
195,2328,500,0,833,36,61,120,0
196,2329,500,0,833,29,54,120,0
197,2330,500,0,833,41,69,120,0
198,2331,500,0,833,46,69,120,0
199,2332,500,12,625,17,66,120,850
200,2333,500,12,645,19,76,120,750
201,2334,500,12,625,19,78,120,800
202,2335,500,12,625,17,66,120,1100
203,2336,500,12,606,19,77,120,750
204,2337,500,12,625,23,92,120,800
205,2565,500,3,645,45,67,11,0
206,2566,500,3,714,43,89,11,0
207,2567,500,3,690,61,101,11,0
208,2568,800,3,690,48,64,11,0
209,2569,500,3,714,60,73,11,0
210,2570,500,3,690,51,84,11,0
211,2571,500,6,952,112,151,13,0
212,2572,500,6,833,76,158,13,0
213,2573,500,6,952,94,174,13,0
214,2574,500,6,952,89,120,13,0
215,2575,500,6,909,113,138,13,0
216,2576,500,6,909,119,161,13,0
217,2577,1150,10,714,55,92,13,0
218,2578,1000,10,667,50,103,13,0
219,2579,1000,10,714,53,111,13,0
220,2580,1000,10,714,43,172,13,0
221,2581,1000,10,714,58,97,13,0
222,2582,1000,10,714,65,108,13,0
223,2583,500,0,800,41,76,120,0
224,2584,500,0,833,49,82,120,0
225,2585,500,0,870,53,80,120,0
226,2586,500,0,833,39,73,120,0
227,2587,500,0,833,52,87,120,0
228,2588,500,0,833,56,84,120,0
229,2589,500,12,645,25,102,120,750
230,2590,500,12,625,26,105,120,800
231,2591,500,12,625,26,106,120,850
232,2592,500,12,625,22,89,120,1100
233,2593,500,12,606,24,97,120,750
234,2594,500,12,625,28,112,120,800
