"rownum","Id","ItemClass","Width","Height","Name","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","rid","rid"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",5,"",[],1,521,[348],36,1,0,1154719587,[],"","","",[],[],"","","","","","","",[],"",""
1,"Metadata/Items/Currency/CurrencyMagicQuality",30,1,1,"Arcanist's Etcher","Metadata/Items/Currency/StackableCurrency",5,"",[],1,514,[348],36,1,1,2592103600,[],"","","",[],[],"","","","","","","",[],"",""
2,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],36,1,2,1351093167,[7076],"","","",[],[],"","","","","","","",[],"",""
3,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,753,[],36,1,3,1934876153,[9141],"","","",[],[],"","","","","","","",[],"",""
4,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Chaos Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],36,1,4,2744115753,[],"","","",[],[],"","","","","","","",[],"",""
5,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",5,"",[],1,520,[348],36,1,5,4228140445,[],"","","",[],[],"","","","","","","",[],"",""
6,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,523,[],36,1,7,2042772245,[],"","","",[],[],"","","","","","","",[],"",""
7,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",5,"",[],1,519,[],36,1,8,2433763647,[],"","","",[],[],"","","","","","","",[],"",""
8,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",12,"",[],1,522,[],36,1,9,3312659589,[9140],"","","",[],[],"","","","","","","",[],"",""
9,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],36,1,10,2605400741,[],"","","",[],[],"","","","","","","",[],"",""
10,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],36,1,11,3892935821,[],"","","",[],[],"",1,"","","","","",[],"",""
11,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,525,[],36,1,12,1315720499,[],"","","",[],[],"","","","","","","",[],"",""
12,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],36,1,13,3610411607,[],"","","",[],[],"","","","","","","",[],"",""
13,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,518,[],36,1,14,2131686967,"[148,8334]","","","",[],[],"","","","","","","",[],"",""
14,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,517,[],36,1,16,3226424873,[],"","","",[],[],"","","","","","","",[],"",""
15,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,524,[],36,1,17,3636285277,[9207],"","","",[],[],"","","","","","","",[],"",""
16,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,18,4122699490,[],"","","",[],[],"","","","","","","",[],"",""
17,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],36,1,19,1328218349,[],"","","",[],[],"","","","","","","",[],"",""
18,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",12,"",[],1,723,[348],36,1,20,3715417279,[7079],"","","",[],[],"","","","","","","",[],"",""
19,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,513,[348],36,1,21,128553707,[7566],"","","",[],[],"","","","","","","",[],"",""
20,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,724,[],36,1,31,471734571,[8717],"","","",[],[],"","","","","","","",[],"",""
21,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],36,1,32,3340498317,[9009],"","","",[],[],"","","","","","","",[],"",""
22,"Metadata/Items/Currency/CurrencyAddSkillGemSocket3",30,1,1,"Lesser Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",25,"",[],1,510,[1110],36,1,33,4074381865,"[7815,8947]","","","",[],[],"","","","","","","",[],"",""
