"rownum","BaseItemTypesKey","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","RecoveryTime2","BuffDefinitionsKey","i32","UtilityBuff"
0,2221,"Lesser Life Flask",1,50,0,30,30,"",0,[]
1,2222,"Medium Life Flask",1,90,0,50,50,"",0,[]
2,2223,"Greater Life Flask",1,150,0,40,40,"",0,[]
3,2224,"Grand Life Flask",1,260,0,50,50,"",0,[]
4,2225,"Giant Life Flask",1,340,0,40,40,"",0,[]
5,2226,"Colossal Life Flask",1,450,0,40,40,"",0,[]
6,2227,"Gargantuan Life Flask",1,710,0,50,50,"",0,[]
7,2228,"Transcendent Life Flask",1,840,0,40,40,"",0,[]
8,2229,"Ultimate Life Flask",1,920,0,30,30,"",0,[]
9,2230,"Lesser Mana Flask",2,0,50,20,20,"",0,[]
10,2231,"Medium Mana Flask",2,0,70,30,30,"",0,[]
11,2232,"Greater Mana Flask",2,0,90,25,25,"",0,[]
12,2233,"Grand Mana Flask",2,0,110,25,25,"",0,[]
13,2234,"Giant Mana Flask",2,0,165,35,35,"",0,[]
14,2235,"Colossal Mana Flask",2,0,165,25,25,"",0,[]
15,2236,"Gargantuan Mana Flask",2,0,185,20,20,"",0,[]
16,2237,"Transcendent Mana Flask",2,0,285,35,35,"",0,[]
17,2238,"Ultimate Mana Flask",2,0,310,30,30,"",0,[]
18,2239,"Thawing Charm",3,0,0,30,30,"",0,[1]
19,2240,"Staunching Charm",3,0,0,30,30,"",0,[0]
20,2241,"Antidote Charm",3,0,0,30,30,"",0,[4]
21,2242,"Dousing Charm",3,0,0,30,30,"",0,[2]
22,2243,"Grounding Charm",3,0,0,30,30,"",0,[3]
23,2244,"Stone Charm",3,0,0,25,25,"",0,[5]
24,2245,"Silver Charm",3,0,0,30,30,"",0,[6]
25,2246,"Ruby Charm",3,0,0,40,40,"",0,[7]
26,2247,"Sapphire Charm",3,0,0,40,40,"",0,[8]
27,2248,"Topaz Charm",3,0,0,40,40,"",0,[9]
28,2249,"Amethyst Charm",3,0,0,40,40,"",0,[10]
29,2250,"Golden Charm",3,0,0,10,10,"",0,[11]
