"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","rid","i32","i32","i32","bool","row","i32","bool","bool","i32","bool","i32"
0,1000,1,33,99,0,0,103,0,-30,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,2,1,"",0,"",0
1,1001,1,10,150,0,0,105,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,3,1,1,0,"",0
2,1002,1,15,75,0,0,106,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,3,1,"",0,1,1022739087
3,1004,1,65,130,0,0,1345,0,0,0,0,180,0,0,0,0,"","",0,0,0,1,"",8,4,1,"",0,1,1008981770
4,1005,1,50,300,0,0,132,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,3,1,1,0,"",1028443341
5,1006,3,50,75,0,0,108,0,20,10,0,30,500,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
6,1007,3,50,75,-20,0,108,0,20,10,0,-30,500,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
7,1008,6,50,60,-25,0,107,0,30,10,0,0,1000,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
8,1009,6,50,60,-25,0,107,0,30,10,0,0,1000,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
9,1010,6,50,-60,0,180,107,60,60,0,0,30,1000,0,0,0,"","",0,0,0,2,1,8,4,"","",0,"",0
10,1011,1,150,150,0,0,110,0,0,0,0,0,0,0,0,0,"","",0,0,0,2,"",8,3,1,"",0,"",0
11,1012,1,30,300,0,0,111,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,3,"","",0,1,1028443341
12,1013,1,125,125,0,0,112,-20,0,0,0,60,0,0,0,0,1,"",0,0,0,0,1,8,3,1,"",0,"",0
13,1014,1,50,75,0,0,109,0,0,0,0,0,1000,0,0,0,"","",0,0,0,0,"",8,3,"","",0,"",0
14,1015,1,10,80,0,0,113,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,1,1,8,3,1,"",0,"",0
15,1016,1,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,1,8,2,1,1,0,"",0
