"rownum","BaseItemTypesKey","Regular_WorldAreasKey","MonsterPacksKeys","AchievementItem","string","Tier","MapSeriesKey","bool","bool","bool"
0,516,"",[],"","",1,0,"","",""
1,517,"",[],"","",2,0,"","",""
2,518,"",[],"","",3,0,"","",""
3,519,"",[],"","",4,0,"","",""
4,520,"",[],"","",5,0,"","",""
5,521,"",[],"","",6,0,"","",""
6,522,"",[],"","",7,0,"","",""
7,523,"",[],"","",8,0,"","",""
8,524,"",[],"","",9,0,"","",""
9,525,"",[],"","",10,0,"","",""
10,526,"",[],"","",11,0,"","",""
11,527,"",[],"","",12,0,"","",""
12,528,"",[],"","",13,0,"","",""
13,529,"",[],"","",14,0,"","",""
14,530,"",[],"","",15,0,"","",""
15,531,"",[],"","",16,0,1,"",""
