"rownum","Id","Name","LocalLevelStat","LocalQualityStat","GlobalSpellLevelStat"
0,"fire","[Fire]",9625,20978,10160
1,"cold","[Cold]",9626,20979,10006
2,"lightning","[Lightning]",9627,20980,10009
3,"chaos","[Chaos]",9628,10106,14335
4,"spell","[Spell]","",9624,""
5,"projectile","[Projectile]","",19007,""
6,"bow","Bow","",18018,""
7,"melee","[Melee]","",18017,""
8,"minion","[Minion]","",9630,14336
9,"strength","","",10108,""
10,"dexterity","","",10109,""
11,"intelligence","","",10110,""
12,"aura","[Aura]","","",10005
13,"attack","[Attack]","","",""
14,"area","[AoESkill|AoE]","","",""
15,"duration","[DurationSkill|Duration]","","",""
16,"support","[SupportGem|Support]","","",""
17,"curse","[Curse]","",16713,10008
18,"chaining","[Chain|Chaining]","","",""
19,"totem","[Totem]","",10112,""
20,"trap","Trap","",18016,""
21,"mine","Mine","","",""
22,"movement","Movement","","",""
23,"cast","Cast","","",""
24,"vaal","Vaal","",10111,""
25,"grants_active_skill","","","",""
26,"trigger","[Trigger]","","",""
27,"warcry","[Warcry]","","",""
28,"golem","Golem","","",""
29,"low_max_level","","","",""
30,"channelling","[Channelling]","","",""
31,"herald","[Herald]","","",""
32,"brand","Brand","","",""
33,"physical","[Physical]",9629,10107,14334
34,"guard","","","",""
35,"travel","[Travel]","","",""
36,"strike","[Strike]","","",14333
37,"blink","Blink","","",""
38,"nova","[Nova]","","",""
39,"banner","","","",""
40,"slam","[Slam]","","",""
41,"stance","Stance","","",""
42,"hex","","","",""
43,"mark","[Mark]","","",""
44,"orb","[Orb]","","",""
45,"random_element","Prismatic","","",""
46,"arcane","Arcane","","",""
47,"critical","Critical","","",""
48,"exceptional","Exceptional","","",""
49,"link","Link","",17125,""
50,"blessing","Blessing","","",""
51,"awakened","","","",""
52,"meta","[Meta]","","",""
53,"crossbow","Crossbow","",18019,""
54,"shapeshift","Shapeshift","","",""
55,"bear","Bear","","",""
56,"wolf","Wolf","","",""
57,"detonator","[Detonator]","","",""
58,"buff","[Buff]","","",""
59,"persistent","[Persistent]","","",""
60,"ammunition","[Ammunition]","","",""
61,"sustained","[Sustained]","","",""
62,"payoff","[Payoff]","","",""
63,"grenade","[Grenade]","","",""
