"rownum","Id","StashId","Id2","i32","i32","i32","bool","i32","i32","i32","i32","i16","bool"
0,"NormalStash",0,"NormalStash",12,12,60,"",570425344,0,570425344,0,0,""
1,"PremiumStash",1,"PremiumStash",12,12,60,"",570425344,0,570425344,0,0,""
2,"TradeStash",2,"TradeStash",12,12,60,"",570425344,0,570425344,0,0,""
3,"CurrencyStash",3,"CurrencyStash",41,4,18,"",570425344,0,570425344,0,0,""
4,"UniqueStash",4,"UniqueStash",94,4,24,"",570425344,0,570425344,0,0,""
5,"MapStash",5,"MapStash",12,6,23,1,570425344,0,-1509949440,0,0,""
6,"DivinationCardStash",6,"DivinationCardStash",0,1,20,1,570425344,0,2013265920,1,0,""
7,"QuadStash",7,"QuadStash",24,24,60,"",570425344,0,570425344,0,0,""
8,"EssenceStash",8,"EssenceStash",30,4,21,"",570425344,0,1107296256,2,0,""
9,"FragmentStash",9,"FragmentStash",152,3,22,1,570425344,0,-402653184,2,0,""
10,"PCBangPremiumStash",10,"PCBangPremiumStash",12,12,60,"",570425344,0,570425344,0,0,""
11,"PCBangEssenceStash",11,"PCBangEssenceStash",30,4,21,"",570425344,0,570425344,0,0,""
12,"DelveStash",12,"DelveStash",41,4,27,1,570425344,0,-637534208,3,0,""
13,"BlightStash",13,"BlightStash",66,4,31,1,570425344,0,2013265920,4,0,""
14,"MetamorphStash",14,"MetamorphStash",62,5,33,1,570425344,0,503316480,5,0,""
15,"DeliriumStash",15,"DeliriumStash",40,1,30,"",570425344,0,570425344,0,0,""
16,"Folder",16,"Folder",0,0,60,"",570425344,0,570425344,0,0,""
17,"FlaskStash",17,"FlaskStash",250,4,46,"",570425344,0,570425344,0,0,""
18,"GemStash",18,"GemStash",250,2,47,"",570425344,0,570425344,0,0,""
