"rownum","Id","[i16]","Script","[rid]","[rid]","rid","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"MicrotransactionBreachHandOnKill","[68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105,115,99]","Delay( 1.0,\r\n{\r\n  PlayEffect( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/breachhole.ao\"", scale:0.65 );\r\n} );",[],[],4,[],0,0,0,0,0,1912602624,2,0,0,0
1,"MicrotransactionSkySwordOnKill","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105,115,99,47,114,97,114,101,95,117,110,105,113,117,101,95,107,105,108,108,47,98,114,101,97,99,104,47,101,112,107,115,47,99,111,114,112,115,101,95,100,114,97,103,103,101,100,95,100,111,119,110,46,101,112,107,34,32,41,59,13,10,125,32,41,59,0,0,68,101,108,97,121,40,32,49,46,48,44,13,10,123,13,10,32,32,80,108,97,121,69,102,102,101,99,116,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105,115,99,47,114,97,114,101,95,117,110,105,113,117,101,95,107,105,108,108,47,98,114,101,97,99,104,47,98,114,101,97,99,104,104,111,108,101,46,97,111,34,44,32,115,99,97,108,101,58,48,46,54,53,32,41,59,13,10,125,32,41,59,0,0,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,83,107,121,83,119,111,114,100,79,110,75,105,108,108,0,0,68,101,108,97,121,40,48,46,51,44,32,123,80,97,117,115,101,65,110,105,109,97,116,105,111,110,40,41,59,125,41,59,32,68,101,108,97,121,40,50,46,51,44,32,123,82,101,115,117,109,101,65,110,105,109,97,116,105,111,110,40,41,59,125,41,59,0,0,580,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,66,105,114,100,115,79,110,82,97,114,101,75,105,108,108,0,0,581,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,77,111,108,116,101,110,76,105,113,117,105,102,121,79,110,75,105,108,108,0,0,83,101,116,67,117,114,114,101,110,116,65,110,105,109,97,116,105,111,110,83,112,101,101,100,40,48,46,48,50,41,59,0,0,587,0,0,0,0,0,0,0,7586,0,0,0,0,0,0,0,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,66,108,111,111,100,65,110,100,71,111,114,101,79,110,75,105,108,108,0,0,590,0,0,0,0,0,0,0,7585,0,0,0,0,0,0,0,82,97,105,106,117,83,99,111,117,114,103,101,76,105,103,104,116,110,105,110,103,79,110,75,105,108,108,0,0,7535,0,0,0,0,0,0,0,7535,0,0,0,0,0,0,0,7535,0,0,0,0,0,0,0,7535,0,0,0,0,0,0,0,7535,0,0,0,0,0,0,0,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,67,111,114,100,121,99,101,112,66,111,119,79,110,75,105,108,108,0,0,598,0,0,0,0,0,0,0]","",[580],[407],"",[],0,0,0,0,0,1509949440,3,0,0,0
2,"MicrotransactionBirdsOnRareKill","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105]","",[581],[408],1,[],0,0,0,0,0,-1140850688,3,0,0,0
3,"MicrotransactionMoltenLiquifyOnKill","[83,101,116,67,117,114,114,101,110,116,65,110,105,109,97,116,105,111,110,83,112,101,101,100,40,48,46,48,50,41,59,0,0,587,0,0,0,0,0,0,0,7586,0,0,0,0,0,0,0,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,66,108,111,111,100,65,110,100,71,111,114]","",[587],[],5,[7586],0,0,0,0,0,1744830464,4,0,0,0
4,"MicrotransactionBloodAndGoreOnKill","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105]","",[590],[],6,[7585],0,0,0,0,0,-805306368,4,0,0,0
5,"RaijuScourgeLightningOnKill","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105]","",[],[],"","[7535,7535,7535,7535,7535]",16777216,117440512,0,0,0,1509949440,5,0,0,0
6,"MicrotransactionCordycepBowOnKill","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105]","","[598,599]",[],"",[],0,0,33554432,0,0,-1073741824,5,0,0,0
7,"MtxIonCannonOnKill","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105]","",[],[],"",[8666],0,0,0,0,0,-134217728,5,0,0,0
8,"MtxExplodingHeart","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105]","",[],[],"",[8676],0,0,0,0,0,771751936,6,0,0,0
9,"MicrotransactionHokoRareFinisher","[0,0,68,101,108,97,121,40,32,49,46,55,53,44,13,10,123,13,10,32,32,32,32,65,100,100,69,102,102,101,99,116,80,97,99,107,40,32,34,77,101,116,97,100,97,116,97,47,69,102,102,101,99,116,115,47,77,105,99,114,111,116,114,97,110,115,97,99,116,105,111,110,115,47,77,105]","",[],[],"",[8583],0,0,0,0,0,-2113929216,6,0,0,0
