"rownum","RewardOffer","i32","bool","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","bool","[rid]","rid","i32","i32","i32","rid","i32","[rid]","i32","bool"
0,0,0,"",0,0,134217728,0,2080374784,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
1,1,0,"",0,0,201326592,0,2097152000,67108864,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
2,2,0,"",0,0,201326592,0,603979776,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
3,3,0,"",0,0,201326592,0,822083584,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
4,4,0,"",0,0,201326592,0,2097152000,134217728,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
5,5,0,"",0,0,201326592,0,3321888768,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
6,5,1,"",0,0,201326592,0,3338665984,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
7,5,2,"",0,0,201326592,0,3355443200,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
8,6,0,"",0,0,201326592,0,2063597568,251658240,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
9,7,0,"",0,0,201326592,0,2097152000,251658240,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
10,11,0,"",0,0,201326592,0,2063597568,268435456,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
11,12,0,"",0,0,201326592,0,2063597568,385875968,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
12,16,0,"",0,0,201326592,0,922746880,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
13,8,0,"",0,0,201326592,0,1191182336,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
14,9,0,"",0,0,201326592,0,1677721600,369098752,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
15,10,0,"",0,0,201326592,0,2013265920,16777216,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
16,13,0,"",0,0,201326592,0,2097152000,352321536,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
17,14,0,"",0,0,201326592,0,2097152000,335544320,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
18,15,0,"",0,0,201326592,0,2097152000,335544320,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
19,17,0,"",0,0,201326592,0,2717908992,570425344,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
20,17,1,"",0,0,201326592,0,2734686208,570425344,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
21,18,0,"",0,0,201326592,0,1308622848,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
22,18,1,"",0,0,201326592,0,1325400064,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
