"rownum","Id","DDSFile","AOFile","InventorySoundEffect","HASH16","AOFile2","MarauderSMFiles","RangerSMFiles","WitchSMFiles","DuelistDexSMFiles","TemplarSMFiles","ShadowSMFiles","ScionSMFiles","MarauderShape","RangerShape","WitchShape","DuelistShape","TemplarShape","ShadowShape","ScionShape","rid","i32","Pickup_AchievementItemsKeys","SMFiles","Identify_AchievementItemsKeys","EPKFile","Corrupt_AchievementItemsKeys","IsAlternateArt","bool","CreateCorruptedJewelAchievementItemsKey","AnimationLocation","string","string","string","string","string","string","string","string","string","string","string","string","IsAtlasOfWorldsMapIcon","IsTier16Icon","[i32]","bool","[rid]","[string]","[string]","[string]","[string]","[string]","[string]","[string]","string","string","string","string","string","string","string","string","string","Composition","rid","rid","rid","rid","[string]","[string]","[string]","[string]","[string]","[string]","rid","string","string","string","string","string","string","string"
0,"CurrencyWeaponQuality","Art/2DItems/Currency/CurrencyWeaponQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",508,24441,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
1,"CurrencyMagicQuality","Art/2DItems/Currency/CurrencyWeaponMagicQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",504,-15690,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
2,"CurrencyIdentification","Art/2DItems/Currency/CurrencyIdentification.dds","Metadata/Items/Currency/CurrencyIdentification.ao",27,2083,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3,"CurrencyRerollRare","Art/2DItems/Currency/CurrencyRerollRare.dds","Metadata/Items/Currency/CurrencyRerollRare.ao",494,29204,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
4,"CurrencyRerollRareVeiled","Art/2DItems/Currency/VeiledChaosOrb.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,28206,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
5,"CurrencyArmourQuality","Art/2DItems/Currency/CurrencyArmourQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",509,-20678,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
6,"CurrencyMapQuality","Art/2DItems/Currency/CurrencyMapQuality.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,-9622,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
7,"CurrencyDuplicate","Art/2DItems/Currency/CurrencyDuplicate.dds","Metadata/Items/Currency/CurrencyDuplicate.ao",501,20709,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],275,"","","","","","",""
8,"CurrencyUpgradeToRare","Art/2DItems/Currency/CurrencyUpgradeToRare.dds","Metadata/Items/Currency/CurrencyUpgradeToRare.ao",490,6755,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
9,"CurrencyUpgradeRandomly","Art/2DItems/Currency/CurrencyUpgradeToUnique.dds","Metadata/Items/Currency/CurrencyUpgradeRandomly.ao",502,-27171,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
10,"CurrencyPassiveRefund","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,19672,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
11,"CurrencyAtlasPassiveRefund","Art/2DItems/Currency/RegretOrb.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,-31622,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
12,"CurrencyUpgradeToMagic","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds","Metadata/Items/Currency/CurrencyUpgradeToMagic.ao",499,-21865,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
13,"CurrencyRerollMagic","Art/2DItems/Currency/CurrencyRerollMagic.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",491,-15778,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
14,"CurrencyConvertToNormal","Art/2DItems/Currency/CurrencyConvertToNormal.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",498,545,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
15,"CurrencyRerollSockets","Art/2DItems/Currency/CurrencyRerollMagic.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,24908,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
16,"CurrencyAddModToRare","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyAddModToRare.ao",496,14330,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],275,"","","","","","",""
17,"CurrencyUpgradeMagicToRare","Art/2DItems/Currency/CurrencyUpgradeMagicToRare.dds","Metadata/Items/Currency/CurrencyUpgradeMagicToRare.ao",497,-31757,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],275,"","","","","","",""
18,"CurrencyAddModToMagic","Art/2DItems/Currency/CurrencyAddModToMagic.dds","Metadata/Items/Currency/CurrencyAddModToMagic.ao",493,22415,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
19,"CurrencyPortal","Art/2DItems/Currency/CurrencyPortal.dds","Metadata/Items/Currency/CurrencyPortal.ao",27,-4817,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
20,"CurrencyFlaskQuality","Art/2DItems/Currency/CurrencyFlaskQuality.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",721,10110,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
21,"CurrencyGemQuality","Art/2DItems/Currency/CurrencyGemQuality.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",503,32367,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
22,"CurrencyExtra1","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-10551,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
23,"CurrencyExtra2","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-80,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
24,"CurrencyExtra3","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-31107,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
25,"CurrencyExtra4","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,25204,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
26,"CurrencyIdentificationShard","Art/2DItems/Currency/CurrencyIdentificationFragment.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",27,14444,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
27,"CurrencyUpgradeRandomlyShard","Art/2DItems/Currency/CurrencyUpgradeToUniqueShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",531,30011,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
28,"CurrencyUpgradeToMagicShard","Art/2DItems/Currency/CurrencyUpgradeToMagicShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",529,15636,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
29,"CurrencyRerollMagicShard","Art/2DItems/Currency/CurrencyRerollMagicShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",527,-20827,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
30,"CurrencyUpgradeToRareShard","Art/2DItems/Currency/CurrencyUpgradeToRareShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",526,8302,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
31,"CurrencyRerollSocketColours","Art/2DItems/Currency/CurrencyRerollSocketColours.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",722,-24136,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
32,"CurrencyRerollSocketLinks","Art/2DItems/Currency/CurrencyRerollSocketLinks.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,-12492,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
33,"CurrencyRerollSocketNumbers3","Art/2DItems/Currency/CurrencyRerollSocketNumbers01.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",505,18702,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
34,"CurrencyRerollSocketNumbers4","Art/2DItems/Currency/CurrencyRerollSocketNumbers02.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",506,6293,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
35,"CurrencyRerollSocketNumbers5","Art/2DItems/Currency/CurrencyRerollSocketNumbers03.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",507,29530,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
36,"CurrencyAddEquipmentSocket_","Art/2DItems/Currency/CurrencyAddEquipmentSocket.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",489,26863,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
37,"CurrencyModValues","Art/2DItems/Currency/CurrencyModValues.dds","Metadata/Items/Currency/CurrencyModValues.ao",495,1662,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],275,"","","","","","",""
38,"CurrencyRerollImplicit","Art/2DItems/Currency/CurrencyImplicitMod.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,31806,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
39,"CurrencyRerollDefences","Art/2DItems/Currency/SacredOrb.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,-2444,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
40,"CurrencyRhoaFeather","Art/2DItems/Currency/CurrencyRhoaFeather.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,-15993,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
41,"CurrencyImprintOrb","Art/2DItems/Currency/CurrencyImprintOrb.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,-24594,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
42,"CurrencyImprint","Art/2DItems/Currency/CurrencyImprint.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-11907,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
43,"CurrencyCorrupt","Art/2DItems/Currency/CurrencyVaal.dds","Metadata/Items/Currency/CurrencyCorrupt.ao",500,30986,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
44,"CurrencyGarenaPassiveRefundPurchasable","Art/2DItems/Garena/Refund.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,3919,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
45,"CurrencyEnchantment","Art/2DItems/Currency/Enchantment.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,4753,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
46,"CurrencyEnchantmentCorrupt","Art/2DItems/Currency/TaintedBlessing.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,16014,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
47,"CurrencyIncursionCorrupt1","Art/2DItems/Currency/IncursionItemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,30918,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
48,"CurrencyIncursionCorrupt2","Art/2DItems/Currency/IncursionItemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,27859,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
49,"CurrencyIncursionCorruptGem","Art/2DItems/Currency/IncursionGemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,2664,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
50,"CurrencyPerandusCoin","Art/2DItems/Currency/CurrencyCoin.dds","Metadata/Items/Currency/CurrencyCoin.ao",10,-31879,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
51,"CurrencyProphecySilverCoin","Art/2DItems/Currency/SilverObol.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,1997,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
52,"CurrencyProphecy","Art/2DItems/Currency/ProphecyOrbRed.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-31597,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
53,"CurrencyBestiaryOrb","Art/2DItems/Currency/BestiaryOrbEmpty.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,4376,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
54,"CurrencyBestiaryOrbImprint","Art/2DItems/Currency/BestiaryOrbFull.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,4404,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
55,"CurrencyItemiseSextantModifier","Art/2DItems/Currency/SurveyorsCompass.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-2501,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
56,"CurrencyItemisedSextantModifier_","Art/2DItems/Currency/ChargedCompass.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,20354,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
57,"CurrencyRerollSkillQualityType___","Art/2DItems/Currency/AlternateSkillGemCurrency.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-15101,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
58,"CurrencyRerollSupportQualityType","Art/2DItems/Currency/AlternateSupportGemCurrency.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-22635,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
59,"CurrencyHeistWeaponEnchant","Art/2DItems/Currency/DivineEnchantBodyArmourCurrency.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-22360,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
60,"CurrencyHeistArmourEnchant","Art/2DItems/Currency/DivineEnchantWeaponCurrency.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,28200,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
61,"CurrencyAfflictionOrbCurrency","Art/2DItems/Currency/Delirium/DeliriumOrbCurrency.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,18808,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
62,"CurrencyAfflictionOrbUniques","Art/2DItems/Currency/Delirium/DeliriumOrbUniques.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,-20912,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
