"rownum","Id","Text","TextXBox","bool","rid","i32","i32","i32","u16","bool"
0,"ProxyKey1","Remember to use flasks (<b>{1-2} on the keyboard).","Select <b>{Rebind Menu} on the radial menu to assign skills and action to button slots.",1,1677721600,0,939524096,1,0,""
1,"ProxyKey2","Boss Checkpoints and Waypoints will refill your flasks as well as replenishing your life, energy shield, and mana.","",1,1677721600,0,973078528,2,0,""
2,"ProxyKey3","Dying in an area will send you back to your most recent checkpoint, respawning all enemies.","",1,1677721600,0,167772160,3,0,""
3,"ProxyKey4","Flask Charges are recovered in combat by slaying Enemies. Magic, Rare and Unique enemies grant progressively more Charges.","",1,1677721600,0,402653184,4,0,""
4,"ProxyKey5","Instances reset after being empty for 8-15 minutes, destroying any connected Portals.","",1,1677721600,0,-603979776,4,0,""
5,"ProxyKey6","The more modifiers an item has, the more <currencyitem>{Gold} it will sell for.","",1,1677721600,0,-1811939328,5,0,""
6,"ProxyKey7","Players in the same party will join the same areas.","",1,1677721600,0,335544320,6,0,""
7,"ProxyKey8","Press <b>{Spacebar} to Dodge Roll.","Press <<xbox_button_b>> to Dodge Roll.",1,1677721600,0,-1040187392,6,0,""
8,"ProxyKey9","You can assign your skills to a specific weapon set in the Skills Panel (G).","Open <b>{Skill Options} to assign a skill to use a specific weapon set in the <b>{Skills} tab of the <<xbox_button_view>> <b>{Character menu}. \r\n\r\n",1,1677721600,0,-1644167168,8,0,""
9,"ProxyKey10","Hold <b>{Shift} to attack from your current location.","<b>{Enable Held Targeting} can be set for some ranged skills. When the button is held use <<xbox_rstick>> to adjust targeting before releasing.",1,1677721600,0,1174405120,10,0,""
10,"ProxyKey11","Waypoints can be used to travel quickly between some areas.","",1,1677721600,0,-671088640,10,0,""
11,"ProxyKey12","Flasks on your belt refill when you kill Monsters, refilling more from more powerful Monsters.","",1,1677721600,0,-1342177280,11,0,""
12,"ProxyKey13","To use a <currencyitem>{scroll} or <currencyitem>{orb}, <b>{right click} it then <b>{left click} the target item.","To use a <currencyitem>{scroll} or <currencyitem>{orb}, press <<xbox_button_x>> on it then <<xbox_button_a>> on the target item.",1,1677721600,0,-1308622848,13,0,""
13,"ProxyKey14","Hold <b>{Shift} and click a stack of items to unstack them.","Press and hold <<xbox_button_a>> on a stack of items to unstack them.",1,1677721600,0,-771751936,14,0,""
14,"ProxyKey17","<gemitem>{Skill Gems} can be leveled up with the use of an Uncut Skill Gem.","",1,1677721600,0,-2080374784,15,0,""
15,"ProxyKey18","Remember to return to a <b>{Well} to refill your flasks and replenish your Life and Mana.","",1,1677721600,0,1375731712,16,0,""
16,"ProxyKey19","Partying with other players makes enemies harder and gives more rewards.","",1,1677721600,0,-33554432,16,0,""
17,"ProxyKey20","You can change your key bindings in the <b>{Options} menu.","Press and hold <<xbox_button_view>> and select <b>{Skill Binds} to customise your Actions and Skills.",1,1677721600,0,1543503872,18,0,""
18,"ProxyKey21","You can move the overlay map around using the <b>{arrow keys}.","Pressing <<xbox_button_x>> on a new skillgem in your inventory will equip and bind the skill in a single action.",1,1677721600,0,-671088640,19,0,""
19,"ProxyKey22","Use the mouse wheel to zoom in and out.","Press and hold <<xbox_button_a>> to assign <b>{Split Set Points} for each weapon set when spending passive points.",1,1677721600,0,704643072,21,0,""
20,"ProxyKey23","The Hooded One can help you by identifying your items.","",1,1677721600,0,-1308622848,21,0,""
21,"ProxyKey24","Monsters that deal cold damage can freeze you.","",1,1677721600,0,704643072,22,0,""
22,"ProxyKey25","Lightning damage can shock you, increasing damage taken.","",1,1677721600,0,-1241513984,22,0,""
23,"ProxyKey26","Fire damage can ignite targets, causing them to burn for extra damage.","",1,1677721600,0,1577058304,23,0,""
24,"ProxyKey27","Holding your highlight key (default: <b>{Alt}) will show items on the ground, and pressing <b>{Z} will toggle always displaying items.","Use the <<xbox_rstick>> to target item drops within range.",1,1677721600,0,-33554432,24,0,""
25,"ProxyKey28","Activating a new <b>{Waypoint} is a way of saving your exploration through Wraeclast.","",1,1677721600,0,-1006632960,25,0,""
26,"ProxyKey29","Track your current quests in the world map by pressing <b>{U}.","Track your current quests in the <b>{Quests} tab within the <<xbox_button_view>> <b>{Character menu}.",1,1677721600,0,704643072,27,0,""
27,"ProxyKey30","Hold <b>{Alt} while viewing items in your inventory to compare them with their equipped counterpart.","Use <<xbox_button_rstick>> in the inventory to compare equipable items, or Press <<xbox_button_a>> to pickup and hover the item over the equip slot.",1,1677721600,0,973078528,29,0,""
28,"ProxyKey33","Dodge Rolling can be done during almost any other action.","",1,1677721600,0,-939524096,29,0,""
29,"ProxyKey34","After being <b>{Stunned} or <b>{Frozen}, both you and enemies are more resistant to being <b>{Stunned} or <b>{Frozen} again.","",1,1677721600,0,-603979776,30,0,""
30,"ProxyKey35","Some items can grant you specific skills when wielded.","",1,1677721600,0,1677721600,31,0,""
