"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour","i32","i32"
0,"1",9.16,11,51,15,17,51,5,1,3.16,22,0,0,0,6000,0,0,0
1,"2",10.26,14,56,20,18,79,8,1,4.21,28,0,0,0,6000,1,0,0
2,"3",11.39,17,60,24,20,109,11,1,5.37,35,0,0,0,6000,2,0,0
3,"4",12.57,20,65,28,24,140,15,1,6.64,41,0,0,0,6000,3,0,0
4,"5",13.78,24,70,33,31,172,19,1,8.03,48,0,0,0,6000,4,0,0
5,"6",15.03,27,75,38,43,207,23,1,9.54,55,0,0,0,6000,5,0,0
6,"7",16.32,31,80,45,57,243,27,1,11.2,63,0,0,0,6000,6,0,0
7,"8",17.65,35,86,52,75,281,32,1,13,70,0,0,0,6000,7,0,0
8,"9",19.02,38,91,62,96,321,37,1,14.96,77,0,0,0,6000,8,0,0
9,"10",20.44,42,97,74,120,362,43,1,17.1,85,0,0,0,6000,9,0,0
10,"11",21.9,46,103,89,150,406,49,1,19.41,93,0,0,0,6000,10,0,0
11,"12",23.41,50,110,106,181,453,55,1,21.93,101,0,0,0,6000,11,0,0
12,"13",24.97,54,116,127,219,501,62,1,24.66,109,0,0,0,6000,12,0,0
13,"14",26.57,59,123,151,261,552,70,1,27.61,118,0,0,0,6000,13,0,0
14,"15",28.23,63,130,179,308,605,78,1,30.81,126,0,0,0,6000,14,0,0
15,"16",29.93,67,137,211,358,661,86,1,34.27,135,0,0,0,6000,15,0,0
16,"17",31.69,72,145,237,416,720,96,1,38.01,144,0,0,0,6000,16,0,0
17,"18",33.5,76,152,267,482,781,106,1,42.06,153,0,0,0,6000,17,0,0
18,"19",35.37,81,160,298,549,845,116,1,46.42,163,0,0,0,6000,17,0,0
19,"20",37.29,86,169,332,623,912,127,1,51.13,172,0,0,0,6000,17,0,0
20,"21",39.27,91,177,368,704,982,139,1,56.2,182,0,0,0,6000,17,0,0
21,"22",41.31,96,186,406,796,1056,152,1,61.67,192,0,0,0,6000,17,0,0
22,"23",43.41,101,195,446,881,1132,166,1,67.56,202,0,0,0,6000,17,0,0
23,"24",45.57,106,204,488,968,1213,181,1,73.91,213,0,0,0,6000,17,0,0
24,"25",47.8,111,214,533,1058,1296,196,1,80.74,223,0,0,0,6000,17,0,0
25,"26",50.09,117,224,579,1153,1384,213,1,88.08,234,0,0,0,6000,17,0,0
26,"27",52.45,122,234,629,1252,1475,231,1,95.97,245,0,0,0,6000,17,0,0
27,"28",54.88,128,245,680,1407,1571,250,1,104.46,256,0,0,0,6000,17,0,0
28,"29",57.37,134,256,734,1573,1671,270,1,113.57,268,0,0,0,6000,17,0,0
29,"30",59.94,140,267,791,1750,1775,292,1,123.35,280,0,0,0,6000,17,0,0
30,"31",62.59,146,279,849,1941,1883,315,1,133.86,292,0,0,0,6099,17,0,248
31,"32",65.31,152,291,911,2142,1996,339,1,145.13,304,0,0,0,6255,17,0,638
32,"33",68.1,158,304,975,2361,2114,365,1,157.22,317,0,0,0,6395,17,0,987
33,"34",70.98,165,317,1053,2587,2238,393,1,170.18,330,0,0,0,6566,17,0,1416
34,"35",73.94,171,330,1137,2831,2366,422,1,184.08,343,0,0,0,6734,17,0,1835
35,"36",76.98,178,344,1228,3092,2500,453,1,198.97,356,0,0,0,6898,17,0,2246
36,"37",80.11,185,358,1326,3360,2639,486,1,214.92,370,0,0,0,7054,17,0,2634
37,"38",83.32,191,372,1432,3646,2784,521,1,232,383,0,0,0,7205,17,0,3013
38,"39",86.63,199,387,1547,3958,2936,559,1,250.3,398,0,0,0,7354,17,0,3384
39,"40",90.02,206,403,1671,4259,3093,599,1,269.87,412,0,0,0,7497,17,0,3742
40,"41",93.51,213,419,1804,4586,3258,641,1,290.82,427,0,0,0,7631,17,0,4077
41,"42",97.1,221,435,1949,4940,3429,685,1,313.24,442,0,0,0,7762,17,0,4405
42,"43",100.79,228,452,2104,5279,3607,733,1,337.21,457,0,0,0,7887,17,0,4717
43,"44",104.57,236,470,2273,5652,3792,783,1,362.84,473,0,0,0,8009,17,0,5022
44,"45",108.46,244,488,2455,6045,3985,837,1,390.25,489,0,0,0,8123,17,0,5307
45,"46",112.46,252,506,2577,6466,4185,893,2,419.54,505,0,0,0,8181,17,0,5453
46,"47",116.57,261,526,2706,6909,4394,953,2,450.83,522,0,0,0,8240,17,0,5601
47,"48",120.78,269,545,2842,7390,4611,1017,2,484.27,538,0,0,0,8300,17,0,5749
48,"49",125.12,278,566,2984,7894,4837,1084,2,519.98,556,0,0,0,8357,17,0,5892
49,"50",129.56,286,587,3133,8439,5072,1156,2,558.12,573,0,0,0,8415,17,0,6038
50,"51",134.13,295,608,3289,9018,5316,1231,2,598.85,591,0,0,0,8471,17,0,6178
51,"52",138.82,304,630,3454,9641,5570,1311,2,642.32,609,0,0,0,8526,17,0,6314
