"rownum","Id","Character","ListBackground","Icon","ConsoleIcon","Name"
0,"Marauder",0,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListMarauder","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconAxe","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CMarauder","Axe"
1,"Witch",1,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListWitch","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CWitch","Occult"
2,"Ranger",2,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListRanger","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CRanger","Bow"
3,"Gladiator",3,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListGladiator","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSword","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CGladiator","Sword"
4,"Assassin",4,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListShadow","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconDagger","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CAssassin","Dagger"
5,"Templar",5,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListTemplar","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconFlail","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CTemplar","Flail"
6,"Brute",6,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListWarrior","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CWarrior","Mace"
7,"Sorceress",7,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListSorceress","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CSoreress","Elemental"
8,"Huntress",8,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListHuntress","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CHuntress","Spear"
9,"Mercenary",9,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListMercenary","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CMercenery","Crossbow"
10,"Monk",10,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListMonk","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CMonk","Quarterstaff"
11,"Druid",11,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListDruid","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconPrimal","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CDruid","Primal"
