"rownum","Id","Description","Item","rid","HASH16"
0,"JewelleryQualityLife","Quality (Life Modifiers)",183,0,15508
1,"JewelleryQualityMana","Quality (Mana Modifiers)",184,4,11127
2,"JewelleryQualityDefence","Quality (Defence Modifiers)",185,3,-27006
3,"JewelleryQualityPhysical","Quality (Physical Modifiers)",186,7,32230
4,"JewelleryQualityFire","Quality (Fire Modifiers)",187,5,17813
5,"JewelleryQualityCold","Quality (Cold Modifiers)",188,10,-17350
6,"JewelleryQualityLightning","Quality (Lightning Modifiers)",189,11,4061
7,"JewelleryQualityChaos","Quality (Chaos Modifiers)",190,9,-27072
8,"JewelleryQualityAttack","Quality (Attack Modifiers)",191,2,10076
9,"JewelleryQualityCaster","Quality (Caster Modifiers)",192,1,-31473
10,"JewelleryQualitySpeed","Quality (Speed Modifiers)",193,8,30409
11,"JewelleryQualityAttribute","Quality (Attribute Modifiers)",194,6,-28026
