"rownum","BaseItemTypesKey","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemTypesKey","IsVaalVariant","MinionGlobalSkillLevelStat","GemType","bool","bool","rid","i32","i32","ItemExperienceType","CraftingTypes","[rid]","bool","GemEffects","bool","TutorialVideo","UI_Image","i32","CraftingLevel","bool","i32","bool","string"
0,371,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[1],"","Art/Videos/SkillTutorials/IceNova.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageIceNova.dds",1,1,"",2,"",""
1,372,100,0,0,"","","",0,1,1,"",1,23,0,[6],[0],"",[2],"","Art/Videos/SkillTutorials/LeapSlam.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLeapSlam.dds",0,7,"",2,"",""
2,373,100,0,0,"","","",0,1,1,"",1,7,0,[6],[0],"",[3],"","Art/Videos/SkillTutorials/ShieldCharge.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageShieldCharge.dds",3,3,"",2,"",""
3,375,0,0,100,"","","",0,1,1,"",3,23,0,[1],[0],"",[4],"","Art/Videos/SkillTutorials/DetonateDead.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDetonateDead.dds",0,7,"",2,"",""
4,376,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[5],"","","",0,0,"",2,"",""
5,2869,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[6],"","","",0,1,"",0,"","Strength"
6,2920,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[7],"","","",0,1,"",0,"","Dexterity"
7,2890,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[8],"","","",0,1,"",0,"","Dexterity"
8,2895,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[9],"","","",0,1,"",0,"","Dexterity"
9,2974,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[10],"","","",0,1,"",0,"","Intelligence"
10,2921,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[11],"","","",0,2,"",0,"","Dexterity"
11,2945,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[12],"","","",0,1,"",0,"","Intelligence"
12,2917,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[13],"","","",0,1,"",0,"","Dexterity"
13,374,0,0,100,"","",9632,0,1,1,"",3,15,0,[1],[0],"",[14],"","Art/Videos/SkillTutorials/RaiseZombie.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRaiseZombie.dds",0,5,"",2,"",""
14,2870,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[15],"","","",0,1,"",0,"","Strength"
15,2983,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[16],"","","",0,3,"",0,"","Intelligence"
16,2844,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[17],"","","",0,2,"",0,"","Strength"
17,2862,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[18],"","","",0,2,"",0,"","Strength"
18,2965,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[19],"","","",0,2,"",0,"","Intelligence"
19,2985,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[20],"","","",0,3,"",0,"","Intelligence"
20,377,0,50,50,"","","",0,1,1,"",4,53,0,[10],[0],"",[21],"","Art/Videos/SkillTutorials/FlickerStrike.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlickerStrike.dds",0,13,"",2,"",""
21,378,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[22],"","Art/Videos/SkillTutorials/Spark.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSpark.dds",3,1,"",2,"",""
22,379,0,100,0,"","","",0,1,1,"",2,15,0,[],[0],"",[24],"","","",0,0,"",2,"",""
23,2889,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[25],"","","",0,1,"",0,"","Dexterity"
24,380,0,0,100,"","",9631,0,1,1,"",3,23,0,[],[0],"",[26],"","","",0,0,"",2,"",""
25,381,0,0,100,"","","",0,1,1,"",3,32,0,[7],[0],"",[27],"","Art/Videos/SkillTutorials/FrostWall.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostWall.dds",1,9,"",2,"",""
26,382,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[28],"","","",0,0,"",2,"",""
27,2861,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[29],"","","",0,2,"",0,"","Strength"
28,2975,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[30],"","","",0,1,"",0,"","Intelligence"
29,383,0,0,100,"","","",0,1,1,"",3,53,0,[7],[0],"",[31],"","Art/Videos/SkillTutorials/TemporalChains.bk2","",3,13,"",2,"",""
30,384,0,0,100,"","","",0,1,1,"",3,7,0,[1],[0],"",[32],"","Art/Videos/SkillTutorials/Enfeeble.bk2","",0,3,"",2,"",""
31,385,0,100,0,"","","",0,1,1,"",2,23,0,[2],[0],"",[33],"","Art/Videos/SkillTutorials/SnipersMark.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSnipersMark.dds",0,7,"",2,"",""
32,386,0,0,100,"","","",0,1,1,"",3,32,0,[1],[0],"",[34],"","Art/Videos/SkillTutorials/Despair.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDespair.dds",1,9,"",2,"",""
33,387,0,0,100,"","","",0,1,1,"",3,32,0,[7],[0],"",[35],"","Art/Videos/SkillTutorials/LightningWarp.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningWarp.dds",3,9,"",2,"",""
34,396,100,0,0,"","","",0,1,1,"",1,7,0,[6],[0],"",[36],"","Art/Videos/SkillTutorials/ArmourBreaker.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArmourBreaker.dds",0,3,"",2,"",""
35,397,0,100,0,"","","",0,1,1,"",2,32,0,[2],[0],"",[37],"","Art/Videos/SkillTutorials/RainofArrows.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRainOfArrows.dds",0,9,"",2,"",""
36,2946,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[38],"","","",0,1,"",0,"","Intelligence"
37,2864,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[39],"","","",0,1,"",0,"","Strength"
38,398,0,0,100,"","","",0,1,1,"",3,42,0,[7],[0],"",[40],"","Art/Videos/SkillTutorials/Firestorm.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFirestorm.dds",0,11,"",2,"",""
39,399,0,50,50,"","","",0,1,1,"",4,1,0,[10],[0],"",[41],"","Art/Videos/SkillTutorials/FallingThunder.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFallingThunder.dds",0,1,"",2,"",""
40,400,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[42],"","","",0,0,"",2,"",""
41,401,0,100,0,"","","",0,1,1,"",2,1,0,[2],[0],"",[43],"","Art/Videos/SkillTutorials/LightningArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningArrow.dds",3,1,"",2,"",""
42,403,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[44],"","","",0,0,"",2,"",""
43,404,100,0,0,"","","",0,1,1,"",1,7,0,[6],[1],"",[45],"","Art/Videos/SkillTutorials/ShockwaveTotem.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageShockwaveTotem.dds",0,3,"",2,"",""
44,2894,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[46],"","","",0,2,"",0,"","Dexterity"
45,402,0,0,100,"","","",0,1,1,"",3,15,0,[7],[0],"",[47],"","Art/Videos/SkillTutorials/Arc.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArc.dds",2,5,"",2,"",""
46,405,0,0,100,"","","",0,1,1,"",3,11,0,[7],[0],"",[48],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArcticArmour.dds",1,4,"",2,"",""
47,2856,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[49],"","","",0,2,"",0,"","Strength"
48,2954,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[50],"","","",0,2,"",0,"","Intelligence"
49,2904,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[51],"","","",0,2,"",0,"","Dexterity"
50,2903,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[52],"","","",0,1,"",0,"","Dexterity"
51,2913,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[53],"","","",0,3,"",0,"","Dexterity"
52,406,0,0,100,"","","",0,1,1,"",3,23,0,[7],[0],"",[54],"","Art/Videos/SkillTutorials/Flammability.bk2","",0,7,"",2,"",""
53,407,0,0,100,"","","",0,1,1,"",3,23,0,[7],[0],"",[55],"","Art/Videos/SkillTutorials/Hypothermia.bk2","",0,7,"",2,"",""
54,408,0,0,100,"","","",0,1,1,"",3,23,0,[7],[0],"",[56],"","Art/Videos/SkillTutorials/Conductivity.bk2","",0,7,"",2,"",""
55,409,0,0,100,"","","",0,1,1,"",3,15,0,[7],[0],"",[57],"","Art/Videos/SkillTutorials/Incinerate.bk2","",0,5,"",2,"",""
56,2947,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[58],"","","",0,2,"",0,"","Intelligence"
57,2967,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[59],"","","",0,1,"",0,"","Intelligence"
58,2896,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[60],"","","",0,1,"",0,"","Dexterity"
59,410,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[61],"","","",0,0,"",2,"",""
