"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","BuffCategory","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","BinaryStats","[rid]","[rid]","bool","bool","bool","bool","rid","[i32]","string","[rid]","[i32]","i32","[rid]"
0,"ignited","Debuff inflicts [Fire] damage over time","","","Ignited",[7644],"",13,"","","",1,29,2,"","",2,"",1,1,"",0,"","Ignite","","","","",7,"","",0,[],"","",[],"",[],[],[7644],[13902],"","","",1,"",[],"",[],[0],2,[]
1,"chilled","[Slow|Slowed]","","","Chilled",[7973],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","Chill",1,"","","",7,"","",0,[],"","",[],"",[],[],[7973],[13903],"","",1,1,"",[],"",[],[3],3,[]
2,"frozen","Cannot move or take actions","","","Frozen",[],1,13,"","","",1,29,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","",7,"","",0,[],"","",[],"",[],[11766],[],"[13904,1955]","","",1,1,"",[],"",[],[],1,[]
3,"shocked","Debuff inflicts increased damage taken","","","Shocked",[15810],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[],[15810],[13905],"","",1,1,"",[],"",[],[],3,[]
4,"sprinting","Increased movement velocity","",1,"Faster Run",[171],1,2,"","","","",29,7,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[171],[],"","","","","",[],"",[],[],1,[]
5,"flask_effect_life","",1,"","Healing",[7270],1,5,"","","","",29,0,1,"",4,"",1,1,1,0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[],[7270],[],"","","","","",[],"",[],[],1,[]
6,"grace_period","You can't be damaged",1,1,"Grace Period","[134,827,1266,7732,2876,6464,6463]",1,2,"","","","",29,8,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[134,827,1266,7732,2876,6464,6463]",[],"","","","","",[],"",[],[],1,[]
7,"cutscene_grace_period","Right-click to skip cutscene.","",1,"Cutscene in Progress","[134,827,1266,7732,2876,6464,6463]",1,2,"","","","",29,9,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[134,827,1266,7732,2876,6464,6463]",[],"","","","","",[],"",[],[],1,[]
8,"is_dead_can_revive","",1,"","",[],"",2,"","","","",29,10,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","",1,"","",[],"",[],[],1,[]
9,"being_revived","",1,"","",[],"",2,"","","","",29,11,1,"",18,"",1,1,"",0,"","BeingRevived","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","",1,"","",[],"",[],[],1,[]
10,"god_mode","You cannot be damaged","",1,"Invulnerability",[134],1,3,"","","","",29,12,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[134],[],"","","","","",[],"",[],[],1,[]
