"rownum","BaseItemType","HASH32","i32","i32","[i32]","i32","MonsterMod","bool","CraftTag"
0,53,606369470,1,100,[],500,3344,"",316
1,54,1860412592,1,100,[],500,3345,"",323
2,55,-680445052,1,100,[],500,3346,"",317
3,56,371926669,1,100,[],250,3347,"",313
4,57,-1469932049,1,100,[],300,3340,"",309
5,58,558387611,1,100,[],300,3341,"",310
6,59,-77532113,1,100,[],300,3342,"",311
7,60,-1006259903,1,100,[],150,3348,"",312
8,61,-775141945,1,100,[],200,3349,"",319
9,62,-2086692883,1,100,[],200,3350,"",34
10,63,1505875072,1,100,[],100,3343,"",324
11,64,-1856166571,1,100,[],400,3351,"",581
12,65,-1221514573,1,100,[],10,3356,"",316
13,66,394938549,1,100,[],10,3357,"",323
14,67,2074231179,1,100,[],10,3358,"",317
15,68,577438355,1,100,[],5,3359,"",313
16,69,-122058062,1,100,[],6,3352,"",309
17,70,-707892653,1,100,[],6,3353,"",310
18,71,1764598813,1,100,[],6,3354,"",311
19,72,-603919414,1,100,[],3,3360,"",312
20,73,122023020,1,100,[],4,3361,"",319
21,74,-888716293,1,100,[],4,3362,"",34
22,75,890988114,1,100,[],2,3355,"",324
23,76,1170564337,1,100,[],8,3363,"",581
