"rownum","Name","PortraitFile","i32","i32","bool","u16","bool"
0,"Kurai","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Kura",0,0,"",0,""
1,"Faustus","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Faustus",0,0,"",0,""
2,"Adiyah","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Adiyah",0,0,"",0,""
3,"Whakano","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Whakano",0,0,"",0,""
4,"Karst","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Karst",0,0,"",0,""
5,"Niles","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Niles",0,0,"",0,""
6,"Huck","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Huck",0,0,"",0,""
7,"Tibbs","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tibbs",0,0,"",0,""
8,"Nenet","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Nenet",0,0,"",0,""
9,"Vinderi","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Vinderi",0,0,"",0,""
10,"Tullina","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tullina",0,0,"",0,""
11,"Gianna","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Gianna",0,0,"",0,""
12,"Isla","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Isla",0,0,"",0,""
13,"Maven Envoy","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Envoy",0,0,"",0,""
14,"Ultimatum Trial Master","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Trialmaster",0,0,"",0,""
15,"Ultimatum Trial Master ANGRY","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Trialmaster2",0,0,"",0,""
16,"Dannig","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Dannig",0,0,"",0,""
17,"Gwennen","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Gwennen",0,0,"",0,""
18,"Tujen","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tujen2",0,0,"",0,""
19,"Rog","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Rog",0,0,"",0,""
20,"Tujen Angry","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tujen",0,0,"",0,""
21,"Scourge","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Scourge",0,0,"",0,""
22,"Kirac","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Kirac",0,0,"",0,""
23,"Divinia","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Valencienne",0,0,"",0,""
24,"Cadiro","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Cadiro",0,0,"",0,""
25,"Einhar","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Einhar",0,0,"",0,""
26,"Renly","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Rendly",0,0,"",0,""
27,"Hooded One NIGHT","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/HoodedOneNIGHT",0,0,"",0,""
28,"Una","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Una",0,0,"",0,""
29,"Finn","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Finn",0,0,"",0,""
30,"Dogtrader","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Dogtrader",0,0,"",0,""
31,"Lachlann","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/TheBitterOne",0,0,"",0,""
32,"Shambrin","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Shambrin",0,0,"",0,""
33,"Zarka","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Zarka",-190,0,"",0,""
34,"Asala","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Asala",0,0,"",0,""
35,"Asala Demigod","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/DemigodNoNips",0,0,"",0,""
36,"Hooded One","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/HoodedOne",0,0,"",0,""
37,"Risu","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Risu",0,0,"",0,""
38,"Oswald","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Oswald",0,0,"",0,""
39,"Servi","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Servi",0,0,"",0,""
40,"Apus","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Apus",0,0,"",0,""
41,"Iron Count","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/IronCount",0,0,"",0,""
42,"Iron Count ARMOURED","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/IronCountARMOURED",0,0,"",0,""
43,"FourWayFarerStone1","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone01",-190,50,1,0,""
44,"FourWayFarerStone2","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone02",-190,82,1,0,""
45,"FourWayFarerStone3","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone03",-190,50,1,0,""
46,"FourWayFarerStone4","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone04",-190,50,1,0,""
47,"FourWayFarerStone5","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone05",-190,60,1,0,""
48,"FourWayFarerStone6","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone06",-190,50,1,0,""
49,"FourWayFarerStone1Dusty","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone01Dusty",-190,50,1,0,""
50,"Rhodri","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/BoatCaptain",0,0,"",0,""
51,"LilyRothMum","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Lily_rose_mum",0,0,"",0,""
52,"Makoru","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Makoru",0,0,"",0,""
53,"Preacher","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/preacher",0,0,"",0,""
54,"Alva","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/AlvaPortrait",0,0,"",0,""
55,"Elwynian","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 5/Elwallian_portrait",0,0,"",0,""
56,"Cedrus","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 5/Cedrus_Portrait",0,0,"",0,""
57,"BalbalaSpirit","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Balbala",0,0,"",0,""
58,"Leitis","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Leitis",0,0,"",0,""
59,"Doryani","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Doryani",0,0,"",0,""
60,"BloodPriestFemale","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/BloodPriestess",-190,0,"",0,""
61,"BloodPriestMale","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/BloodMage",-190,0,"",0,""
62,"VaalTimeScientist","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/TimeScientist",-190,0,"",0,""
63,"DoryaniHelmet","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/DoryaniHelmet",0,0,"",0,""
64,"TutorialNPCZombie","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/SamuelTheApprentice",0,0,"",0,""
