"rownum","i32","f32","f32","bool","rid","bool","[rid]","rid","i32","i32","i32","i32","bool","bool","rid","rid","i32","bool","i32","i32","i32","i32","i32","i32","i32","bool","bool","i32","bool","bool","i32","bool","i16","bool"
0,0,600,0.75,1,728,1,"[891,892]",893,0,120,50,41,"","","","",0,"",-50,100,200,0,100,8,16,1,1,-1,"","",0,"",0,""
1,1,650,0.8,1,"","",[],"",0,120,150,0,1,1,"","",0,"",0,0,0,0,100,12,20,1,"",-1,"","",0,"",0,""
2,2,750.72,0.47,1,"","",[],"",40,70,10,0,1,"","","",0,"",0,0,0,0,99,8,8,1,"",-1,1,1,5,"",0,""
3,3,1200,0.53,1,"",1,[],"",0,180,-15,0,1,"","","",1,"",293,1000,544,0,33,8,0,"","",-1,"",1,10,"",0,""
4,4,1200,0.53,"","","",[],"",0,180,0,0,"","","","",1,"",293,1000,544,0,33,8,0,"","",-1,"",1,10,"",0,""
5,5,590,0.6,"","","",[],"",0,100,20,0,1,"","","",0,"",0,0,0,0,200,6,14,1,"",-1,"","",0,"",0,""
6,6,1200,0.53,"","","",[],"",0,180,0,0,1,"","","",1,"",293,1000,544,0,33,4,0,1,"",-1,"",1,10,"",0,""
7,7,1200,1,1,"","",[],"",0,500,0,0,1,"","","",0,"",-400,400,800,0,50,9,0,1,"",-1,1,1,5,"",0,""
8,8,810,0.47,1,"","",[7178],7179,40,80,50,30,1,"","","",0,"",0,0,0,0,100,8,16,1,"",-1,1,1,10,"",0,""
9,10,500,0.73,1,"","",[],"",40,120,60,0,1,"","","",0,"",0,0,0,0,0,8,16,1,"",-1,"","",0,"",0,""
10,11,600,0.53,"","","",[],"",0,120,0,0,"",1,"","",0,"",70,70,0,0,100,6,0,1,"",-1,"",1,0,"",0,""
11,12,200,1.5,"","","",[],"",25,60,0,0,"",1,"","",1,"",0,0,0,0,0,0,0,"","",-1,"","",0,"",0,""
12,13,690,0.4,1,"","",[7178],7179,40,70,-10,0,1,"","","",0,"",-65,0,0,0,100,10,16,1,"",-1,"","",0,"",0,""
13,14,690,0.4,1,"","",[7178],7179,40,70,0,0,1,"","","",0,"",-65,0,0,0,100,10,16,1,"",-1,"","",0,"",0,""
14,15,784,0.53,1,"","",[],"",30,200,0,0,"","","","",0,"",120,0,0,0,0,0,0,1,"",-1,"",1,10,"",0,""
15,16,700,0.53,1,"","","[891,892]",893,30,70,-10,0,"","","","",0,"",-20,120,240,0,0,8,16,1,"",-1,"","",0,"",0,""
16,17,500,1,1,"","","[891,892]",893,30,150,0,0,1,"","","",0,"",0,0,0,0,100,8,16,1,"",-1,"","",0,"",0,""
17,18,723,0.53,1,"","",[],"",25,150,-15,0,"","","","",0,"",75,0,0,0,100,5,0,1,"",-1,"","",0,"",0,""
18,19,1200,0.23,1,"","",[],"",30,70,0,0,"","","","",0,"",0,302,400,0,100,5,16,1,"",-1,"","",0,"",0,""
19,20,597.82,1.33,1,"","",[],"",30,100,-17,0,"","","","",0,"",0,0,0,0,100,15,0,1,"",-1,1,1,10,"",0,""
20,21,553,0.5,1,"","",[],"",30,90,20,0,1,1,13,118,0,"",90,0,0,5,0,8,16,1,"",-1,"",1,5,"",0,""
21,22,1200,0.53,"","","",[],"",0,180,5,0,1,"","","",1,"",807,1000,544,0,33,4,0,"","",-1,"",1,10,"",0,""
22,23,500,0.53,1,"","",[],"",60,100,60,0,1,"","",19,0,"",32,32,0,30,100,6,0,1,"",-1,"",1,10,"",0,""
23,24,650,0.6,"","","",[],"",0,100,-15,0,"","","","",0,"",0,30,60,0,0,8,0,1,"",-1,"",1,10,"",0,""
24,25,870,0.67,1,"","",[7988],"",30,120,50,0,1,"","","",0,"",121,0,0,0,33,6,0,1,"",-1,"",1,5,"",0,""
25,26,880,0.53,"","","",[],"",0,0,0,0,"","","","",0,"",0,100,200,0,33,8,0,"","",-1,1,1,20,1,0,""
26,27,600,0.5,1,"",1,[],"",0,100,-40,0,1,"","","",0,"",100,200,200,0,33,10,0,1,"",-1,"",1,10,"",0,""
27,28,750,0.4,1,"",1,[],"",50,110,-20,0,"","","","",0,"",110,0,0,0,33,10,10,1,"",-1,1,1,10,1,0,""
28,29,1173.92,2,1,"","",[],"",0,120,0,108,1,"","","",27648,"",800,0,0,0,33,8,6,1,"",-1,"",1,20,"",0,""
29,30,600,1,1,"",1,[],8082,60,120,-15,0,"","","","",1,"",200,0,0,0,0,8,0,1,"",-1,"",1,20,"",0,""
30,31,500,1,1,"","",[1306],1307,10,120,0,0,"","","","",0,"",0,302,400,0,100,12,0,1,"",-1,"",1,0,"",0,""
31,32,690,0.4,1,"","",[],"",0,100,-30,0,"","","","",0,"",-65,0,0,0,100,10,16,1,"",-1,"","",5,"",0,""
32,33,486.5,2.03,"","","",[],"",20,100,-22,0,"","","","",0,"",0,0,0,0,33,5,8,1,"",-1,1,1,5,1,0,""
33,34,600,0.53,1,"","",[],"",0,100,20,0,1,1,"","",0,"",242,0,0,0,0,7,7,1,"",-1,1,1,5,"",0,""
34,40,600,0.53,1,"","",[],"",0,100,20,0,1,1,"","",0,"",65,0,0,0,0,7,7,1,"",-1,1,1,5,"",0,""
35,35,414,0.8,1,"","",[],"",0,100,30,0,1,1,"","",0,"",0,0,0,0,100,12,16,1,"",-1,"",1,5,"",0,""
36,36,740,0.4,1,"","",[],"",0,130,50,0,1,"","","",0,"",0,302,1000,0,33,6,12,1,"",-1,1,1,1,"",0,""
37,37,1200,0.7,1,"","",[],"",50,150,0,0,1,"","","",0,"",860,0,0,0,150,12,12,1,"",1,1,1,20,"",0,""
38,38,400,0.73,1,"","",[],"",10,120,-5,0,"","","","",0,"",0,0,0,0,100,5,5,1,"",-1,1,1,5,"",0,""
39,39,600,0.53,1,"",1,[],"",40,120,5,0,1,1,"","",0,"",0,0,0,0,33,6,6,1,"",-1,1,1,5,"",0,""
40,41,645.63,0.93,1,"","",[],"",0,120,60,0,1,"","","",0,"",120,0,0,0,100,0,0,1,"",-1,1,1,10,"",0,""
41,42,870,0.67,1,"","",[7988],"",30,120,50,0,1,"","","",0,"",121,0,0,0,33,6,0,1,"",-1,"",1,5,"",0,""
