"rownum","BaseItemTypesKey","Block","i32"
0,265,25,0
1,2117,26,0
2,2118,26,0
3,2119,26,0
4,2120,26,0
5,2121,26,0
6,2122,26,0
7,2123,26,0
8,2124,26,0
9,2125,26,0
10,2126,26,0
11,2127,26,0
12,2128,26,0
13,2129,26,0
14,2130,25,0
15,2131,25,0
16,2132,25,0
17,2133,25,0
18,2134,25,0
19,2135,25,0
20,2136,25,0
21,2137,25,0
22,2138,25,0
23,2139,25,0
24,2140,25,0
25,2141,25,0
26,2142,25,0
27,2143,25,0
28,2144,25,0
29,2145,25,0
30,2146,25,0
31,2147,25,0
32,2148,25,0
33,2149,25,0
34,2150,25,0
35,2151,25,0
36,2152,24,0
37,2153,24,0
38,2154,24,0
39,2155,24,0
40,2156,24,0
41,2157,24,0
42,2158,24,0
43,2159,24,0
44,2160,24,0
45,2161,24,0
46,2162,24,0
47,2163,24,0
48,2164,24,0
49,2446,26,0
50,2447,26,0
51,2448,26,0
52,2449,26,0
53,2450,26,0
54,2451,26,0
55,2452,25,0
56,2453,25,0
57,2454,25,0
58,2455,25,0
59,2456,25,0
60,2457,25,0
61,2458,25,0
62,2459,25,0
63,2460,25,0
64,2461,25,0
65,2462,25,0
66,2463,25,0
67,2464,24,0
68,2465,24,0
69,2466,24,0
70,2467,24,0
71,2468,24,0
72,2469,24,0
73,2550,26,0
74,2551,26,0
75,2552,26,0
76,2553,25,0
77,2554,25,0
78,2555,25,0
79,2556,25,0
80,2557,25,0
81,2558,25,0
82,2559,24,0
83,2560,24,0
84,2561,24,0
