"rownum","Id","Name","GrantedEffect","SupportText","SupportName","GemTags","Consumed_ModsKey","ItemColor","[rid]","AdditionalGrantedEffects","bool","bool","[i32]","i32"
0,"Firebolt","",26,"","","[25,4,14,5,0]","",3,[],[],"","",[],-1
1,"IceNova","",27,"","","[25,4,14,1,38]","",3,[],[],"","",[],-1
2,"LeapSlam","",28,"","","[25,13,14,7,40,35,62]","",3,[],[],"","",[],-1
3,"ShieldCharge","",29,"","","[25,13,14,7,33,30,35]","",3,[],[],"","",[],-1
4,"DetonateDead","",30,"","","[25,4,14,33,0,57]","",3,[],[],"","",[],-1
5,"VolatileDead","",88,"","","[25,4,14,0]","",3,[],[],"","",[],-1
6,"AddedFireDamageSupport","",368,"Supports [Attack|Attacks], causing them to [Gain] [Fire] Damage but deal less [Cold] and [Lightning] Damage.","","[16,13,0]","",3,[],[],"","",[],-1
7,"FasterAttackSupport","",369,"Supports [Attack|Attacks], causing them to [Attack] faster.","","[16,13]","",3,[],[],"","",[],-1
8,"MultipleProjectilesSupport","",370,"Supports [Projectile|Projectile] skills, making them fire extra [Projectile|Projectiles]. Also lowers [Attack] and Cast speed of supported skills, as well as lessening their damage.","","[16,5]","",3,[],[],"","",[],-1
9,"FasterProjectilesSupport","",371,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel faster.","","[16,5]","",3,[],[],"","",[],-1
10,"AddedColdDamageSupport","",372,"Supports [Attack|Attacks], causing them to [Gain] [Cold] Damage but deal less [Fire] and [Lightning] Damage.","","[16,13,1]","",3,[],[],"","",[],-1
11,"AdditionalAccuracySupport","",373,"Supports [Attack|Attacks], causing them to gain [Accuracy].","","[16,13]","",3,[],[],"","",[],-1
12,"IncreasedAreaOfEffectSupport","",374,"Supports any skill with an area of effect, making it larger.","","[16,14]","",3,[],[],"","",[],-1
13,"AddedLightningDamageSupport","",375,"Supports [Attack|Attacks], causing them to [Gain] [Lightning] Damage but deal less [Cold] and [Fire] Damage.","","[16,13,2]","",3,[],[],"","",[],-1
14,"RaiseZombie","",31,"","","[25,8,33,15]","",3,[],[],"","",[],-1
15,"InspirationSupport","",376,"Supports any skill, making it cost less to use. Cannot support skills which reserve [Spirit].","",[16],"",3,[],[],"","",[],-1
16,"IncreasedCriticalDamageSupport","",377,"Supports any skill that [HitDamage|Hits] enemies, causing it to deal more damage with [Critical|Critical Hits] but have less [Critical|Critical Hit] chance.","","[16,47]","",3,[],[],"","",[],-1
17,"KnockbackSupport","",378,"Supports any skill that [HitDamage|Hits] enemies, causing it to [Knockback|Knock Back] enemies.","",[16],"",3,[],[],"","",[],-1
18,"LifeLeechSupport","",379,"Supports [Attack|Attacks], causing their [Physical] damage to [LifeLeech|Leech] Life.","","[16,13,33]","",3,[],[],"","",[],-1
19,"ManaLeechSupport","",380,"Supports [Attack|Attacks], causing their [Physical] damage to [ManaLeech|Leech] Mana.","","[16,13,33]","",3,[],[],"","",[],-1
20,"AddedChaosDamageSupport","",381,"Supports [Attack|Attacks], causing them to [Gain] [Chaos] Damage but deal less Damage of other [DamageTypes|Types].","","[16,13,3]","",3,[],[],"","",[],-1
21,"FlickerStrike","",32,"","","[25,13,14,7,36]","",3,[],[],"","",[],-1
22,"Spark","",33,"","","[25,4,5,2,15]","",3,[],[],"","",[],-1
23,"UniqueEarthboundTriggeredSpark","",34,"","","[25,4,5,2,15]","",3,[],[],"","",[],-1
24,"IceSpear","",35,"","","[25,13,14,5,1]","",3,[],[],"","",[],-1
25,"PierceSupport","",382,"Supports [Projectile|Projectile] skills, making their [Projectile|Projectiles] [Pierce|Pierce] an enemy but deal less damage after doing so.","","[16,5]","",3,[],[],"","",[],-1
26,"SummonSpectre","",36,"","","[25,8,59]","",3,[],[],"","",[],-1
27,"FrostWall","",37,"","","[25,4,14,1,15]","",3,[],[],"","",[],-1
28,"ShockNova","",38,"","","[25,4,14,2,38]","",3,[],[],"","",[],-1
29,"MeleePhysicalDamageSupport","",383,"Supports [Melee] [Attack|Attacks], boosting their [Physical] damage at the cost of [Attack] Speed.","","[16,13,7,33]","",3,[],[],"","",[],-1
30,"FasterCastSupport","",384,"Supports [Spell|Spells], causing them to cast faster.","","[16,4]","",3,[],[],"","",[],-1
31,"TemporalChains","",39,"","","[25,4,14,15,17]","",3,[],[],"","",[],-1
32,"Enfeeble","",40,"","","[25,4,14,15,17]","",3,[],[],"","",[],-1
33,"SnipersMark","",41,"","","[25,4,43,15]","",3,[],[],"","",[],-1
34,"Despair","",89,"","","[25,4,14,3,15,17]","",3,[],[],"","",[],-1
35,"LightningWarp","",43,"","","[25,4,14,2,15]","",3,[],[],"","",[],-1
36,"ArmourBreaker","",44,"","","[25,13,14,7,36,33]","",3,[],[],"","",[],-1
37,"RainOfArrows","",91,"","","[25,13,14,5,61]","",3,[],[],"","",[],-1
38,"ConcentratedEffectSupport","",385,"Supports any skill with an area of effect, causing that area to be smaller but any area damage it deals to be higher.","","[16,14]","",3,[],[],"","",[],-1
39,"BloodlustSupport","",397,"Supports [Melee] [Attack|Attacks], causing them to deal more damage against [Bleeding] enemies, but preventing them from inflicting [Bleeding].","","[16,13,7,33]","",3,[],[],"","",[],-1
40,"Firestorm","",45,"","","[25,4,14,61,0,15,62]","",3,[],[],"","",[],-1
41,"FallingThunder","",46,"","","[25,13,14,7,40,5,2]","",3,[],[],"","",[],-1
42,"PowerSiphon","",47,"","","[25,4,33]","",3,[],[],"","",[],-1
43,"LightningArrow","",48,"","","[25,13,14,5,2,18]","",3,[],[],"","",[],-1
44,"Discipline","",49,"","","[25,58,59,12]","",3,[],[],1,"",[],-1
45,"ShockwaveTotem","",50,"","","[25,13,19,14,7,40,33,15,38]","",3,[],[51],"","",[],1
46,"BlindSupport","",386,"Supports any skill that [HitDamage|Hits] enemies, causing them to [Blind|Blind] on [HitDamage|Hit].","",[16],"",3,[],[],"","",[],-1
47,"Arc","",53,"","","[25,4,2,18]","",3,[],[],"","",[],-1
48,"ArcticArmour","",54,"","","[58,25,4,59,61,1]","",3,[],[],1,"",[],-1
49,"FirePenetrationSupport","",387,"Supports any skill that [HitDamage|Hits] enemies, making those [HitDamage|Hits] [Penetration|Penetrate] enemy [Fire|Fire] resistance.","","[16,0]","",3,[],[],"","",[],-1
50,"ColdPenetrationSupport","",388,"Supports any skill that [HitDamage|Hits] enemies, making those [HitDamage|Hits] [Penetration|Penetrate] enemy [Cold|Cold] resistance.","","[16,1]","",3,[],[],"","",[],-1
51,"LightningPenetrationSupport","",389,"Supports any skill that [HitDamage|Hits] enemies, making those [HitDamage|Hits] [Penetration|Penetrate] enemy [Lightning|Lightning] resistance.","","[16,2]","",3,[],[],"","",[],-1
52,"ChainSupport","",390,"Supports [Projectile|Projectile] skills and any other skills that [Chain|Chain], causing them to [Chain|Chain] additional times.","","[16,5,18]","",3,[],[],"","",[],-1
53,"ForkSupport","",391,"Supports [Projectile] skills, making their [Projectile|Projectiles] [Fork].","","[16,5]","",3,[],[],"","",[],-1
54,"Flammability","",55,"","","[25,4,14,0,15,17]","",3,[],[],"","",[],-1
55,"Hypothermia","",56,"","","[25,4,14,1,15,17]","",3,[],[],"","",[],-1
56,"Conductivity","",57,"","","[25,4,14,2,15,17]","",3,[],[],"","",[],-1
57,"Incinerate","",90,"","","[25,4,14,61,0,15,30]","",3,[],[],"","",[],-1
58,"SpellEchoSupport","",392,"Supports [Spell|Spells] that affect an area around you or a target location. Supported [Spell|Spells] echo, causing their effects to happen again after a short delay. Cannot support [Channelling] skills or [Remote] skills.","","[16,4,14]","",3,[],[],"","",[],-1
59,"ElementalArmySupport","",393,"Supports skills which create [Minion|Minions], bolstering the Elemental [Resistances] of those [Minion|Minions].","","[16,8]","",3,[],[],"","",[],-1
60,"SlowerProjectilesSupport","",394,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel more slowly.","","[16,5]","",3,[],[],"","",[],-1
61,"PurityOfFire","",59,"","","[25,58,59,12,0]","",3,[],[],1,"",[],-1
62,"PurityOfIce","",60,"","","[25,58,59,12,1]","",3,[],[],1,"",[],-1
63,"PurityOfLightning","",61,"","","[25,58,59,12,2]","",3,[],[],1,"",[],-1
64,"Flameblast","",62,"","","[25,4,14,0,30,38]","",3,[],[],"","",[],-1
65,"Barrage","",63,"","","[25,4,58,15]","",3,[],[],"","",[],-1
66,"BallLightning","",58,"","","[25,4,14,5,61,2]","",3,[],[],"","",[],-1
67,"BoneOffering","",64,"","","[25,8,58,14,33,15]","",3,[],[],"","",[],-1
68,"HeraldOfAsh","",66,"","","[25,58,59,14,0,15,31]","",3,[],[],1,"",[],-1
69,"HeraldOfIce","",67,"","","[58,25,13,59,14,1,31,62]","",3,[],[],1,"",[],-1
70,"HeraldOfThunder","",68,"","","[58,25,13,59,14,2,31,62]","",3,[],[],1,"",[],-1
71,"Blasphemy","",5277,"","","[25,58,59,14,12,52]","",3,[],[396],1,"",[],-1
