"rownum","Id","DisplayedName","Description","ActionType","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClasses","WebsiteDescription","WebsiteImage","HideOnWebsite","GrantedEffect","bool","SkillTotemId","IsManuallyCasted","Input_Stats","Output_Stats","MinionActiveSkillTypes","bool","isGem","SecondarySkillSpecificStats","SkillMine","AlternateSkillTargetingBehaviour","bool","AIFile","StatContextFlags","bool","bool","bool","TransfigureBase","i32","i32","string","rid","string","rid","rid","bool","string","i32","string"
0,"ground_slam","Ground Slam","The character slams the ground in front of them with a Mace, creating a wave that travels forward and damages enemies with an increased chance to stun.",0,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[17,12]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"GroundSlamPlayer","",25,1,"[3830,4011,5292]","[24,423,7619]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"Art/Videos/SkillExamples/GroundSlam.bk2",333,"","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
1,"distance_scaled_ground_slam","Ground Slam","Slams the ground in front of you, creating a wave that travels forward and damages enemies.",1,"Art/2DArt/SkillIcons/BruteGroundSlam.dds","[1,2]","[0,7,23,19,91,14]","[17,12]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",25,1,"[3830,4011,5292]","[24,423,7619]",[],1,1,[3312],8,"","","Metadata/Monsters/Totems/PlayerAIScripts/GenericTotemAI.ais","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"Art/Videos/SkillExamples/GroundSlam.bk2",333,"","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
2,"vaal_ground_slam_spiked","Vaal Ground Slam","[DNT] Slams the ground in front of you, creating a wave that travels in all directions that damages enemies with an increased chance to stun. The wave deals more damage to closer enemies.",2,"Art/2DArt/SkillIcons/BruteGroundSlam.dds","[1,2]","[0,7,19,37,91,14]","[17,12]","","",1,"VaalDistanceScaledGroundSlam","",25,1,"[3830,4011,5292]","[24,423,7619]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"","","","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
3,"cleave","Cleave","The character swings their weapon (or both weapons if dual wielding) in an arc, damaging monsters in an area in front of them. Only works with Axes and Swords.",3,"Art/2DArt/SkillIcons/iconcleave.dds","[1,2]","[0,7,23,19,43,27]","[9,11,15,16]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.","http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg",1,"CleavePlayer","",25,1,"[3823,4040,4010,5181,16588,16594,16595,17204]","[24,70,423,5216,576,16589,16590,17203]",[],1,1,[5183],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"","","","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
4,"table_charge","Table Charge","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.",4,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,11,12,32,36]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"TableCharge","",25,1,"[4047,3852]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1,"",-16843010,-16843010,"","","","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
5,"shield_charge","Shield Charge","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.",5,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,11,12,32,36]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"ShieldCharge","",25,1,"[4047,3852,17338]","[70,24,17263]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1,"",-16843010,-16843010,"","","","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
6,"shield_charge_nolos_req","Shield Charge","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.",5,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,8]","[0,19,20,33,78]","[6,7,9,11,12,32,36]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"ShieldCharge","",25,1,"[4047,3852]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1,"",-16843010,-16843010,"","","","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
7,"new_shield_charge","Shield Charge","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies. Cannot be supported by Multistrike.",6,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,25]","[0,9,19,7,33,78]","[6,7,9,11,12,32,36]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldChargePlayer","",25,1,"[4047,3852,17338]","[70,24,17263]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1,"",-16843010,-16843010,"",436,"","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
8,"new_new_shield_charge","Shield Charge","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing off-hand damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies. Cannot be supported by Multistrike.",7,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,25]","[0,9,19,7,33,78,27]",[26],"In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldChargePlayer","",25,1,"[4047,3852,17338]","[70,24,17263]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"",436,"","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
9,"new_new_shield_charge_cooldown","Shield Charge","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing off-hand damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies. Cannot be supported by Multistrike.",7,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,25]","[0,9,19,7,33,78,27,89]",[26],"In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldChargePlayer","",25,1,"[4047,3852,17338]","[70,24,17263]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"","","","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
10,"channel_shield_charge","Shield Charge","Channel to charge in the target direction. You will crash into enemies on your path, stopping your charge and dealing damage to enemies in an area, and extra damage to the enemies you collided with. While charging, your [Shield|Shield] is raised and you will [Block|Block] all incoming [Block|Blockable] hits.",640,"Art/2DArt/SkillIcons/BruteShieldCharge.dds","[1,2]","[0,9,19,7,27,89,47,78,166]",[26],"In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"","",25,1,"[4047,3852,17338]","[70,24,17263]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"",436,"","","",1,"",1,"Metadata/StatDescriptions/specific_skill_stat_descriptions/channel_shield_charge/"
11,"inspiring_cry","Rallying Cry","Performs a warcry, granting increased damage and mana regeneration to the user and nearby allies if there are nearby enemies. The damage increase is proportional to the number of surrounding enemies. Shares a cooldown with other Warcry skills.",9,"Art/2DArt/SkillIcons/InspiringCry.dds",[4],"[4,7,8,62,89]",[],"","",1,"RallyingCry","",25,1,"[9129,5312,4341,4183]","[9128,4363,4363,209]",[],1,1,[],8,"","","",[],"","",1,"",-16843010,-16843010,"","","","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
12,"leap_slam","Leap Slam","Jump into the air, damaging and [Knockback|Knocking Back] enemies with your mace where you land. Enemies you would land on are\npushed out of the way.",11,"Art/2DArt/SkillIcons/BruteLeapSlam.dds","[1,2,20,8,3,28]","[0,7,19,91,14,78,161,133]","[17,12]","Long ago, the marauders of Oriath perfected a devastating battle technique - the ferocious Leap Slam. With a guttural cry, the leaper hurtles forward and smashes the ground at the feet of the enemy. The force from this blow deals substantial damage in a circle around the targeted spot, and will even knock back and stun. The Leap Slam is useful not only as an offensive technique, but also because it can serve, in a pinch, to escape from danger. The Marauders of Oriath were famous for attacking their foes from above, leaping down from high ledges to crush their enemies' skulls.","http://s3.amazonaws.com/pathofexile/image/skills/strength/leap_slam.jpg","","LeapSlamPlayer","",25,1,"[4046,3848,4019]","[70,24,423]",[],1,1,[],8,8,"","Metadata/Monsters/Totems/PlayerAIScripts/GenericTotemAI.ais","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,"",-16843010,-16843010,"",440,"Metadata/Monsters/Companions/AIScripts/LeapSlam.ais","","",1,"",1,"Metadata/StatDescriptions/specific_skill_stat_descriptions/leap_slam/"
13,"leap_slam_cooldown","Leap Slam","Jump into the air, damaging and knocking back enemies with your weapon where you land. Enemies you would land on are pushed out of the way.",11,"Art/2DArt/SkillIcons/BruteLeapSlam.dds","[1,2]","[0,7,19,33,78,91,14,89]","[9,11,12,32,14,15,16,17,57]","Long ago, the marauders of Oriath perfected a devastating battle technique - the ferocious Leap Slam. With a guttural cry, the leaper hurtles forward and smashes the ground at the feet of the enemy. The force from this blow deals substantial damage in a circle around the targeted spot, and will even knock back and stun. The Leap Slam is useful not only as an offensive technique, but also because it can serve, in a pinch, to escape from danger. The Marauders of Oriath were famous for attacking their foes from above, leaping down from high ledges to crush their enemies' skulls.","http://s3.amazonaws.com/pathofexile/image/skills/strength/leap_slam.jpg","","LeapSlamPlayer","",25,1,"[4046,3848,4019]","[70,24,423]",[],1,1,[],8,6,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]",1,"",1,"",-16843010,-16843010,"",440,"","","",1,"",0,"Metadata/StatDescriptions/skill_stat_descriptions/"
