"rownum","MapPinsKey0","MapPinsKey1","rid","RestrictedAreaText","rid","rid","rid","i32","i32"
0,5,8,"","","","","",1,1
1,8,9,"","","","","",1,9
2,9,14,"","","","","",1,9
3,9,18,"","","","","",1,9
4,18,27,"","","","","",1,9
5,18,30,"","","","","",1,9
6,18,51,"","","","","",1,9
7,30,34,"","","","","",1,9
8,34,39,"","","","","",1,9
9,34,45,"","","","","",1,9
10,34,55,"","","","","",1,9
11,55,62,"","","","","",1,9
12,55,65,"","","","","",1,9
13,65,70,"","","","","",1,9
14,70,75,"","","","","",1,9
15,75,78,"","","","","",1,9
16,104,89,"","","","","",2,9
17,89,90,"","","","","",2,9
18,91,95,1524,"","","","",2,9
19,95,108,1524,"","","","",2,9
20,90,94,"","","","","",2,9
21,94,117,"","","","","",2,9
22,90,93,"","","","","",2,9
23,93,169,"","","","","",2,9
24,169,172,"","","","","",2,9
25,90,91,"","","","","",2,9
26,108,112,"","","","","",2,9
27,108,92,"","","","","",2,9
28,91,97,"","","","","",2,9
29,97,118,"","","","","",2,9
30,118,123,"","","","","",2,9
31,123,129,"","","","","",2,9
32,124,130,"","","","","",2,9
33,91,99,"","","","","",2,9
34,99,143,"","","","","",2,9
35,143,150,"","","","","",2,9
36,91,98,"","","","","",2,9
37,98,137,"","","","","",2,9
38,137,140,"","","","","",2,9
39,95,184,1527,"",4565,"",4565,2,9
40,91,102,"","","","","",2,9
41,102,180,"","","","","",2,9
42,92,100,4565,"","","","",2,9
43,100,156,4565,"","","","",2,9
44,156,161,"","","","","",2,9
45,161,164,"","","","","",2,9
46,92,101,"","","","","",2,9
47,101,176,"","","","","",2,9
48,176,177,"","","","","",2,9
49,92,103,"","","","","",2,9
50,103,185,"","","","","",2,9
51,194,201,"","","","","",3,9
52,201,210,"","","","","",3,9
53,201,243,"","","","","",3,9
54,201,257,3853,"[DNT] You must find a way to unlock the door.",3641,"","",3,0
55,201,261,"","","","","",3,0
56,202,205,3854,"[DNT] You must find a way to access The Matlan Waterways.",3642,"","",3,9
57,202,240,"","","","","",3,9
58,202,223,"","","","","",3,9
59,210,217,"","","","","",3,9
60,210,202,"","","","","",3,9
61,223,230,"","","","","",3,9
62,223,248,"","","","","",3,9
63,230,234,"","","","","",3,9
64,231,235,"","","","","",3,9
65,243,244,"","","","","",3,9
66,243,252,"","","","","",3,9
67,261,268,"","","","","",3,9
68,268,275,"","","","","",3,4
69,284,287,"","","","","",7,1
70,287,288,"","","","","",7,9
71,288,293,"","","","","",7,9
72,288,297,"","","","","",7,9
73,297,306,"","","","","",7,9
74,297,309,"","","","","",7,9
75,297,330,"","","","","",7,9
76,309,313,"","","","","",7,9
77,313,318,"","","","","",7,9
78,313,324,"","","","","",7,9
79,313,334,"","","","","",7,9
80,334,341,"","","","","",7,9
81,334,344,"","","","","",7,9
82,344,349,"","","","","",7,9
83,349,352,"","","","","",7,9
84,352,355,"","","","","",7,9
85,381,366,"","","","","",8,9
86,366,367,"","","","","",8,9
87,368,372,1524,"","","","",8,9
88,372,385,1524,"","","","",8,9
89,367,371,"","","","","",8,9
90,371,394,"","","","","",8,9
91,367,370,"","","","","",8,9
92,370,446,"","","","","",8,9
93,446,449,"","","","","",8,9
94,367,373,"","","","","",8,9
95,367,368,"","","","","",8,9
96,385,389,"","","","","",8,9
97,385,369,"","","","","",8,9
98,368,374,"","","","","",8,9
99,374,395,"","","","","",8,9
100,395,400,"","","","","",8,9
101,400,406,"","","","","",8,9
102,401,407,"","","","","",8,9
103,368,376,"","","","","",8,9
104,376,420,"","","","","",8,9
105,420,427,"","","","","",8,9
106,368,375,"","","","","",8,9
107,375,414,"","","","","",8,9
108,414,417,"","","","","",8,9
109,372,461,1527,"",4565,"",4565,8,9
110,369,377,4565,"","","","",8,9
111,377,433,4565,"","","","",8,9
112,433,438,"","","","","",8,9
113,438,441,"","","","","",8,9
114,369,378,"","","","","",8,9
115,378,453,"","","","","",8,9
116,453,454,"","","","","",8,9
117,369,380,"","","","","",8,9
118,380,462,"","","","","",8,9
119,471,478,"","","","","",9,9
120,478,487,"","","","","",9,9
121,478,520,"","","","","",9,9
122,478,534,3853,"[DNT] You must find a way to unlock the door.",3641,"","",9,0
123,478,538,"","","","","",9,0
124,479,482,3854,"[DNT] You must find a way to access The Matlan Waterways.",3642,"","",9,9
125,479,517,"","","","","",9,9
126,479,500,"","","","","",9,9
127,487,494,"","","","","",9,9
128,487,479,"","","","","",9,9
129,500,507,"","","","","",9,9
130,500,525,"","","","","",9,9
131,507,511,"","","","","",9,9
132,508,512,"","","","","",9,9
133,520,521,"","","","","",9,9
134,520,529,"","","","","",9,9
135,538,545,"","","","","",9,9
136,545,552,"","","","","",9,4
137,557,558,"","","","","",9,9
138,558,562,"","","","","",9,9
139,558,570,"","","","","",9,9
140,558,576,"","","","","",9,0
141,559,578,"","","","","",9,0
142,560,561,"","","","","",9,9
143,560,569,"","","","","",9,9
144,560,565,"","","","","",9,9
145,562,563,"","","","","",9,9
146,562,560,"","","","","",9,9
147,565,566,"","","","","",9,9
148,565,573,"","","","","",9,9
149,566,567,"","","","","",9,9
150,570,571,"","","","","",9,9
151,570,575,"","","","","",9,9
152,578,579,"","","","","",9,9
153,579,580,"","","","","",9,4
