"rownum","Id","Stat","FormatText","Divisor","PerMinute"
0,"Mana",11075,"{0} Mana",1,""
1,"Life",13304,"{0} Life",1,""
2,"ES",14180,"{0} Energy Shield",1,""
3,"Rage",13341,"{0} Rage",1,""
4,"ManaPercent",13303,"{0}% Mana",1,""
5,"LifePercent",13305,"{0}% Life",1,""
6,"UnreservedManaPercent",13566,"[DNT] {0}% Unreserved Mana ",1,""
7,"ManaPerMinute",14014,"{0} Mana per second",60,1
8,"LifePerMinute",14015,"{0} Life per second",60,1
9,"ManaPercentPerMinute",14018,"{0}% Mana per second",60,1
10,"LifePercentPerMinute",14019,"{0}% Life per second",60,1
11,"ESPerMinute",14095,"{0} Energy Shield per second",60,1
12,"ESPercentPerMinute",14096,"{0}% Energy Shield per second",60,1
