"rownum","Id","HASH16","ModType","Level","Stat1","Stat2","Stat3","Stat4","Domain","Name","GenerationType","Families","Stat1Value","Stat2Value","Stat3Value","Stat4Value","i32","i32","rid","rid","row","[rid]","[rid]","[rid]","string","[rid]","[rid]","i32","i32","rid","[rid]","[rid]","[rid]","[rid]","[string]","bool","i32","i32","rid","i32","bool","[rid]","string","i32","[rid]","i32","i32","rid","rid","i32","i32","i32","[rid]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","[string]","bool","i32","i32","i32","i32","i32","i16","bool"
0,"Strength1",22100,425,1,561,"","","",1,"of the Brute",2,[131],5,8,0,0,0,0,0,74,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-888300199,[],"",0,0,1577058304,0,50331648,0,""
1,"Strength2",53672,425,11,561,"","","",1,"of the Wrestler",2,[131],9,12,0,0,0,0,0,166,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1447528431,[],"",0,0,-1241513984,0,50331648,0,""
2,"Strength3",27615,425,22,561,"","","",1,"of the Bear",2,[131],13,16,0,0,0,0,0,246,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,472807409,[],"",0,0,100663296,1,50331648,0,""
3,"Strength4",49948,425,33,561,"","","",1,"of the Lion",2,[131],17,20,0,0,0,0,0,326,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,730523798,[],"",0,0,1442840576,1,50331648,0,""
4,"Strength5",34513,425,44,561,"","","",1,"of the Gorilla",2,[131],21,24,0,0,0,0,0,412,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,712944815,[],"",0,0,-1409286144,1,50331648,0,""
5,"Strength6",7645,425,55,561,"","","",1,"of the Goliath",2,[131],25,27,0,0,0,0,0,498,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-211685700,[],"",0,0,33554432,2,50331648,0,""
6,"Strength7",13917,425,66,561,"","","",1,"of the Leviathan",2,[131],28,30,0,0,0,0,0,588,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1034750960,[],"",0,0,1543503872,2,50331648,0,""
7,"Strength8",4242,425,74,561,"","","",1,"of the Titan",2,[131],31,33,0,0,0,0,0,670,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2080074601,[],"",0,0,-1375731712,2,50331648,0,""
8,"Strength9",49770,425,81,561,"","","",1,"of the Gods",2,[131],34,36,0,0,0,0,0,750,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1757850284,[],"",0,0,-33554432,2,50331648,0,""
9,"Dexterity1",45863,429,1,567,"","","",1,"of the Mongoose",2,[132],5,8,0,0,0,0,0,840,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,664245424,[],"",0,0,1476395008,3,50331648,0,""
10,"Dexterity2",16685,429,11,567,"","","",1,"of the Lynx",2,[132],9,12,0,0,0,0,0,922,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,139741561,[],"",0,0,-1442840576,3,50331648,0,""
11,"Dexterity3",10074,429,22,567,"","","",1,"of the Fox",2,[132],13,16,0,0,0,0,0,1002,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,186526788,[],"",0,0,-100663296,3,50331648,0,""
12,"Dexterity4",50910,429,33,567,"","","",1,"of the Falcon",2,[132],17,20,0,0,0,0,0,1088,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,114212880,[],"",0,0,1342177280,4,50331648,0,""
13,"Dexterity5",56313,429,44,567,"","","",1,"of the Panther",2,[132],21,24,0,0,0,0,0,1176,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1283495801,[],"",0,0,-1476395008,4,50331648,0,""
14,"Dexterity6",5978,429,55,567,"","","",1,"of the Leopard",2,[132],25,27,0,0,0,0,0,1264,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-305005941,[],"",0,0,0,5,50331648,0,""
15,"Dexterity7",15758,429,66,567,"","","",1,"of the Jaguar",2,[132],28,30,0,0,0,0,0,1350,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,116669306,[],"",0,0,1442840576,5,50331648,0,""
16,"Dexterity8",59101,429,74,567,"","","",1,"of the Phantom",2,[132],31,33,0,0,0,0,0,1438,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2085132949,[],"",0,0,-1375731712,5,50331648,0,""
17,"Dexterity9",41555,429,81,567,"","","",1,"of the Wind",2,[132],34,36,0,0,0,0,0,1520,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1940247030,[],"",0,0,0,6,50331648,0,""
18,"Intelligence1",5016,433,1,564,"","","",1,"of the Pupil",2,[133],5,8,0,0,0,0,0,1610,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1853259247,[],"",0,0,1509949440,6,50331648,0,""
19,"Intelligence2",45645,433,11,564,"","","",1,"of the Student",2,[133],9,12,0,0,0,0,0,1704,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2079902133,[],"",0,0,-1207959552,6,50331648,0,""
20,"Intelligence3",44673,433,22,564,"","","",1,"of the Prodigy",2,[133],13,16,0,0,0,0,0,1798,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1776535394,[],"",0,0,369098752,7,50331648,0,""
21,"Intelligence4",47460,433,33,564,"","","",1,"of the Augur",2,[133],17,20,0,0,0,0,0,1888,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2058994653,[],"",0,0,1879048192,7,50331648,0,""
22,"Intelligence5",46613,433,44,564,"","","",1,"of the Philosopher",2,[133],21,24,0,0,0,0,0,1990,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2020724324,[],"",0,0,-704643072,7,50331648,0,""
23,"Intelligence6",25951,433,55,564,"","","",1,"of the Sage",2,[133],25,27,0,0,0,0,0,2078,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1430728728,[],"",0,0,771751936,8,50331648,0,""
