"rownum","string","string","[string]","i32","i32","i32","i32","i32","i32","bool"
0,"MapRustbowl","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Rustbowl01.ao",[],0,0,0,0,0,360,""
1,"MapBackwash","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BackWash01.ao",[],0,0,0,0,0,360,""
2,"MapBurialBog","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BurialBog01.ao","[""Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BurialBog02.ao""]",20,30,2,4,0,360,""
3,"MapWetlands","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Wetlands01.ao",[],0,0,0,0,0,360,""
4,"MapBloomingField","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BloomingField01.ao","[""Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BloomingField02.ao""]",20,30,3,6,0,360,""
5,"MapSavanna","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Savanna01.ao",[],0,0,0,0,0,360,""
6,"MapFortress","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Fortress01.ao",[],0,0,0,0,0,360,""
7,"MapPenitentiary","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Penitentiary01.ao","[""Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Penitentiary02.ao""]",20,30,4,8,0,360,""
8,"MapSandspit","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SandSplit01.ao",[],0,0,0,0,0,360,""
9,"MapForge","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Forge01.ao",[],0,0,0,0,0,360,""
10,"MapSulphuricCaverns","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SulphuricCaverns01.ao",[],0,0,0,0,0,360,""
11,"MapMire","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Mire01.ao",[],0,0,0,0,0,360,""
12,"MapWoodland","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Woodland01.ao",[],0,0,0,0,0,360,""
13,"MapWillow","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Willow01.ao",[],0,0,0,0,0,360,""
14,"MapHeadland","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Headland01.ao",[],0,0,0,0,0,360,""
15,"MapLoftySummit","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MapLoftySummit01.ao",[],0,0,0,0,0,360,""
16,"MapNecropolis","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Necropolis01.ao",[],0,0,0,0,0,360,""
