"rownum","Id","DaggerEPKFile","BowEPKFile","OneHandedMaceEPKFile","OneHandedSwordEPKFile","string","TwoHandedSwordEPKFile","TwoHandedStaffEPKFile","HASH16","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","u16"
0,"Weapon_Necro","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Dagger_Claw_Wand/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Bow/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Mace_1h Axe/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Sword/necro_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/2h Sword/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Staff/necro_epk.epk",21739,82837504,0,29229056,0,29229056,0,2359296,0,95944704,0,108396544,0,56754176,0,56492032,0,56492032,0,56492032,0,0
1,"Weapon_Acid","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Dagger_Claw_Axe_Wand/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Bow/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/2h Mace/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/1h Sword_ 2h Axe/acid_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/2h Sword/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Staff/acid_epk.epk",8770,148635648,0,121765888,0,161480704,0,121765888,0,201064448,0,213254144,0,175505408,0,56492032,0,56492032,0,56492032,0,0
2,"Weapon_Arcane","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Dagger_Claw_Wand/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Bow/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/1 h Mace_ 1h Axe/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/1h Sword/arcane_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/2h Sword/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Staff/arcane_epk.epk",-18508,308019200,0,253886464,0,308019200,0,226754560,0,321257472,0,333840384,0,281673728,0,56492032,0,56492032,0,56492032,0,0
3,"Weapon_Aqua","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk",-7917,373948416,0,347209728,0,373948416,0,347209728,0,386662400,0,399769600,0,373948416,0,56492032,0,56492032,0,56492032,0,0
4,"Weapon_Ebony","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_staff.epk",-19244,486670336,0,498597888,0,510394368,0,522190848,0,56492032,0,533725184,0,462553088,0,56492032,0,56492032,0,56492032,0,0
5,"Weapon_Blue","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk",17941,573964288,0,547225600,0,573964288,0,547225600,0,586678272,0,599785472,0,573964288,0,56492032,0,56492032,0,56492032,0,0
6,"Weapon_Green","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk",8855,641335296,0,614072320,0,641335296,0,614072320,0,654311424,0,667680768,0,641335296,0,56492032,0,56492032,0,56492032,0,0
7,"Weapon_Purple","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk",24414,710017024,0,682229760,0,710017024,0,682229760,0,723255296,0,736886784,0,710017024,0,56492032,0,56492032,0,56492032,0,0
8,"Weapon_Red","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk",-19391,777388032,0,751173632,0,777388032,0,751173632,0,789839872,0,802684928,0,777388032,0,56492032,0,56492032,0,56492032,0,0
9,"Weapon_White","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk",-12758,844103680,0,816840704,0,844103680,0,816840704,0,857079808,0,844103680,0,844103680,0,56492032,0,56492032,0,56492032,0,0
10,"Weapon_Yellow","","","","","","","",-29655,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,0
11,"Weapon_Stone","","","","","","","",32699,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,0
12,"Weapon_Radiant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Dagger_Claw_Wand/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Bow/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/1h Mace_1h Axe/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/1h Sword/sunpower_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/2h Sword/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Staff/sunpower_epk.epk",18246,961282048,0,904790016,0,961282048,0,876347392,0,975175680,0,988413952,0,933625856,0,56492032,0,56492032,0,56492032,0,0
13,"Weapon_Verdant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Dagger_Wand/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Bow/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/1h Mace_1h Axe/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/1h Sword/dryad_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/2h Sword/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Staff/dryad_epk.epk",-6755,1082130432,0,1028784128,0,1082130432,0,1095237632,0,1107951616,0,1120403456,0,1056047104,0,56492032,0,56492032,0,56492032,0,0
14,"Weapon_Vampiric","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Sword_Dagger_Wand/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/Bow/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Mace_1h Axe/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Sword_Dagger_Wand/vampires_hunger_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/2h Sword/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/Staff/vampires_hunger_epk.epk",18162,1213595648,0,1166409728,0,1213595648,0,1134297088,0,1229062144,0,1242824704,0,1182793728,0,56492032,0,56492032,0,56492032,0,0
15,"Weapon_Heart","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheartdagger.epk","","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheart1hsword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheart2hsword.epk","",-12767,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,56492032,0,1283194880,0,56492032,0,56492032,0,56492032,0,0
16,"Weapon_Ivory","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_wand_dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_staff.epk",27367,1358692352,0,1370750976,0,1382547456,0,1298006016,0,56492032,0,1394475008,0,1346633728,0,56492032,0,56492032,0,56492032,0,0
17,"Weapon_Regal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_daggerwand/1h_wanddagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_staff/2h_staff.epk",19609,1475870720,0,1489240064,0,1502347264,0,1408106496,0,56492032,0,1515716608,0,1449787392,0,56492032,0,56492032,0,56492032,0,0
18,"Weapon_Divine","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_staff/2h_staff.epk",2975,1598291968,0,1611792384,0,1625292800,0,1529872384,0,56492032,0,1638793216,0,1571946496,0,56492032,0,56492032,0,56492032,0,0
19,"Weapon_Exalted","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_staff/2h_staff.epk",22618,1722286080,0,1735917568,0,1749549056,0,1653211136,0,56492032,0,1762918400,0,1695678464,0,56492032,0,56492032,0,56492032,0,0
20,"Weapon_Eternal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_staff/2h_staff.epk",-18146,1843920896,0,1857028096,0,1869873152,0,1777467392,0,56492032,0,1882718208,0,1818361856,0,56492032,0,56492032,0,56492032,0,0
21,"Weapon_Arctic","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/dagger_wand/1h_wanddagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_staff/2h_staff.epk",-31718,1973944320,0,1986658304,0,1999110144,0,1896611840,0,56492032,0,2011561984,0,1947992064,0,56492032,0,56492032,0,56492032,0,0
22,"Weapon_Infernal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/dagger_wand/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_staff/2h_staff.epk",3739,2103574528,0,2116419584,0,2129002496,0,2025324544,0,56492032,0,2141585408,0,2077360128,0,56492032,0,56492032,0,56492032,0,0
23,"Weapon_Lightning","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/claw_dagger_wand/claw_dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_staff/2h_staff.epk",-24776,-2057830400,0,-2044592128,0,-2031616000,0,-2139357184,0,56492032,0,-2018639872,0,-2084831232,0,56492032,0,56492032,0,56492032,0,0
24,"Weapon_Seraph","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/wand_dagger/wand_dagger_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/2h_bow/2h_bow_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/1h_mace/1h_mace_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/1h_sword/1h_sword_seraph.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/2h_sword/2h_sword_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/2h_staff/2h_staff_seraph.epk",21111,-1924399104,0,-1911291904,0,-1898446848,0,-1885601792,0,56492032,0,-1873281024,0,-1951137792,0,56492032,0,56492032,0,56492032,0,0
25,"Weapon_GhostFlame","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/1h_daggerwand/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_bow/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_mace/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/1h_sword/ghostflame.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_sword/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_staff/ghostflame.epk",-27869,-1831337984,0,-1775370240,0,-1761607680,0,-1859780608,0,56492032,0,-1747845120,0,-1803419648,0,56492032,0,56492032,0,56492032,0,0
26,"Weapon_SeraphBlue","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/wand_dagger/wand_dagger_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/2h_bow/2h_bow_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/1h_mace/1h_mace_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/1h_sword/1h_sword_seraph.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/2h_sword/2h_sword_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/2h_staff/2h_staff_seraph.epk",30894,-1648885760,0,-1635123200,0,-1621622784,0,-1608122368,0,56492032,0,-1595146240,0,-1676935168,0,56492032,0,56492032,0,56492032,0,0
27,"Weapon_Axiom","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/2h_staff/2h_staff.epk",25047,-1497759744,0,-1483997184,0,-1470496768,0,-1456996352,0,56492032,0,-1444020224,0,-1525809152,0,56492032,0,56492032,0,56492032,0,0
28,"Weapon_Highgate","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/2h_staff/2h_staff.epk",27663,-1344536576,0,-1330642944,0,-1317011456,0,-1303379968,0,56492032,0,-1290272768,0,-1372848128,0,56492032,0,56492032,0,56492032,0,0
29,"Weapon_Lunaris","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/2h_staff/2h_staff.epk",-17826,-1193934848,0,-1180565504,0,-1167458304,0,-1154351104,0,56492032,0,-1141768192,0,-1221197824,0,56492032,0,56492032,0,56492032,0,0
30,"Weapon_Vaal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/2h_staff/2h_staff.epk",9040,-1045561344,0,-1032060928,0,-1018822656,0,-1005584384,0,56492032,0,-992870400,0,-1073086464,0,56492032,0,56492032,0,56492032,0,0
31,"Weapon_Awakening","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/2h_staff/2h_staff.epk",-13664,-893517824,0,-879624192,0,-865992704,0,-852361216,0,56492032,0,-839254016,0,-921829376,0,56492032,0,56492032,0,56492032,0,0
32,"Weapon_Aspirant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/2h_staff/2h_staff.epk",26011,-733347840,0,-718405632,0,-703725568,0,-689045504,0,56492032,0,-674889728,0,-763756544,0,56492032,0,56492032,0,56492032,0,0
