"rownum","SkillGemsKey","Supports"
0,412,"[108,6,27,265,16,97,488,270,271]"
1,421,"[5,95,108,17,107,267,488,98,19]"
2,422,"[5,95,108,17,107,267,488,98,19]"
3,423,"[5,95,108,17,107,267,488,98,19]"
4,66,"[11,480,266,483,269,484]"
5,528,"[480,482,266,267,484,271]"
6,380,"[482,168,483,267,484,270]"
7,283,"[168,14,37,551,547,511,466,513,271]"
8,323,"[5,11,107,225,84,98]"
9,77,"[165,166,354,226,490,27,411,492,545]"
10,126,"[36,169,125,225,107,27,556,270,124]"
11,144,"[167,166,352,490,514,27,411,556,574]"
12,2,"[352,107,271,453,101,466,487,497,167]"
13,43,"[36,332,162,226,547,551,360,492,488]"
14,70,"[11,378,460,497,269,494,276,409,266]"
15,34,"[108,6,363,493,410,452,488,492,124]"
16,319,"[169,212,94,225,461,211,124,107,411]"
17,82,"[95,166,162,97,27,491,544,411,574]"
18,116,"[95,100,162,97,511,491,544,556,513]"
19,115,"[11,379,460,226,497,409,276,494,492]"
20,1,"[352,166,11,519,226,101,411,492,574]"
21,321,"[11,108,493,269,270,271,410,452,336]"
22,391,"[339,329,11,490,107,511,513,411,556]"
23,132,"[97,496,5,340,168,108,544,455,98]"
24,146,"[100,166,167,27,225,98,226,411,556]"
25,390,"[100,453,167,101,490,27,487,411,556]"
26,385,"[5,8,210,496,491,340,84,270,271]"
27,388,"[114,165,166,225,163,497,411,556,574]"
28,537,"[482,480,483,266,484,270]"
29,506,"[165,482,481,266,267,483,269,270,484]"
30,429,"[12,96,354,18,97,10,488,270,19]"
31,68,"[480,11,36,483,97,44,488,84,271]"
32,538,"[480,482,483,266,465,271]"
33,109,"[482,11,267,490,484,559]"
34,347,"[11,354,484,488,44,97]"
35,529,"[480,481,483,266,270,271]"
36,41,"[23,7,50,97,333,496,129,353,302]"
37,516,"[332,479,97,44,488,271,168,466,17]"
38,499,"[9,479,561,496,491,546,269,84,337]"
39,145,"[188,207,97,44,519,269,270,271,564]"
40,191,"[339,100,95,546,565,97,556,51,459]"
41,311,"[36,99,12,49,206,491,456,129,566]"
42,312,"[11,7,8,49,491,496,302,84,456]"
43,325,"[327,11,479,266,511,269,513,97,465]"
44,308,"[23,305,376,97,225,44,458,19,51]"
45,313,"[50,336,461,226,491,15,556,566,225]"
46,534,"[9,8,339,496,48,107,566,457,270]"
