"rownum","Id","Text"
0,"CreateCurrency","Create Currency Items"
1,"CreateUnique","Create a Unique"
2,"CreateRare","Create a Rare"
3,"CreateItem","Create an Item"
4,"CreateImprint","Create an Imprint"
5,"CorruptItem","Corrupt an Item"
6,"TransformItem","Transform an Item"
7,"ModifyMods","Modify Mods on an Item"
8,"SplitItem","Split an Item Into Two"
9,"ConvertUnique","Convert this Unique Item"
10,"AddModToLifeOrManaFlask","Add a Mod to a Life or Mana Flask"
11,"AddModToUtilityFlask","Add a Mod to a Utility Flask"
12,"OpenPortal","Open a Portal"
13,"CraftAspectSkill","Craft an Aspect Skill onto an Item"
14,"GainAtlasCrafts","Gain Atlas Crafts"
15,"EnchantUtilityFlask","Enchant a Utility Flask"
16,"CreateTalisman","Create a Talisman"
