"rownum","string","[rid]","bool","i32","[rid]","bool","i32","rid","bool","[rid]","i32","bool","[rid]","i32","rid","rid","i32","i32"
0,"IsNormal",[],"",1,[],"",1,0,"",[],0,"",[],1,"","",0,0
1,"IsMagic",[],"",1,[],"",1,1,"",[],0,"",[],1,"","",0,0
2,"IsRare",[],"",1,[],"",1,2,"",[],0,"",[],1,"","",0,0
3,"IsUnique",[],"",1,[],"",1,3,"",[],0,"",[],1,"","",0,0
4,"IsHarbinger",[],"",1,[6424],"",1,"","",[],0,"",[],1,"","",0,0
5,"IsRogueExile",[],"",1,[8882],"",1,"","",[],0,"",[],1,"","",0,0
6,"IsInvasionBoss",[],"",1,[3536],"",1,"","",[],0,"",[],1,"","",0,0
7,"IsMapBoss",[],"",1,[887],"",0,"",1,[],0,"",[],1,"","",0,0
8,"RhoaFullyEnraged",[749],"",3,[],"",1,"","",[],0,"",[],1,"","",0,0
9,"HasSoulEaterX30",[266],"",30,[],"",1,"","",[],0,"",[],1,"","",0,0
10,"HasNoLightningShield",[767],"",0,[],"",1,"","",[],0,"",[],1,"","",0,0
11,"Has4Totems",[],"",1,[3399],"",4,"","",[],0,"",[],1,"","",0,0
12,"HasDuetEnrage",[447],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
13,"IsPossessed",[],"",1,[2622],"",1,"","",[],0,"",[],1,"","",0,0
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,"","",[8781],0,"",[],1,"","",0,1
15,"IsBeyondBoss",[],"",1,[5712],"",1,"","",[],0,"",[],1,"","",0,0
16,"IsBreachMonster",[],"",1,[5150],"",1,"","",[],0,"",[],1,"","",0,0
17,"HasOnslaught",[],"",1,[17239],"",1,"","",[],0,"",[],1,"","",0,0
18,"IsPossessedByBootlegger",[],"",1,[2622],"",1,"","",[8684],0,"",[],1,"","",0,1
19,"IsPossessedByBuccaneer",[],"",1,[2622],"",1,"","",[8687],0,"",[],1,"","",0,1
20,"IsCursed",[],"",1,[719],"",1,"","",[],0,"",[],1,"","",0,0
21,"HasEssence",[],"",1,[],"",1,"","",[],1,"",[],1,"","",0,0
22,"HasEssenceX3",[],"",1,[],"",1,"","",[],3,"",[],1,"","",0,0
23,"HasEssenceX5",[],"",1,[],"",1,"","",[],5,"",[],1,"","",0,0
24,"HasEssenceX8",[],"",1,[],"",1,"","",[],8,"",[],1,"","",0,0
25,"HasTalisman",[],"",1,[],"",1,"","",[],0,1,[],1,"","",0,0
26,"IsPantingOrDancing",[],"",1,[],"",1,"","",[],0,"","[90,70]",1,"","",0,0
27,"HasIceTotemsX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
28,"HasIceMinionsX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
29,"HasBloodRavensX3",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
30,"HasFireSkelliesX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
31,"IsEnraged",[664],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
32,"IsScreeching",[],"",1,[],"",1,"","",[],0,"",[],1,942,"",0,0
33,"HasHotdogsX10",[],"",1,[],"",1,"","",[],0,"",[],10,"",748,0,0
34,"IsOnFullEnergyShield",[],"",1,[2380],"",1,"","",[],0,"",[],1,"","",0,0
35,"IsInAfflictionMist",[],"",1,[10966],"",1,"","",[],0,"",[],1,"","",0,0
36,"IsBleeding",[],"",1,[2036],"",1,"","",[],0,"",[],1,"","",0,0
37,"HasImmortalCall",[],"",1,[716],"",1,"","",[],0,"",[],1,"","",0,0
38,"CastingScorchingRay",[],"",1,[],"",1,"","",[],0,"",[],1,687,"",0,0
39,"IsMavenBuffed",[],"",1,[],"",1,"","",[24515],0,"",[],1,"","",0,1
40,"IsUsingWolfBarrage",[],"",1,[],"",1,"","",[],0,"",[],1,598,"",0,0
41,"IsTaunted",[],"",1,[3420],"",1,"","",[],0,"",[],1,"","",0,0
42,"HasMoltenShell",[111],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
43,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,"","",[],0,"",[47],1,"","",0,0
44,"HasVolatileSurge",[767],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
45,"IsTaggedBySentinel",[],"",1,[16071],"",1,"","",[],0,"",[],1,"","",0,0
46,"IsTaggedBySentinelUnique",[],"",1,[16193],"",1,"","",[],0,"",[],1,"","",0,0
47,"EssenceWith4Affixes",[],"",1,[],"",1,"","",[],1,"",[],1,"","",4,0
48,"HasAffixesX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",4,0
49,"HasSpecialEssences",[],"",1,[],"",1,"","","[12290,12291,12292,12293]",0,"",[],1,"","",0,1
50,"IsChilled",[],"",1,[1802],"",1,"","",[],0,"",[],1,"","",0,0
51,"Has5UniqueMetamorphBodyParts",[],"",1,[16396],"",5,"","",[],0,"",[],1,"","",0,0
52,"HasEmpowerment50",[],"",1,[16260],"",50,"","",[],0,"",[],1,"","",0,0
53,"HasAffixesX5",[],"",1,[],"",1,"","",[],0,"",[],1,"","",5,0
54,"HasShriekingEssencex3",[],"",1,[],"",1,"","","[12185,12277,12270,12245,12238,12178,12202,12210,12215,12260,12190,12282,12251,12229,12286,12225,12193,12263,12232,12221]",3,"",[],1,"","",0,3
55,"IsGodTouched",[],"",1,[],"",1,"","","[31404,31405,31406,31407,31408,31409,31410,31411,31412]",0,"",[],1,"","",0,1
