"rownum","Id","WorldAreasKey","MonsterVarietiesKeys","[i32]"
0,"ProxyKey1",4,"[1214,1215,1216]","[78,0,122,0,160]"
1,"ProxyKey2",5,[1046],"[362,0,406]"
2,"ProxyKey3",14,[472],"[528,0,562]"
3,"ProxyKey16",31,[936],"[712,0]"
4,"ProxyKey17",34,[1058],[846]
5,"ProxyKey11",45,"[1496,1497]","[944,0]"
6,"ProxyKey13",47,[1885],[1066]
7,"ProxyKey229",127,"[1902,1980,2027,1525,1599,3030]",[1234]
8,"ProxyKey8",481,"[4682,4681,4684]",[1356]
9,"ProxyKey15",482,"[4682,4681,4684]",[1472]
10,"ProxyKey18",483,"[4682,4681,4684]",[1588]
11,"ProxyKey19",484,"[4682,4681,4684]",[1704]
12,"ProxyKey21",485,"[4682,4681,4684]",[1820]
13,"ProxyKey22",486,"[4682,4681,4684]",[1936]
14,"ProxyKey31",487,"[4682,4681,4684]",[2052]
15,"ProxyKey32",488,"[4682,4681,4684]",[2168]
16,"ProxyKey33",489,"[4682,4681,4684]",[2284]
17,"ProxyKey34",490,"[4682,4681,4684]",[2400]
18,"ProxyKey36",491,"[4682,4681,4684]",[2516]
19,"ProxyKey37",481,[4701],[2600]
20,"ProxyKey43",482,[4701],[2684]
21,"ProxyKey44",483,[4701],[2768]
22,"ProxyKey7",484,[4701],[2850]
23,"ProxyKey12",485,[4701],[2934]
24,"ProxyKey20",486,[4701],[3018]
25,"ProxyKey23",487,[4701],[3102]
26,"ProxyKey26",488,[4701],[3186]
27,"ProxyKey29",489,[4701],[3270]
28,"ProxyKey35",490,[4701],[3354]
29,"ProxyKey39",491,[4701],[3438]
30,"ProxyKey51",554,"[4682,4681,4684]",[3554]
31,"ProxyKey52",555,"[4682,4681,4684]",[3670]
32,"ProxyKey53",556,"[4682,4681,4684]",[3786]
33,"ProxyKey54",557,"[4682,4681,4684]",[3902]
34,"ProxyKey55",558,"[4682,4681,4684]",[4018]
35,"ProxyKey56",559,"[4682,4681,4684]",[4134]
36,"ProxyKey57",560,"[4682,4681,4684]",[4250]
37,"ProxyKey58",561,"[4682,4681,4684]",[4366]
38,"ProxyKey59",562,"[4682,4681,4684]",[4482]
39,"ProxyKey60",563,"[4682,4681,4684]",[4598]
40,"ProxyKey61",564,"[4682,4681,4684]",[4714]
41,"ProxyKey65",554,[4701],[4798]
42,"ProxyKey68",555,[4701],[4882]
43,"ProxyKey70",556,[4701],[4966]
44,"ProxyKey71",557,[4701],[5050]
45,"ProxyKey72",558,[4701],[5134]
46,"ProxyKey73",559,[4701],[5218]
47,"ProxyKey74",560,[4701],[5302]
48,"ProxyKey75",561,[4701],[5386]
49,"ProxyKey76",562,[4701],[5470]
50,"ProxyKey77",563,[4701],[5554]
51,"ProxyKey78",564,[4701],[5638]
52,"ProxyKey79",626,"[4682,4681,4684]",[5754]
53,"ProxyKey80",627,"[4682,4681,4684]",[5870]
54,"ProxyKey81",628,"[4682,4681,4684]",[5986]
55,"ProxyKey82",629,"[4682,4681,4684]",[6102]
56,"ProxyKey83",630,"[4682,4681,4684]",[6218]
57,"ProxyKey84",631,"[4682,4681,4684]",[6334]
58,"ProxyKey45",632,"[4682,4681,4684]",[6450]
59,"ProxyKey46",633,"[4682,4681,4684]",[6566]
60,"ProxyKey47",634,"[4682,4681,4684]",[6682]
61,"ProxyKey48",635,"[4682,4681,4684]",[6798]
62,"ProxyKey49",636,"[4682,4681,4684]",[6914]
63,"ProxyKey50",626,[4701],[6998]
64,"ProxyKey85",627,[4701],[7082]
65,"ProxyKey86",628,[4701],[7166]
66,"ProxyKey87",629,[4701],[7250]
67,"ProxyKey88",630,[4701],[7334]
68,"ProxyKey89",631,[4701],[7418]
69,"ProxyKey90",632,[4701],[7502]
70,"ProxyKey91",633,[4701],[7586]
71,"ProxyKey92",634,[4701],[7670]
72,"ProxyKey93",635,[4701],[7754]
73,"ProxyKey94",636,[4701],[7838]
74,"ProxyKey95",698,"[4682,4681,4684]",[7954]
75,"ProxyKey96",699,"[4682,4681,4684]",[8070]
76,"ProxyKey97",700,"[4682,4681,4684]",[8186]
77,"ProxyKey98",701,"[4682,4681,4684]",[8302]
78,"ProxyKey99",702,"[4682,4681,4684]",[8418]
79,"ProxyKey100",703,"[4682,4681,4684]",[8536]
80,"ProxyKey101",704,"[4682,4681,4684]",[8654]
81,"ProxyKey102",705,"[4682,4681,4684]",[8772]
82,"ProxyKey103",706,"[4682,4681,4684]",[8890]
83,"ProxyKey104",707,"[4682,4681,4684]",[9008]
84,"ProxyKey105",708,"[4682,4681,4684]",[9126]
85,"ProxyKey106",698,[4701],[9212]
86,"ProxyKey107",699,[4701],[9298]
87,"ProxyKey108",700,[4701],[9384]
88,"ProxyKey109",701,[4701],[9470]
89,"ProxyKey110",702,[4701],[9556]
90,"ProxyKey111",703,[4701],[9642]
91,"ProxyKey112",704,[4701],[9728]
92,"ProxyKey113",705,[4701],[9814]
93,"ProxyKey114",706,[4701],[9900]
94,"ProxyKey115",707,[4701],[9986]
95,"ProxyKey116",708,[4701],[10072]
96,"ProxyKey40",515,"[4682,4681,4684]",[10188]
97,"ProxyKey5",516,"[4682,4681,4684]",[10302]
98,"ProxyKey6",517,"[4682,4681,4684]",[10416]
99,"ProxyKey9",518,"[4682,4681,4684]",[10530]
100,"ProxyKey10",519,"[4682,4681,4684]",[10646]
101,"ProxyKey14",520,"[4682,4681,4684]",[10762]
102,"ProxyKey117",521,"[4682,4681,4684]",[10880]
103,"ProxyKey118",522,"[4682,4681,4684]",[10998]
104,"ProxyKey119",523,"[4682,4681,4684]",[11116]
105,"ProxyKey120",524,"[4682,4681,4684]",[11234]
106,"ProxyKey121",525,"[4682,4681,4684]",[11352]
107,"ProxyKey62",515,"[4677,4678,4679,4680,4685,4686]","[11516,0]"
108,"ProxyKey63",516,"[4677,4678,4679,4680,4685,4686]","[11730,0]"
109,"ProxyKey64",517,"[4677,4678,4679,4680,4685,4686]","[11944,0]"
110,"ProxyKey66",518,"[4677,4678,4679,4680,4685,4686]","[12158,0]"
111,"ProxyKey67",519,"[4677,4678,4679,4680,4685,4686]","[12372,0]"
112,"ProxyKey69",520,"[4677,4678,4679,4680,4685,4686]","[12586,0]"
113,"ProxyKey42",521,"[4677,4678,4679,4680,4685,4686]","[12800,0]"
114,"ProxyKey122",522,"[4677,4678,4679,4680,4685,4686]","[13016,0]"
115,"ProxyKey123",523,"[4677,4678,4679,4680,4685,4686]","[13232,0]"
116,"ProxyKey124",524,"[4677,4678,4679,4680,4685,4686]","[13448,0]"
117,"ProxyKey125",525,"[4677,4678,4679,4680,4685,4686]","[13664,0]"
118,"ProxyKey38",515,[4701],[13798]
119,"ProxyKey24",516,[4701],[13882]
120,"ProxyKey25",517,[4701],[13966]
121,"ProxyKey27",518,[4701],[14050]
122,"ProxyKey28",519,[4701],[14134]
123,"ProxyKey30",520,[4701],[14218]
124,"ProxyKey41",521,[4701],[14302]
125,"ProxyKey126",522,[4701],[14388]
126,"ProxyKey127",523,[4701],[14474]
127,"ProxyKey128",524,[4701],[14560]
128,"ProxyKey129",525,[4701],[14646]
129,"ProxyKey130",587,"[4682,4681,4684]",[14764]
130,"ProxyKey131",588,"[4682,4681,4684]",[14882]
131,"ProxyKey132",589,"[4682,4681,4684]",[15000]
132,"ProxyKey133",590,"[4682,4681,4684]",[15118]
133,"ProxyKey134",591,"[4682,4681,4684]",[15236]
134,"ProxyKey135",592,"[4682,4681,4684]",[15354]
135,"ProxyKey136",593,"[4682,4681,4684]",[15472]
136,"ProxyKey137",594,"[4682,4681,4684]",[15590]
137,"ProxyKey138",595,"[4682,4681,4684]",[15708]
138,"ProxyKey139",596,"[4682,4681,4684]",[15826]
139,"ProxyKey140",597,"[4682,4681,4684]",[15944]
140,"ProxyKey141",587,"[4677,4678,4679,4680,4685,4686]","[16110,0]"
141,"ProxyKey142",588,"[4677,4678,4679,4680,4685,4686]","[16326,0]"
142,"ProxyKey143",589,"[4677,4678,4679,4680,4685,4686]","[16542,0]"
143,"ProxyKey144",590,"[4677,4678,4679,4680,4685,4686]","[16758,0]"
144,"ProxyKey145",591,"[4677,4678,4679,4680,4685,4686]","[16974,0]"
