"rownum","Id","WorldAreasKey","BaseItemTypesKeys","SocketColour"
0,"ProxyKey1",1368,[4796],"R_G_B"
1,"ProxyKey2",1368,[4903],"R_G_B"
2,"ProxyKey3",1368,[4572],"R_G_B"
3,"ProxyKey4",1368,[5075],"R_G_B"
4,"ProxyKey5",1368,[5036],"R_G_B"
5,"ProxyKey6",1368,[4768],"R_G_B"
6,"ProxyKey7",1368,[4740],"R_G_B"
7,"ProxyKey8",1368,[4687],"R_G_B"
8,"ProxyKey9",1368,[4598],"R_G_B"
9,"ProxyKey28",1368,[5472],""
10,"ProxyKey29",1368,[5495],""
11,"ProxyKey30",1368,[5134],"R_G_B"
12,"ProxyKey31",1368,[1],""
13,"ProxyKey32",1368,[1],""
14,"ProxyKey33",1368,[1],""
15,"ProxyKey34",1368,[1],""
16,"ProxyKey35",1368,[1],""
17,"ProxyKey10",1368,[5695],""
18,"ProxyKey11",1368,[5702],""
19,"ProxyKey12",1368,[5703],""
20,"ProxyKey13",1368,[5706],""
21,"ProxyKey14",1368,[5710],""
22,"ProxyKey15",1368,[5714],""
23,"ProxyKey16",1368,[5721],""
24,"ProxyKey17",1368,[5723],""
25,"ProxyKey18",1368,[5759],""
26,"ProxyKey19",1368,[5761],""
27,"ProxyKey20",1368,[5764],""
28,"ProxyKey21",1368,[5787],""
29,"ProxyKey22",1368,[5817],""
30,"ProxyKey23",1368,[5835],""
31,"ProxyKey24",1368,[5838],""
32,"ProxyKey25",1368,[5874],""
33,"ProxyKey26",1368,[5928],""
34,"ProxyKey27",1368,[5950],""
35,"ProxyKey36",1368,[5970],""
36,"ProxyKey37",1368,[5976],""
37,"ProxyKey38",1368,[5980],""
