"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]","i32","i32","i32"
0,74,"","","","","","","","","","","","",1846,3108,"","",3108,"","","","","",-1010710615,1,47,"[12327,12343]",0,1,700,1834,"","","",1846,3108,"",3108,3108,3108,3108,1846,1834,1846,1846,1846,1846,1834,1834,1834,1834,1834,1834,1834,12180,35,3108,3609,3609,3609,3108,"","","[12335,12343]",1905,1,100
1,75,"","","","","","","","","","","","",1847,3109,"","",3109,"","","","","",1794042691,12,67,"[12328,12343]",0,2,770,1835,"","","",1847,3109,"",3109,3109,3109,3109,1847,1835,1847,1847,1847,1847,1835,1835,1835,1835,1835,1835,1835,12181,45,3109,3610,3610,3610,3109,"","","[12336,12343]",1905,12,100
2,76,"","","","","","","","","","","","",1849,3110,"","",3110,"","","","","",-1926556014,30,100,"[12329,12343]",0,3,847,1837,"","","",1849,3110,"",3110,3110,3110,3110,1849,1837,1849,1849,1849,1849,1837,1837,1837,1837,1837,1837,1837,12182,60,3110,3611,3611,3611,3110,"","","[12337,12343]",1905,30,100
3,77,"","","","","","","","","","","","",1851,3111,"","",3111,"","","","","",1130285480,48,100,"[12330,12343]",0,4,931,1839,"","","",1851,3111,"",3111,3111,3111,3111,1851,1839,1851,1851,1851,1851,1839,1839,1839,1839,1839,1839,1839,12183,75,3111,3612,3612,3612,3111,"","","[12338,12343]",841,48,100
4,78,"","","","","","","","","","","","",1853,3113,"","",3113,"","","","","",2062300730,68,100,"[12331,12343]",0,5,1024,1841,"","","",1853,3113,"",3113,3113,3113,3113,1853,1841,1853,1853,1853,1853,1841,1841,1841,1841,1841,1841,1841,12184,0,3113,3613,3613,3613,3113,"",1,"[12339,12343]",56,68,100
5,79,"","","","","","","","","","","","",1854,3114,"","",3114,"","","","","",-2071586625,0,0,"[12332,12343]",0,6,0,1842,"","","",1854,3114,"",3114,3114,3114,3114,1854,1842,1854,1854,1854,1854,1842,1842,1842,1842,1842,1842,1842,12185,0,3114,3614,3614,3614,3114,"","","[12340,12343]",0,0,0
6,80,"","","","","","","","","","","","",1866,3115,"","",3115,"","","","","",1769493148,0,0,"[12333,12343]",0,7,0,1844,"","","",1866,3115,"",3115,3115,3115,3115,1866,1844,1866,1866,1866,1866,1844,1844,1844,1844,1844,1844,1844,12186,0,3115,3615,3615,3615,3115,"","","[12341,12343]",0,0,0
7,81,"","","","","","","","","","","","","",13328,1953,623,623,"","","","","",-777397213,1,47,[12327],1,1,700,"","",2290,2302,"",705,"",705,705,705,705,2302,2290,2302,2302,2302,2302,2290,2290,2290,2290,2290,2290,2290,12272,35,623,1953,623,"",705,"","",[12335],1905,1,100
8,82,"","","","","","","","","","","","","",13329,1954,624,624,"","","","","",1672586153,12,67,[12328],1,2,770,"","",2291,2303,"",706,"",706,706,706,706,2303,2291,2303,2303,2303,2303,2291,2291,2291,2291,2291,2291,2291,12273,45,624,1954,624,"",706,"","",[12336],1905,12,100
9,83,"","","","","","","","","","","","","",13334,1955,627,627,"","","","","",1828846209,30,100,[12329],1,3,847,"","",2292,2304,"",708,"",708,708,708,708,2304,2292,2304,2304,2304,2304,2292,2292,2292,2292,2292,2292,2292,12274,60,627,1955,627,"",708,"","",[12337],1905,30,100
10,84,"","","","","","","","","","","","","",13335,1956,629,629,722,722,"","",711,-1245983058,48,100,[12330],1,4,931,"","",2293,2305,"",710,"",710,710,722,722,2305,2293,2305,2305,2305,2305,2293,2293,2293,2293,2293,2293,2293,12275,75,629,1956,629,"",711,"","",[12338],841,48,100
11,85,"","","","","","","","","","","","","",13331,1957,630,630,"","",712,726,719,-182539987,68,100,[12331],1,5,1024,"","",2298,2310,"",723,"",726,712,723,723,2310,2298,2310,2310,2310,2310,2298,2298,2298,2298,2298,2298,2298,12276,0,630,1957,630,"",719,"",1,[12339],56,68,100
12,86,"","","","","","","","","","","","","",13332,1963,632,631,"","",714,727,720,910335598,0,0,[12332],1,6,0,"","",2299,2311,"",724,"",727,714,724,724,2311,2299,2311,2311,2311,2311,2299,2299,2299,2299,2299,2299,2299,12277,0,631,1963,632,"",720,"","",[12340],0,0,0
13,87,"","","","","","","","","","","","","",13333,1964,633,632,"","",718,728,721,1591416724,0,0,[12333],1,7,0,"","",2300,2312,"",725,"",728,718,725,725,2312,2300,2312,2312,2312,2312,2300,2300,2300,2300,2300,2300,2300,12278,0,632,1964,633,"",721,"","",[12341],0,0,0
14,88,"","","","","","","","","","","","","",1013,"","",4615,"","","","","",1724552963,1,47,[12327],2,1,700,9258,"","","","",303,"",303,303,303,303,9258,9258,9258,9258,9258,9258,9258,9258,9258,9258,9258,9258,9258,12265,35,4615,2846,2846,2846,303,"","",[12335],1905,1,100
15,89,"","","","","","","","","","","","","",1014,"","",4616,"","","","","",-1337235593,12,67,[12328],2,2,770,9259,"","","","",304,"",304,304,304,304,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,12266,45,4616,2847,2847,2847,304,"","",[12336],1905,12,100
16,90,"","","","","","","","","","","","","",1015,"","",4617,"","","","","",1334812465,30,100,[12329],2,3,847,9260,"","","","",305,"",305,305,305,305,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,12267,60,4617,2848,2848,2848,305,"","",[12337],1905,30,100
17,91,"","","","","","","","","","","","","",1016,"","",4618,296,296,"","","",-669856137,48,100,[12330],2,4,931,9261,"","","","",297,"",297,297,296,296,9261,9261,9261,9261,9261,9261,9261,9261,9261,9261,9261,9261,9261,12268,75,4618,2849,2849,2849,297,"","",[12338],841,48,100
18,92,"","","","","","","","","","","","","",1017,"","",4619,"","",299,298,299,181619222,68,100,[12331],2,5,1024,9262,"","","","",297,"",298,299,297,297,9262,9262,9262,9262,9262,9262,9262,9262,9262,9262,9262,9262,9262,12269,0,4619,2850,2850,2850,299,"",1,[12339],56,68,100
19,93,"","","","","","","","","","","","","",1018,"","",4620,"","",301,299,300,2059925248,0,0,[12332],2,6,0,9263,"","","","",298,"",299,301,298,298,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,12270,0,4620,2851,2851,2851,300,"","",[12340],0,0,0
20,94,"","","","","","","","","","","","","",1019,"","",4621,"","",306,308,307,-1356244188,0,0,[12333],2,7,0,9264,"","","","",309,"",308,306,309,309,9264,9264,9264,9264,9264,9264,9264,9264,9264,9264,9264,9264,9264,12271,0,4621,2852,2852,2852,307,"","",[12341],0,0,0
21,95,"","","","","","","","","","","","","",729,"","",4694,729,4694,4694,4694,4694,1018082169,1,47,[12327],3,1,700,"","",1311,1322,"",4694,"",4694,4694,4694,729,1322,1311,1322,1322,1322,1322,1311,1311,1311,1311,1311,1311,1311,12240,35,4694,729,729,729,4694,"","",[12335],1905,1,100
22,96,"","","","","","","","","","","","","",730,"","",4695,730,4695,4695,4695,4695,829889309,12,67,[12328],3,2,770,"","",1312,1323,"",4695,"",4695,4695,4695,730,1323,1312,1323,1323,1323,1323,1312,1312,1312,1312,1312,1312,1312,12241,45,4695,730,730,730,4695,"","",[12336],1905,12,100
23,97,"","","","","","","","","","","","","",732,"","",4696,731,4696,4696,4696,4696,2051179612,30,100,[12329],3,3,847,"","",1313,1324,"",4696,"",4696,4696,4696,731,1324,1313,1324,1324,1324,1324,1313,1313,1313,1313,1313,1313,1313,12242,60,4696,732,732,732,4696,"","",[12337],1905,30,100
24,98,"","","","","","","","","","","","","",734,734,733,4697,751,4697,4697,4697,4697,-743698363,48,100,[12330],3,4,931,"","",1314,1325,"",4697,"",4697,4697,4697,751,1325,1314,1325,1325,1325,1325,1314,1314,1314,1314,1314,1314,1314,12243,75,4697,734,733,"",4697,"","",[12338],841,48,100
25,99,"","","","","","","","","","","","","",736,736,748,4698,752,4698,4698,4698,4698,-205989316,68,100,"[12331,12247]",3,5,1024,"","",1316,1327,"",4698,"",4698,4698,4698,752,1327,1316,1327,1327,1327,1327,1316,1316,1316,1316,1316,1316,1316,12244,0,4698,736,748,"",4698,"",1,"[12339,12247]",56,68,100
26,100,"","","","","","","","","","","","","",737,737,749,4699,753,4699,4699,4699,4699,-1738015661,0,0,"[12332,12247]",3,6,0,"","",1317,1328,"",4699,"",4699,4699,4699,753,1328,1317,1328,1328,1328,1328,1317,1317,1317,1317,1317,1317,1317,12245,0,4699,737,749,"",4699,"","","[12340,12247]",0,0,0
27,101,"","","","","","","","","","","","","",747,747,750,4700,754,4700,4700,4700,4700,1330507188,0,0,"[12333,12247]",3,7,0,"","",1321,1332,"",4700,"",4700,4700,4700,754,1332,1321,1332,1332,1332,1332,1321,1321,1321,1321,1321,1321,1321,12246,0,4700,747,750,"",4700,"","","[12341,12247]",0,0,0
28,102,"","","","","","","","","","","","","",80,"","","","","","","","",535092733,12,67,"[12328,12343]",4,2,669,"","",8562,8568,"",80,"",80,80,80,80,8568,8562,8568,8568,8568,8568,8562,8562,8562,8562,8562,8562,8562,12234,45,80,80,80,80,80,80,"","[12336,12343]",1657,12,100
29,103,"","","","","","","","","","","","","",81,"","","","","","","","",-267836319,30,100,"[12329,12343]",4,3,736,"","",8563,8569,"",81,"",81,81,81,81,8569,8563,8569,8569,8569,8569,8563,8563,8563,8563,8563,8563,8563,12235,60,81,81,81,81,81,81,"","[12337,12343]",1657,30,100
30,104,"","","","","","","","","","","","","",83,"","","","","","","","",-880120152,48,100,"[12330,12343]",4,4,810,"","",8564,8570,"",83,"",83,83,83,83,8570,8564,8570,8570,8570,8570,8564,8564,8564,8564,8564,8564,8564,12236,75,83,83,83,83,83,83,"","[12338,12343]",731,48,100
31,105,"","","","","","","","","","","","","",84,"","","","","","","","",1066624914,68,100,"[12331,12343]",4,5,891,"","",8565,8571,"",84,"",84,84,84,84,8571,8565,8571,8571,8571,8571,8565,8565,8565,8565,8565,8565,8565,12237,0,84,84,84,84,84,84,1,"[12339,12343]",49,68,100
32,106,"","","","","","","","","","","","","",86,"","","","","","","","",993214565,0,0,"[12332,12343]",4,6,0,"","",8566,8572,"",86,"",86,86,86,86,8572,8566,8572,8572,8572,8572,8566,8566,8566,8566,8566,8566,8566,12238,0,86,86,86,86,86,86,"","[12340,12343]",0,0,0
33,107,"","","","","","","","","","","","","",89,"","","","","","","","",-558420537,0,0,"[12333,12343]",4,7,0,"","",8567,8573,"",89,"",89,89,89,89,8573,8567,8573,8573,8573,8573,8567,8567,8567,8567,8567,8567,8567,12239,0,89,89,89,89,89,89,"","[12341,12343]",0,0,0
34,108,"","","","","","","","","","","","",1793,3038,"","",3038,"","","","","",-36091224,12,67,"[12328,12345]",5,2,669,1781,"","","",1793,3038,"",3038,3038,3038,3038,1793,1781,1793,1793,1793,1793,1781,1781,1781,1781,1781,1781,1781,12174,45,3038,3572,3572,3572,3038,"","","[12336,12345]",1657,12,100
