"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool"
0,"Disabled","[7003,7004,7005,7006]",0,"",0,"",1,"","","",[],""
1,"Atziri1","[6931,6932,6933,6934]",754,24,0,"",0,"","","",[],""
2,"Atziri2","[6936,6937,6938,6939]",755,24,0,"",0,"","","",[],""
3,"VaalFragment1_1",[6931],1501,"",72,"",0,"","","",[],1
4,"VaalFragment1_2",[6932],1501,"",70,"",0,"","","",[],1
5,"VaalFragment1_3",[6933],1501,"",71,"",0,"","","",[],1
6,"VaalFragment1_4",[6934],1501,"",69,"",0,"","","",[],1
7,"VaalFragment2_1",[6936],1501,"",74,"",0,"","","",[],1
8,"VaalFragment2_2",[6937],1501,"",76,"",0,"","","",[],1
9,"VaalFragment2_3",[6938],1501,"",75,"",0,"","","",[],1
10,"VaalFragment2_4",[6939],1501,"",73,"",0,"","","",[],1
11,"Disabled2","[6941,6942,6943,6944]",0,"",0,"",0,"","","",[],""
12,"ShapersRealm","[6946,6947,6948,6949]",1247,20,0,"",0,"",1,"",[],""
13,"EldersRealm","[6951,6952,6953,6954]",1280,108,0,"",0,"",1,"",[],""
14,"UberEldersRealm","[6956,6957,6958,6959]",1281,20,0,"",0,"",1,"",[],""
15,"BreachDomainFire",[6967],1061,"",0,"",0,"","","",[],""
16,"BreachDomainCold",[6968],1062,"",0,"",0,"","","",[],""
17,"BreachDomainLightning",[6969],1063,"",0,"",0,"","","",[],""
18,"BreachDomainPhysical",[6970],1059,"",0,"",0,"","","",[],""
19,"BreachDomainChaos",[6971],1060,"",0,"",0,"","","",[],""
20,"ClassicVault",[7007],276,27,0,"",0,"","","",[],""
21,"MaligaroMap",[5644],107,"",0,1282,0,"","","",[],""
22,"340Vault",[7008],277,27,0,"",0,"","","",[],""
23,"UberVenariusVault",[7010],279,27,0,"",0,"","","",[],""
24,"UberEaterOfWorldsVault",[7011],280,27,0,"",0,"","","",[],""
25,"UberMavenVault",[7012],281,27,0,"",0,"","","",[],""
26,"UberSearingExarchVault",[7013],282,27,0,"",0,"","","",[],""
27,"UberSirusVault",[7014],283,27,0,"",0,"","","",[],""
28,"UberShaperVault",[7015],284,27,0,"",0,"","","",[],""
29,"UberUberElderVault",[7016],285,27,0,"",0,"","","",[],""
30,"CelestialReliquaryVault",[7017],286,"",0,"",0,"","","",[],""
31,"BreachDomainFire2",[6972],1066,"",0,"",0,"","","",[],""
32,"BreachDomainCold2",[6973],1067,"",0,"",0,"","","",[],""
33,"BreachDomainLightning2",[6974],1068,"",0,"",0,"","","",[],""
34,"BreachDomainPhysical2",[6975],1064,"",0,"",0,"","","",[],""
35,"BreachDomainChaos2",[6976],1065,"",0,"",0,"","","",[],""
36,"BreachDomainFire3",[6977],1071,"",0,"",0,"","","",[],""
37,"BreachDomainCold3",[6978],1072,"",0,"",0,"","","",[],""
38,"BreachDomainLightning3",[6979],1073,"",0,"",0,"","","",[],""
39,"BreachDomainPhysical3",[6980],1069,"",0,"",0,"","","",[],""
40,"BreachDomainChaos3",[6981],1070,"",0,"",0,"","","",[],""
41,"BreachDomainFire4",[6982],1076,"",0,"",0,"","","",[],""
42,"BreachDomainCold4",[6983],1077,"",0,"",0,"","","",[],""
43,"BreachDomainLightning4",[6984],1078,"",0,"",0,"","","",[],""
44,"BreachDomainPhysical4",[6985],1074,"",0,"",0,"","","",[],""
45,"BreachDomainChaos4",[6986],1075,"",0,"",0,"","","",[],""
46,"BreachDomainFire5",[6987],1081,"",0,"",0,"","","",[],""
47,"BreachDomainCold5",[6988],1082,"",0,"",0,"","","",[],""
48,"BreachDomainLightning5",[6989],1083,"",0,"",0,"","","",[],""
49,"BreachDomainPhysical5",[6990],1079,"",0,"",0,"","","",[],""
50,"BreachDomainChaos5",[6991],1080,"",0,"",0,"","","",[],""
51,"EndgameLegionMap","[6992,6994,6995,6996,6993,6997,6998,6999,7000,7001]",1295,86,0,"",2,1,"","",[],""
52,"EndgameLegionMap2","[6992,6994,6995,6996,6993,6997,6998,6999,7000,7001]",1296,86,0,"",3,1,"","",[],""
53,"EndgameLegionMap3","[6992,6994,6995,6996,6993,6997,6998,6999,7000,7001]",1297,86,0,"",4,1,"","",[],""
54,"EndgameLegionMap4","[6992,6994,6995,6996,6993,6997,6998,6999,7000,7001]",1298,86,0,"",5,1,"","",[],""
55,"AfflictionBoss",[7002],1502,122,0,"",0,"","","",[],""
56,"MavenFight","[9338,9339,9340,9341,9342,9343,9344,9345,9346,9347,9348]",1727,157,0,"",1,1,"",1,[],""
57,"MavenBoss",[9389],1728,157,0,"",0,1,"",1,[],""
58,"VaalVault",[7009],278,24,0,"",0,"","","",[],""
59,"IncursionTemple",[9415],293,50,0,"",0,"","","",[8347],""
