"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1304,1,"","",112,108,49,"",""
1,326,"[341,325]",1305,2,"","",606,110,49,"",""
2,339,"[24,226,338]",1301,3,"",242,1280,11,49,1,""
3,334,"[329,332]",1306,4,"","",68,111,49,"",76
4,337,[335],1307,5,"","",592,118,49,"",87
5,393,"[391,392]",1308,13,"","",372,122,49,"",""
6,397,[394],1309,14,"","",660,123,49,"",""
7,408,[406],1310,15,"","",353,106,49,"",15
8,507,[507],1311,21,"","",1092,"",49,1,""
9,516,[508],1312,22,"","",1093,"",49,1,""
10,517,[509],1313,23,"","",1094,"",49,1,""
11,518,[510],1314,24,"","",1095,"",49,1,""
12,526,"[524,525]",1315,26,"","",1155,"",41,1,""
13,528,"[189,295,310,311]",1316,0,"","",1163,73,49,1,""
