"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"None",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"MapEndlessLedge",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Descent",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Labyrinth",5,30,20,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0
4,"LabyrinthBoss",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"LabyrinthBossEnd",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"SideAreaEarly",5,0,0,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
7,"SideArea",5,10,0,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
8,"1_1_2",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0
9,"1_1_2a",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"1_1_3",0,0,0,4,0,240,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0
11,"1_1_3a",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"1_1_4_0",0,0,0,4,0,320,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0
13,"1_1_4_1",0,0,0,4,0,320,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0
