"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]","rid","[rid]","bool","bool","bool","bool"
0,"Metadata/Pet/Kiwi/Basic",4179,37988,-398558118,8,"","",[1],27,[],"","","",""
1,"Metadata/Pet/Kiwi/Bronze",4180,44438,774276016,8,"","",[1],27,[],"","","",""
2,"Metadata/Pet/Kiwi/Silver",4181,42132,-80846918,8,"","",[1],27,[],"","","",""
3,"Metadata/Pet/Kiwi/Gold",4182,60474,1808500721,8,"","",[1],27,[],"","","",""
4,"Metadata/Pet/Kiwi/Diamond",4183,18975,235029533,9,"","",[1],27,[],"","","",""
5,"Metadata/Pet/Basilisk/Green",4156,61895,-1091154127,8,"","",[1],86,[],"","","",""
6,"Metadata/Pet/Basilisk/Infernal",4157,36008,237863557,8,"","",[1],75,[],"","","",""
7,"Metadata/Pet/Basilisk/Spectral",4158,17172,1286475706,8,"","",[1],86,[],"","","",""
8,"Metadata/Pet/Frog/Blue",4159,37577,1910039313,8,"","",[1],86,[],"","","",""
9,"Metadata/Pet/Frog/BlueCrown",4160,48394,1576132859,8,"","",[1],86,[],"","","",""
10,"Metadata/Pet/Frog/Green",4161,58853,1150919036,8,"","",[1],86,[],"","","",""
11,"Metadata/Pet/Frog/GreenCrown",4162,38190,-1138087676,8,"","",[1],86,[],"","","",""
12,"Metadata/Pet/Frog/Red",4163,47577,-1986187196,8,"","",[1],86,[],"","","",""
13,"Metadata/Pet/Frog/RedCrown",4164,46175,1589963419,8,"","",[1],86,[],"","","",""
14,"Metadata/Pet/Frog/Mysterious",4165,45262,-943687922,8,"","",[1],86,[],"","","",""
15,"Metadata/Pet/Scorpion/Black",4166,37381,-296518570,8,"","",[1],60,[],"","","",""
16,"Metadata/Pet/Scorpion/Chrome",4167,20859,386156159,8,"","",[1],86,[],"","","",""
17,"Metadata/Pet/Scorpion/Purple",4168,13085,1481075546,8,"","",[1],86,[],"","","",""
18,"Metadata/Pet/Scorpion/Red",4169,29389,-2141064532,8,"","",[1],86,[],"","","",""
19,"Metadata/Pet/Scorpion/White",4170,41999,784698058,8,"","",[1],86,[],"","","",""
20,"Metadata/Pet/Scorpion/Yellow",4171,20903,465717861,8,"","",[1],86,[],"","","",""
21,"Metadata/Pet/Weta/Basic",4175,33343,1722344599,8,"","",[1],86,[],"","","",""
22,"Metadata/Pet/Weta/Colossal",4176,12979,1519151167,8,"","",[1],86,[],"","","",""
23,"Metadata/Pet/Weta/Giant",4177,29172,1896349948,8,"","",[1],86,[],"","","",""
24,"Metadata/Pet/Scorpion/fire_upgrade",4172,30851,493774317,8,"","",[1],75,[],"","","",""
25,"Metadata/Pet/Scorpion/acid_upgrade",4173,37150,501714169,8,"","",[1],1,[],"","","",""
26,"Metadata/Pet/Scorpion/Light_upgrade",4174,5815,-902046580,8,"","",[1],82,[],"","","",""
27,"Metadata/Pet/Weta/Blood",4178,58150,-1362539025,8,"","",[1],63,[],"","","",""
28,"Metadata/Pet/Kiwi/Albino",4184,27785,495546624,8,"","",[1],27,[],"","","",""
29,"Metadata/Pet/BabyRhoa/babyrhoa",4185,26930,-1705315480,8,"","",[1],89,[],"","","",""
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",4186,17929,55199043,8,"","",[1],89,[],"","","",""
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",4187,25177,-1157441189,8,"","",[1],89,[],"","","",""
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",4188,14091,-1647793469,8,"","",[1],89,[],"","","",""
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",4189,27061,-1667107564,9,"","",[1],89,[],"","","",""
34,"Metadata/Pet/Ferret/Ferret",4190,23993,-1027825915,8,"","",[1],86,[],"","","",""
35,"Metadata/Pet/Cat/Black",4191,45791,424651664,8,"","",[1],60,[],"","","",""
36,"Metadata/Pet/DemonHand/Basic",4192,44454,-915315497,8,"","",[1],38,[],"","","",""
37,"Metadata/Pet/Fox/infernal_fox/Infernal",4193,28741,-177240790,9,"","",[1],75,[],"","","",""
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",4194,63077,1760403080,8,"","",[1],82,[],"","","",""
39,"Metadata/Pet/Garena/Garena",4195,21065,1776958371,8,"","",[1],86,[],"","","",""
40,"Metadata/Pet/BellLizard/BellLizard",4196,38215,-1052814216,8,"","",[1],86,[],"","","",""
41,"Metadata/Pet/Lion/Demon/DemonLion",4197,61331,2043582045,11,"","",[1],86,[],"","","",""
42,"Metadata/Pet/Lion/Gem/GemLion",4198,51436,92786027,11,"","",[1],86,[],"","","",""
43,"Metadata/Pet/Cobra/Cobra",4199,37676,2142825620,8,"","",[1],86,[],"","","",""
