"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19645,0,11,100,1,6,1,1
1,19646,0,50,100,3,6,1,1
2,19697,0,11,100,1,6,1,1
3,19701,0,11,100,1,6,1,1
4,19702,0,11,100,1,6,1,1
5,19703,0,11,100,1,6,1,1
6,19704,0,11,100,1,6,1,1
7,19709,0,11,100,1,6,1,1
8,19712,150,11,100,1,3,1,1
9,19713,150,25,100,4,5,1,1
10,19714,75,68,100,6,7,1,1
11,19715,150,11,100,1,3,1,1
12,19716,150,25,100,4,5,1,1
13,19717,75,68,100,6,7,1,1
14,19718,150,11,100,1,3,1,1
15,19719,150,25,100,4,5,1,1
16,19720,75,68,100,6,7,1,1
17,19711,75,68,100,3,6,1,1
18,19721,150,40,100,1,3,1,1
19,19722,75,68,100,4,5,1,1
20,19710,37,68,100,6,7,1,1
21,19699,0,11,100,1,3,1,1
22,19723,0,25,100,4,5,1,1
23,19724,0,68,100,6,7,1,1
24,19725,0,68,100,6,7,1,1
25,19705,0,11,100,1,3,1,1
26,19726,0,25,100,4,5,1,1
27,19727,0,68,100,6,7,1,1
28,19700,150,11,100,1,3,1,1
29,19728,75,40,100,4,5,1,1
30,19729,37,68,100,6,7,1,1
31,19706,150,11,100,1,6,1,1
32,19707,75,68,100,4,7,1,1
33,19730,150,68,100,3,7,1,1
