"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,7183,0,0,0,[3045],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7184,0,0,0,[3046],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7185,0,0,0,[3045],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7186,0,0,0,[3046],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7187,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7195,0,1,0,[3045],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7197,0,1,1,[3049],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7199,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7203,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7205,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7209,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7210,2,0,0,[3050],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7213,2,1,1,[3053],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7215,2,1,0,[3052],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7219,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7221,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7223,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7228,3,0,0,[3058],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7230,3,0,0,[3058],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7235,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7236,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7238,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7243,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7245,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7248,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7247
25,7251,4,0,0,[3056],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7252,4,0,0,[3056],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7253,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7260,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7261,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7266,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7268,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7270,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7272,1,0,0,[3060],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7273,1,0,0,[3060],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7274,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7281,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7284,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7287,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7289,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7292,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7294,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7296,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7188,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7189,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7190,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7191,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7192,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7200,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7201,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7202,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,7211,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7217,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7218,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7232,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7233,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7240,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7241,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
