"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","i32","i32","i32"
0,8259,0,[3],[6238],"",0,1,-30,0,150,800
1,8259,1,[1],"[6243,9647]","",0,1,-30,0,150,800
2,8262,0,[1],[],"",0,1,0,0,150,800
3,8264,0,"[1,3]","[6242,9647]","",0,1,-30,0,150,800
4,8266,0,"[1,3]","[6220,9647]","",0,1,-30,0,150,800
5,8268,0,[2],[1632],"",10,1,-15,0,150,800
6,8270,0,[2],[6225],"",10,1,10,0,150,800
7,8272,0,"[3,1]",[6239],"",0,1,-30,0,150,800
8,8274,0,"[1,3]","[6220,9647]","",0,1,-30,0,150,800
9,8276,0,[2],"[6225,1636]","",10,1,10,0,150,800
10,8278,0,"[3,1]",[6239],"",0,1,-30,0,150,800
11,8279,0,"[1,3]","[6220,9647]","",0,1,-30,0,150,800
12,8280,0,[2],"[6225,1636]","",10,1,10,0,150,800
13,8281,0,"[3,1]",[6240],"",0,1,-30,0,150,800
14,8282,0,"[1,3]",[6220],"",0,1,-30,0,150,800
15,8325,0,"[3,1]","[6273,9647]","",0,1,-30,0,150,800
16,8327,0,[3],"[6274,9647]","",0,1,-30,0,150,800
17,8327,1,[1],[],"",0,1,-30,0,150,800
18,8329,0,"[1,3]","[6275,9647]","",0,1,-30,0,150,800
19,8331,0,"[1,3]","[6276,9647]","",0,1,-30,0,150,800
20,8333,0,[2],[6900],"",10,1,-15,0,150,800
21,8335,0,[2],[3928],"",10,1,10,0,150,800
22,8337,0,[2],[],8276,10,1,5,0,150,800
23,8339,0,"[3,1]","[6273,9647]","",0,1,-30,0,150,800
24,8340,0,[3],"[6274,9647]","",0,1,-30,0,150,800
25,8340,1,[1],[],"",0,1,-30,0,150,800
26,8341,0,"[1,3]","[6275,9647]","",0,1,-30,0,150,800
27,8342,0,"[1,3]","[6276,9647]","",0,1,-30,0,150,800
28,8344,0,[2],[6900],"",10,1,-15,0,150,800
29,8345,0,[2],[3928],"",10,1,10,0,150,800
30,8346,0,[2],[],8276,10,1,5,0,150,800
31,8347,0,[3],"[6274,9647]","",0,1,-30,0,150,800
32,8347,1,[1],[],"",0,1,-30,0,150,800
33,8349,0,"[1,3]","[6276,9647]","",0,1,-30,0,150,800
34,8351,0,"[3,1]",[6277],"",0,1,-15,0,150,800
35,8353,0,[2],[3928],"",10,1,10,0,150,800
36,8355,0,[3],"[6274,9647]","",0,1,-30,0,150,800
37,8355,1,[1],[],"",0,1,-30,0,150,800
38,8356,0,"[1,3]","[6276,9647]","",0,1,-30,0,150,800
39,8357,0,"[3,1]",[6277],"",0,1,-15,0,150,800
40,8358,0,[2],[3928],"",0,1,10,0,150,800
41,8359,0,"[3,1]",[6278],"",0,1,-30,0,150,800
42,8360,0,[2],[3929],"",10,1,10,0,150,800
43,8286,0,[2],[9656],"",0,1,0,0,150,800
44,8292,0,[1],[6916],"",0,1,0,0,150,800
45,8294,0,[1],[6916],"",0,1,0,0,150,800
46,8296,0,[1],[6916],"",0,1,0,0,150,800
47,8299,0,[1],[6916],"",0,1,0,0,150,800
48,8301,1,[2],[587],"",0,1,0,0,150,800
49,8304,0,[1],[6916],"",0,1,0,0,150,800
50,8323,0,[1],[6916],"",0,1,0,0,150,800
51,8289,0,[1],[6916],"",0,1,0,0,150,800
52,8290,0,[1],[6916],"",0,1,0,0,150,800
53,8305,0,[2],[8275],"",0,1,15,0,150,800
54,8306,0,[2],[8275],"",0,1,15,0,150,800
55,8307,0,[2],[8275],"",0,1,15,0,150,800
56,8309,0,[2],[8273],"",0,1,15,0,150,800
57,8311,0,[2],[8273],"",0,1,15,0,150,800
58,8312,0,[2],[8273],"",0,1,15,0,150,800
59,8314,0,[2],[],"",0,1,0,0,150,800
60,8315,0,[2],[],"",0,1,0,0,150,800
61,8316,0,[2],[],"",0,1,0,0,150,800
62,8318,0,[2],[6308],"",5,1,-30,0,150,800
63,8319,0,[2],[6308],"",5,1,-30,0,150,800
64,8320,0,[2],[6308],"",5,1,-30,0,150,800
65,8371,0,[3],[],"",0,1,0,1,150,800
66,8374,0,[1],[],"",0,1,0,1,150,800
67,8375,0,[1],[],"",0,1,0,1,150,800
68,8378,0,[2],[6293],"",0,1,-30,0,150,800
69,8380,0,[2],[6911],"",0,1,-30,0,150,800
