"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","rid","i32","WitnessAreas","i32","rid","bool","[rid]","Achievements1","Achievements2"
0,"Void1",4,83,974,4,9338,225,0,2333,1100,"[1244,1246,1245,1243]",1280,2297,1,[],[8796],[9245]
1,"Void2",4,83,975,4,9339,225,0,2333,1101,"[1732,1731,1729,1730]",1280,2298,1,[],[8797],[9246]
2,"Void3",4,83,976,4,9340,225,0,2333,1102,"[455,453,452,454]",1280,2299,1,[],[8798],[9247]
3,"Void4",4,83,977,4,9341,225,0,2333,1103,"[1074,1076,1077,1078]",1280,2300,1,[],[8799],[9248]
4,"Void5",5,83,978,5,9342,225,0,2333,1104,"[451,1075,755,1247,1280]",1280,2348,1,[],[8800],[9249]
5,"Void6",4,83,1162,4,9343,225,0,2333,1161,"[1733,1734,1735,1736]",1280,2350,1,[],[8801],[9250]
6,"Atlas1",3,73,979,2,9344,225,6,2334,1019,[],1280,2301,"",[],[],[]
7,"Atlas2",4,75,980,2,9345,979,8,2334,1019,[],1280,2302,"",[],[],[]
8,"Atlas3",5,78,981,3,9346,980,10,2334,1019,[],1280,2303,"",[],[],[]
9,"Atlas4",6,80,982,3,9347,981,12,2334,1019,[],1280,2304,"",[],[],[]
10,"Atlas5",10,83,983,10,9348,982,14,2334,1019,[],1084,2349,"",[],[],[]
