"rownum","string","[rid]","[i32]","rid","rid","i32","bool","i32","bool"
0,"CultistSpiritWeapon",[16772],[1],179,40,1,1,16777216,""
1,"MercenarySpiritWeapon",[16773],[1],180,40,1,1,16777216,""
2,"PyromaniacSpiritWeapon",[16774],[1],181,40,1,1,16777216,""
3,"TemplarZealotSpiritWeapon",[16775],[1],182,40,1,1,16777216,""
4,"PredatoryFarrulsFurApparition",[16840],[1],183,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[16848],[1],184,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[16849],[1],185,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[16850],[1],186,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[17306],[1],194,4,2,1,0,""
9,"VentorsGambleBoxCars",[17361],[1],195,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[17361],[1],196,3,2,1,16777216,1
