"rownum","IncursionRoomsKey","IncursionChestsKeys","ChestMarkerMetadata","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,27,"[0,2,5,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,1,0,178,0,2,2,1,1
1,49,"[1,2,3,5,8,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,2,0,290,0,4,4,2,2
2,71,"[2,3,4,5,6,7,8,9,11,12]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,3,0,482,0,7,7,3,3
3,26,"[52,56,57]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,1,0,676,0,1,1,1,1
4,48,"[52,53,56,57]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,2,0,756,0,2,2,2,2
5,70,"[52,53,54,55,56,57]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,3,0,884,0,3,3,3,3
6,28,"[30,31,36,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,1,0,1118,0,3,3,1,1
7,50,"[30,31,32,34,35,36,37,39,40,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,2,0,1310,0,5,5,2,2
8,72,"[30,31,32,33,34,35,36,37,38,39,40,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,3,0,1550,0,8,8,3,3
9,22,"[58,61,64,67,70,71]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,1,0,1796,0,2,2,2,2
10,44,"[58,60,61,62,64,65,66,67,68,70,71]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,2,0,1988,0,4,4,3,3
11,66,"[58,59,60,61,62,63,64,65,66,67,68,69,70,71]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,3,0,2244,0,6,6,5,5
12,23,"[72,74,76,81,84]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,1,0,2474,0,2,2,2,2
13,45,"[72,74,75,76,77,79,80,81,82,84]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,2,0,2650,0,4,4,3,3
14,67,"[72,73,74,75,76,77,78,79,80,81,82,83,84]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,3,0,2890,0,6,6,5,5
15,17,"[43,47,48,50]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,1,0,3100,0,1,1,1,1
16,39,"[43,44,46,47,48,50]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,2,0,3212,0,2,2,2,2
17,61,"[43,44,45,46,47,48,49,50,51]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,3,0,3388,0,3,3,3,3
18,19,"[15,18,20,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,1,0,3682,0,3,3,2,2
19,41,"[14,16,18,20,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,2,0,3858,0,5,5,3,3
20,63,"[13,16,17,18,19,20,21,22,23,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,4,0,4130,0,8,8,5,5
21,92,"[85,86,87,88,89,90,91,92,93]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,4446,0,2,2,1,1
22,93,"[88,89,90,91,92,93,94,95]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,4798,0,4,4,2,2
23,94,"[92,93,94,95,96,97,98,99,100,101,102,103,104,105]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,5246,0,6,6,4,4
24,76,[106],"Metadata/Chests/IncursionChests/BossMinionChestMarker",681934949,1,0,5596,0,0,0,0,0
25,77,[107],"Metadata/Chests/IncursionChests/BossFireChestMarker",681289249,1,0,5734,0,0,0,0,0
26,78,[108],"Metadata/Chests/IncursionChests/BossLightningChestMarker",-810707695,1,0,5882,0,0,0,0,0
27,57,[109],"Metadata/Chests/IncursionChests/PoisonChestMarker",-359991825,1,0,6016,0,0,0,0,0
28,60,[110],"Metadata/Chests/IncursionChests/TrapChestMarker",1832981499,1,0,6146,0,0,0,0,0
29,75,[111],"Metadata/Chests/IncursionChests/HealingChestMarker",-1124975487,1,0,6282,0,0,0,0,0
30,59,[112],"Metadata/Chests/IncursionChests/StormChestMarker",-513554431,0,0,6414,0,0,0,0,0
31,21,[113],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6540,0,0,0,0,0
32,43,[113],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6556,0,0,0,0,0
33,65,[113],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6572,0,0,0,0,0
34,47,[114],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0,6690,0,0,0,0,0
35,69,[114],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0,6706,0,0,0,0,0
