"rownum","rid","[i32]","rid","i32","rid"
0,3798,"[0,10000,500000,2000000]",16274,52,""
1,3806,"[0,150,500,1000,1500]",572,52,573
2,3805,"[0,150,500,1000,1500]",575,52,576
3,3869,"[74,75]",306,52,146
4,3868,"[74,75]",307,52,144
5,3870,"[74,75]",308,52,148
6,3871,"[74,75]",16186,52,141
7,3810,"[0,25,50,100,200,250,325]",242,52,177
8,3811,"[0,25,50,100,200,250,325]",242,52,177
9,3812,"[0,25,50,100,200,250,325]",242,52,177
10,3813,"[0,25,50,100,200,250,325]",242,52,177
11,3814,"[0,25,50,100,200,250,325]",242,52,177
12,3824,"[0,1,3,7,13,25,30]",16342,52,""
13,3825,"[0,1,3,7,13,25,30]",16342,52,""
14,3826,"[0,1,3,7,13,25,30]",16342,52,""
15,3827,"[0,1,3,7,13,25,30]",16342,52,""
16,3828,"[0,1,3,7,13,25,30]",16342,52,""
17,3815,"[0,20,30]",16340,52,""
18,3816,"[0,20,30]",16340,52,""
19,3817,"[0,20,30]",16340,52,""
20,3818,"[0,20,30]",16340,52,""
21,3840,"[0,1,3,5,7,9,11,12]",16418,52,""
22,3841,"[0,1,3,5,7,9,11,12]",16418,52,""
23,3842,"[0,1,3,5,7,9,11,12]",16418,52,""
24,3843,"[0,1,3,5,7,9,11,12]",16418,52,""
25,3860,"[0,1,5,10]",16394,52,""
26,3861,"[0,1,5,10]",16394,52,""
27,3862,"[0,1,5,10]",16394,52,""
28,3863,"[0,1,5,10]",16394,52,""
29,3836,"[0,20,40,60,80,90,100]",0,52,""
30,3837,"[0,20,40,60,80,90,100]",0,52,""
31,3838,"[0,20,40,60,80,90,100]",0,52,""
32,3839,"[0,20,40,60,80,90,100]",0,52,""
33,3852,"[0,1,3,5,7,9,11,13]",2651,52,8454
34,3853,"[0,1,3,5,7,9,11,13]",2651,52,8454
35,3854,"[0,1,3,5,7,9,11,13]",2651,52,8454
36,3855,"[0,1,3,5,7,9,11,13]",2651,52,8454
37,3789,"[0,1,10,15,20,25]",16173,52,""
38,3819,"[0,50,100,150,200,250,300,350]",572,52,573
39,3820,"[0,50,100,150,200,250,300,350]",578,52,579
40,3821,"[0,50,100,150,200,250,300,350]",575,52,576
41,3822,"[0,100,200,300,400,500,600,700]",16951,52,605
42,3823,"[0,50,100,150,200,250,300,350]",15423,52,17316
43,3964,"[0,50,100,150,200]",779,52,153
44,3963,"[0,50,100,150,200]",779,52,153
45,3962,"[0,50,100,150,200]",779,52,153
46,3965,"[0,50,100,150,200]",779,52,153
47,4418,"[0,10,20,30,40,50,60]",16183,52,""
48,3790,"[0,12,20,29]",16819,48,""
49,3791,"[0,14,22,32]",16819,48,""
50,3795,"[0,16,24,35]",16819,48,""
51,3793,"[0,18,26,38]",16819,48,""
52,3990,"[0,20,50,100]",16699,52,""
53,3992,"[0,20,50,100]",16699,52,""
54,3991,"[0,20,50,100]",16699,52,""
55,3993,"[0,20,50,100]",16699,52,""
56,3807,"[0,30,65,100,150,200]",25,52,""
57,4020,"[0,10,20,30]",0,52,""
58,4008,"[0,25,50,75]",242,52,177
59,3944,"[0,100000,1000000]",16274,52,""
60,4057,"[0,18,26,38]",17442,50,""
61,4054,"[0,16,24,35]",17442,50,""
62,4056,"[0,12,20,29]",17442,50,""
63,4055,"[0,14,22,32]",17442,50,""
64,4046,"[50,60,70,80]",0,52,""
65,4077,"[0,22,55,88]",242,52,177
66,4078,"[0,22,55,88]",242,52,177
67,4079,"[0,22,55,88]",242,52,177
68,4080,"[0,22,55,88]",242,52,177
69,4110,"[0,1]",366,52,""
70,4536,"[0,1,2]",367,52,""
