"rownum","Id","ARMFiles","Script","[rid]","Stats","StatsValues","Description","Name","Type","WorldArea","Icon","i32","MinLevel","rid","bool","ExtraStats","ExtraStatsValues","ReminderText","TextAudio","rid","bool"
0,"NULL","[""Metadata/Terrain/Leagues/Lake/Rooms/water.arm""]","",[],[],[],"","",1,"","",1,0,"","",[],[],"","","",""
1,"ENTRANCE","[""Metadata/Terrain/Leagues/Lake/Rooms/entrance.arm""]","default",[],[],[],"","Entrance",2,"","",1,0,"","",[],[],"","","",""
2,"Empty","[""Metadata/Terrain/Leagues/Lake/Rooms/blank.arm""]","",[],[],[],"","",0,"","",1,0,"","",[],[],"","","",""
3,"Breach1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_breach.arm""]","",[],[],[],"Contains an additional Breach","Reflection of Breach",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",1,68,0,"",[15532],[25],"(Difficulty scales quantity of Breach Splinters found in Breach Hands)",13779,13778,1
4,"Breach2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_breach.arm""]","",[],"[5466,13711]","[50,-30]","Contains an additional Breach\r\nBreach has 50% increased Monster density\r\nBreach opens and closes 30% slower","Reflection of the Dream",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",2,68,0,"",[15532],[25],"(Difficulty scales quantity of Breach Splinters found in Breach Hands)",13779,13778,1
5,"Breach3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_breach.arm""]","",[],"[5464,13319,13711,16983]","[1,100,-30,-40]","Contains an additional Breach\r\nBreach opens and closes 30% slower\r\nBreach contains a Breachlord\r\nBreachlord drops a Breachstone","Reflection of the Breachlord",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",3,68,0,"",[15532],[25],"(Difficulty scales quantity of Breach Splinters found in Breach Hands)",13779,13778,1
6,"Delirium1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delirium.arm""]","",[],[12474],[1],"Contains a Mirror of Delirium","Reflection of Delirium",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelirium",1,46,2,"",[],[],"",13781,13780,""
7,"Fire1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Cannibals","Reflection of Flame",3,1770,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,1,8,"",[],[],"(Difficulty scales quantity of items from reward chests)","","",1
8,"Fire1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Demons","Reflection of Flame",3,1771,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,28,8,"",[],[],"(Difficulty scales quantity of items from reward chests)","","",1
9,"Fire1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Infernal Vaal","Reflection of Flame",3,1772,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,50,8,"",[],[],"(Difficulty scales quantity of items from reward chests)","","",1
